dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
clinc150,13,val,order_status,True,20,15,5,1,0.7387314355521428
clinc150,13,val,pay_bill,True,20,16,4,2,0.7517060011433832
clinc150,13,val,payday,True,20,15,5,3,0.8073014496816004
clinc150,13,val,pin_change,False,20,0,20,1,1.1911216586935676
clinc150,13,val,play_music,False,20,0,20,0,1.1755025415317761
clinc150,13,val,plug_type,True,20,16,4,1,0.700490058790477
clinc150,13,val,pto_balance,True,20,19,1,1,0.591441154813865
clinc150,13,val,pto_request,False,20,0,20,1,1.078475719155433
clinc150,13,val,pto_request_status,True,20,12,8,2,0.8441697607343199
clinc150,13,val,pto_used,False,20,12,8,1,0.7738106715447755
clinc150,13,val,recipe,False,20,11,9,10,0.8938842407681455
clinc150,13,val,redeem_rewards,False,20,3,17,3,1.1334052383839692
clinc150,13,val,reminder,True,20,14,6,1,0.6886623792804683
clinc150,13,val,reminder_update,True,20,16,4,2,0.7529297555149912
clinc150,13,val,repeat,False,20,1,19,5,1.0511559726371762
clinc150,13,val,replacement_card_duration,True,20,17,3,1,0.64334005000857
clinc150,13,val,report_fraud,True,20,17,3,1,0.7351422915091402
clinc150,13,val,report_lost_card,False,20,15,5,5,0.8405893745485851
clinc150,13,val,reset_settings,True,20,16,4,2,0.6727893002432688
clinc150,13,val,restaurant_reservation,False,20,2,18,2,1.0278557167248565
clinc150,13,val,restaurant_reviews,True,20,16,4,0,0.717973858385903
clinc150,13,val,restaurant_suggestion,True,20,18,2,3,0.8123128379612929
clinc150,13,val,rewards_balance,True,20,19,1,4,0.8086435601368257
clinc150,13,val,roll_dice,True,20,20,0,0,0.6108319671768709
clinc150,13,val,rollover_401k,False,20,0,20,0,1.205369897633787
clinc150,13,val,routing,True,20,15,5,2,0.7691066492167391
clinc150,13,val,schedule_maintenance,True,20,18,2,1,0.6865386451422243
clinc150,13,val,schedule_meeting,True,20,18,2,1,0.7442341606368968
clinc150,13,val,share_location,False,20,0,20,0,1.092080634025365
clinc150,13,val,shopping_list,False,20,5,15,7,0.9630948807382906
clinc150,13,val,shopping_list_update,False,20,1,19,2,1.0257158789797263
clinc150,13,val,smart_home,False,20,1,19,4,1.1710068011732
clinc150,13,val,spelling,False,20,0,20,9,0.9581265933197658
clinc150,13,val,spending_history,True,20,20,0,0,0.6027148916413885
clinc150,13,val,sync_device,True,20,16,4,0,0.737423499512919
clinc150,13,val,taxes,False,20,0,20,0,1.1692560636200566
clinc150,13,val,tell_joke,True,20,17,3,5,0.725414920361959
clinc150,13,val,text,False,20,0,20,0,1.094298448475469
clinc150,13,val,thank_you,True,20,18,2,3,0.798842714028057
clinc150,13,val,time,False,20,3,17,4,0.9662761672253477
clinc150,13,val,timer,True,20,19,1,1,0.6778891859449401
clinc150,13,val,timezone,True,20,14,6,6,0.7987164523722625
clinc150,13,val,tire_change,True,20,20,0,0,0.5868033807223164
clinc150,13,val,tire_pressure,True,20,20,0,0,0.652053698064798
clinc150,13,val,todo_list,True,20,17,3,3,0.7695905553748956
clinc150,13,val,todo_list_update,True,20,20,0,2,0.6731772959297277
clinc150,13,val,traffic,False,20,1,19,8,0.9583332969798455
clinc150,13,val,transactions,False,20,2,18,2,1.1033257456983605
clinc150,13,val,transfer,False,20,1,19,2,1.0682589632487751
clinc150,13,val,translate,True,20,18,2,7,0.7808575125955992
clinc150,13,val,travel_alert,True,20,19,1,2,0.7426650818981786
clinc150,13,val,travel_notification,False,20,0,20,1,1.0861681314396732
clinc150,13,val,travel_suggestion,True,20,15,5,5,0.8228159601811917
clinc150,13,val,uber,True,20,20,0,2,0.7136933875961491
clinc150,13,val,update_playlist,True,20,13,7,3,0.8183897441020391
clinc150,13,val,user_name,True,20,16,4,6,0.8457350123513905
clinc150,13,val,vaccines,False,20,0,20,0,1.239431274317326
clinc150,13,val,w2,False,20,0,20,0,1.2017462831960248
clinc150,13,val,weather,True,20,18,2,1,0.6855325290187775
