dataset,kir,seed,best_epoch,best_selection_score,test_oos_f1,test_known_recall,training_time_seconds,trainable_parameters,epochs_recorded,calibration_f1_k_best,calibration_known_recall_at_best,selection_score_max
clinc150,0.25,13,4,0.8747135474007648,0.9528118939883645,0.736842105263158,17.141008853912354,3746944,4,0.8374109158218174,0.7460526315789473,0.8747135474007648
clinc150,0.25,42,2,0.8815757583596083,0.9479594040164111,0.7263157894736842,11.416199207305908,3746944,4,0.8440099688859242,0.7513157894736842,0.8815757583596083
clinc150,0.25,87,2,0.8867231705805048,0.9473684210526315,0.736842105263158,12.352023839950562,3746944,4,0.8488942232120837,0.756578947368421,0.8867231705805048
clinc150,0.25,100,4,0.8494950794850663,0.9625347891243845,0.7491228070175439,28.26775336265564,3746944,4,0.8140345531692769,0.7092105263157895,0.8494950794850663
clinc150,0.25,123,3,0.8624661309607415,0.9475392103839914,0.7324561403508771,11.56428575515747,3746944,4,0.8259529730660047,0.7302631578947368,0.8624661309607415
clinc150,0.5,13,4,0.8683772142714583,0.9070904645476773,0.7453333333333334,23.036463499069214,3746944,4,0.8312772142714583,0.742,0.8683772142714583
clinc150,0.5,42,3,0.8686289575882408,0.8971451987433411,0.739111111111111,22.18031597137451,3746944,4,0.8315289575882407,0.742,0.8686289575882408
clinc150,0.5,87,4,0.8978959587414496,0.9086720867208672,0.7435555555555555,22.459213256835938,3746944,4,0.8592959587414496,0.772,0.8978959587414496
clinc150,0.5,100,3,0.8703422094355671,0.9051512673753066,0.748,22.4428768157959,3746944,4,0.8330422094355671,0.746,0.8703422094355671
clinc150,0.5,123,2,0.8732123207290534,0.9039116805233747,0.7462222222222222,22.96462106704712,3746944,4,0.8356123207290534,0.752,0.8732123207290534
clinc150,0.75,13,2,0.8730450908780283,0.8230088495575221,0.7464285714285714,34.7118399143219,3746944,4,0.835321876592314,0.7544642857142857,0.8730450908780283
clinc150,0.75,42,4,0.8660400902221177,0.823141706334676,0.7398809523809524,33.94681692123413,3746944,4,0.8291427687935463,0.7379464285714286,0.8660400902221177
clinc150,0.75,87,3,0.877566912812442,0.8302650957290133,0.7508928571428571,34.35529661178589,3746944,4,0.839754412812442,0.75625,0.877566912812442
clinc150,0.75,100,4,0.8679539797641613,0.8333023601561048,0.762202380952381,33.82280898094177,3746944,4,0.8310343369070184,0.7383928571428571,0.8679539797641613
clinc150,0.75,123,3,0.8653610113515404,0.8327481057105895,0.756547619047619,34.099244832992554,3746944,4,0.8282404756372547,0.7424107142857144,0.8653610113515404
banking77,0.25,13,2,0.9035046669816009,0.9154867256637168,0.8276315789473684,9.169151306152344,3746944,4,0.8638352454939976,0.7933884297520661,0.9035046669816008
banking77,0.25,42,4,0.9400215936745667,0.9191208791208791,0.8171052631578948,8.928512334823608,3746944,4,0.8991125027654758,0.8181818181818181,0.9400215936745668
banking77,0.25,87,4,0.9419100344018405,0.9304952215464813,0.8131578947368421,8.979233264923096,3746944,4,0.9009666381754254,0.8188679245283019,0.9419100344018404
banking77,0.25,100,4,0.9002722116802858,0.9308176100628931,0.8092105263157895,8.631697416305542,3746944,4,0.8599496310351246,0.8064516129032258,0.9002722116802858
