accepted_splits,accuracy,aupr_oos,auroc,bootstrap_stability,boundary,dataset,delta,distance,experiment_id,f1_all,f1_k,f1_u,false_accept_rate,false_reject_rate,fit_seconds,fpr95,inference_seconds,kir,known_macro_f1,known_recall,mean_k_y,method,n,oos_f1,oos_precision,oos_recall,protocol_version,radius_lambda,radius_method,rejected_splits,representation,run_id,seed,source,source_path,tau,tau_parent,test_used_for_selection,threshold_source,total_centers,trainable_parameters
,0.7128333333333333,0.8156840094880962,0.8612272222222221,,mean_std,stackoverflow,,mahalanobis_diag,,0.7751838252001846,0.7808518501188826,0.7185035760132037,0.347,0.16466666666666666,,,,0.5,0.7808518501188826,0.8353333333333334,1.0,s2c_k1_nearest_sphere,1,0.7185035760132037,,,protocol_v2_textoir_v1,,,,,,13,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json,,,,E2_fixed_threshold_1.0,10,
,0.6595,0.8021679258288283,0.8442524444444444,,mean_std,stackoverflow,,mahalanobis_diag,,0.7262371149454886,0.7353399552966617,0.6352087114337568,0.475,0.128,,,,0.5,0.7353399552966617,0.872,2.0,s2c_fixed_k2_nearest_sphere,1,0.6352087114337568,,,protocol_v2_textoir_v1,,,,,,13,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_13__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std/metrics.json,,,,E2_fixed_threshold_1.0,20,
,0.7715,0.8927093484941884,0.9064862222222222,,mean_std,stackoverflow,,mahalanobis_diag,,0.7765962760577415,0.7722853602404582,0.8197054342305738,0.193,0.162,,,,0.5,0.7722853602404582,0.838,1.0,s2c_k1_nearest_sphere,1,0.8197054342305738,,,protocol_v2_textoir_v1,,,,,,42,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json,,,,E2_fixed_threshold_1.0,10,
,0.68,0.8397174918607071,0.8597707777777777,,mean_std,stackoverflow,,mahalanobis_diag,,0.7217216672126026,0.7250606311147555,0.6883320281910729,0.414,0.11666666666666667,,,,0.5,0.7250606311147555,0.8833333333333333,2.0,s2c_fixed_k2_nearest_sphere,1,0.6883320281910729,,,protocol_v2_textoir_v1,,,,,,42,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_42__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std/metrics.json,,,,E2_fixed_threshold_1.0,20,
,0.7746666666666666,0.8321384307538693,0.8780081111111111,,mean_std,stackoverflow,,mahalanobis_diag,,0.8061479473885722,0.8087148148928659,0.7804792723456359,0.25633333333333336,0.162,,,,0.5,0.8087148148928659,0.838,1.0,s2c_k1_nearest_sphere,1,0.7804792723456359,,,protocol_v2_textoir_v1,,,,,,87,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_87__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/metrics.json,,,,E2_fixed_threshold_1.0,10,
,0.7053333333333334,0.8194166365609706,0.8602834444444445,,mean_std,stackoverflow,,mahalanobis_diag,,0.7597736742675744,0.7666678860440121,0.6908315565031983,0.406,0.12566666666666668,,,,0.5,0.7666678860440121,0.8743333333333333,2.0,s2c_fixed_k2_nearest_sphere,1,0.6908315565031983,,,protocol_v2_textoir_v1,,,,,,87,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__stackoverflow__kir_0.50__seed_87__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std/metrics.json,,,,E2_fixed_threshold_1.0,20,
,nan,0.8177780397471122,0.8623637777777777,,mean_std,stackoverflow,,mahalanobis_diag,,nan,nan,0.7161266568483063,0.3516666666666667,0.16233333333333333,,,,0.5,nan,0.8376666666666667,2.0,random_balanced_k2_nearest_sphere,1,0.7161266568483063,,,protocol_v2_textoir_v1,,,,,,13,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e3_mechanisms/summaries/E3_partition_control_summary.csv,,,,E3_fixed_threshold_1.0,20,
,nan,0.8940081512528898,0.9080998888888888,,mean_std,stackoverflow,,mahalanobis_diag,,nan,nan,0.8212593094109681,0.19133333333333333,0.16066666666666668,,,,0.5,nan,0.8393333333333333,2.0,random_balanced_k2_nearest_sphere,1,0.8212593094109681,,,protocol_v2_textoir_v1,,,,,,42,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e3_mechanisms/summaries/E3_partition_control_summary.csv,,,,E3_fixed_threshold_1.0,20,
,nan,0.8338979974186462,0.878633,,mean_std,stackoverflow,,mahalanobis_diag,,nan,nan,0.776620165989758,0.267,0.15466666666666667,,,,0.5,nan,0.8453333333333333,2.0,random_balanced_k2_nearest_sphere,1,0.776620165989758,,,protocol_v2_textoir_v1,,,,,,87,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e3_mechanisms/summaries/E3_partition_control_summary.csv,,,,E3_fixed_threshold_1.0,20,
,0.7715,0.8927093484941884,0.9064862222222222,,mean_std,stackoverflow,,mahalanobis_diag,,0.7765962760577415,0.7722853602404582,0.8197054342305738,0.193,0.162,,,,0.5,0.7722853602404582,0.838,1.0,BRAK_known_only,1,0.8197054342305738,,,protocol_v2_textoir_v1,,,,,,42,validated_reused,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/brak_v1/summaries/BRAK_PILOT_SUMMARY.tsv,,,,BRAK_known_only,10,
