method,dataset,kir,n,status,oos_f1_mean,oos_f1_std,known_f1_mean,known_f1_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,oos_recall_mean,oos_recall_std
Ours,banking77,0.25,3,complete,91.78200914583998,0.57712654562322,76.48523557865211,2.187087779527573,87.35930735930737,0.9763080529302098,81.71052631578948,0.38735793273367564,10.10057471264368,1.0746127558227103,89.89942528735632,1.0746127558227108
Ours,banking77,0.5,3,complete,86.39475014456373,0.989435886717155,81.19959623580887,0.8921287916263435,83.76623376623377,1.1070746192679122,80.74561403508773,1.080141259300416,9.65811965811966,2.4134896783488706,90.34188034188033,2.4134896783488706
Ours,banking77,0.75,3,complete,70.62014939956526,1.1512708410682526,82.13148497593443,0.18594807781499434,78.67965367965367,0.4318168256116838,80.04310344827586,0.9873104909545714,12.105263157894738,3.8195686065047787,87.89473684210526,3.8195686065047827
MOGB-official-compatible,banking77,0.25,3,complete,90.72597088205676,0.7237180185323429,60.79619460267918,3.9781195838574535,85.0108225108225,1.2094125579825963,48.771929824561404,3.736059550709973,3.045977011494253,0.45932090123982144,96.95402298850576,0.45932090123982056
MOGB-official-compatible,banking77,0.5,3,complete,78.46599856139997,0.5603240787600993,63.37364236052579,1.212812291081306,73.05194805194806,0.7850610858581025,49.23245614035088,1.3719730104927266,3.5042735042735043,0.5242668438626192,96.49572649572649,0.5242668438626146
MOGB-official-compatible,banking77,0.75,3,complete,54.07797394766004,0.9695733469727316,61.74912329020088,2.1212380170213017,58.852813852813846,1.5512852769178593,46.58045977011494,2.112020094829078,2.543859649122807,1.1487544608516487,97.45614035087719,1.148754460851651
MOGB-official-compatible,clinc150,0.25,3,complete,93.53904286287258,0.1443120458419884,62.78781791097989,1.0424902748513973,89.02923976608189,0.2363904436421966,48.30409356725146,0.688222356487708,0.7821637426900585,0.27409843946275836,99.21783625730995,0.2740984394627577
MOGB-official-compatible,clinc150,0.5,3,complete,84.63157961191293,0.14955817165266858,60.74571814067351,0.3316019631846793,78.0877192982456,0.23667960637249272,45.42222222222222,0.3682904561379564,0.5314009661835749,0.13034529046601004,99.46859903381642,0.13034529046601426
MOGB-official-compatible,clinc150,0.75,3,complete,71.40356250569347,0.1987879269195568,60.14502629302145,0.4419206199383438,67.19883040935673,0.2844534855442195,44.75198412698413,0.5375483009580979,0.42735042735042733,0.09231824356706354,99.57264957264958,0.0923182435670643
MOGB-official-compatible,stackoverflow,0.25,3,complete,90.82146675055724,1.3971468375513023,66.98575293713421,6.639376681481769,85.57777777777778,2.3030307460570154,59.13333333333333,8.3814610235262,5.511111111111112,0.7544654445339993,94.48888888888888,0.7544654445339997
MOGB-official-compatible,stackoverflow,0.5,3,complete,79.62293580094699,1.54206055205879,67.50583966324173,4.712665988587227,75.0111111111111,2.6175098900847327,53.53333333333333,6.77779599268955,3.2222222222222228,1.6488679243950273,96.77777777777777,1.6488679243950322
MOGB-official-compatible,stackoverflow,0.75,3,complete,57.59729991348653,0.3472643387286449,68.53935020125378,0.7867313746876917,64.36111111111111,0.28749664517634826,54.49629629629629,0.47465242499558025,4.333333333333333,1.296148139681572,95.66666666666667,1.2961481396815728
