dataset,method,kir,n,oos_f1_mean,oos_f1_std,known_f1_mean,known_f1_std,accuracy_mean,accuracy_std,known_recall_mean,false_accept_rate_mean,source,backbone,supervision,comparison_class,eligible_for_aligned_main
banking77,Ours,0.25,3,91.78200914583998,0.57712654562322,76.48523557865211,2.187087779527573,87.35930735930737,0.9763080529302098,81.71052631578948,10.10057471264368,full-pipeline Ours; shared canonical split,MiniLM,Known-only train/dev; test deferred,shared_split_three_seed,true
banking77,Ours,0.5,3,86.39475014456373,0.989435886717155,81.19959623580887,0.8921287916263435,83.76623376623377,1.1070746192679122,80.74561403508773,9.65811965811966,full-pipeline Ours; shared canonical split,MiniLM,Known-only train/dev; test deferred,shared_split_three_seed,true
banking77,Ours,0.75,3,70.62014939956526,1.1512708410682526,82.13148497593443,0.18594807781499434,78.67965367965367,0.4318168256116838,80.04310344827586,12.105263157894738,full-pipeline Ours; shared canonical split,MiniLM,Known-only train/dev; test deferred,shared_split_three_seed,true
banking77,MOGB-official-compatible,0.25,3,90.72597088205676,0.7237180185323429,60.79619460267918,3.9781195838574535,85.0108225108225,1.2094125579825963,48.771929824561404,3.045977011494253,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
banking77,MOGB-official-compatible,0.5,3,78.46599856139997,0.5603240787600993,63.37364236052579,1.212812291081306,73.05194805194806,0.7850610858581025,49.23245614035088,3.5042735042735043,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
banking77,MOGB-official-compatible,0.75,3,54.07797394766004,0.9695733469727316,61.74912329020088,2.1212380170213017,58.852813852813846,1.5512852769178593,46.58045977011494,2.543859649122807,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
clinc150,MOGB-official-compatible,0.25,3,93.53904286287258,0.1443120458419884,62.78781791097989,1.0424902748513973,89.02923976608189,0.2363904436421966,48.30409356725146,0.7821637426900585,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
clinc150,MOGB-official-compatible,0.5,3,84.63157961191293,0.14955817165266858,60.74571814067351,0.3316019631846793,78.0877192982456,0.23667960637249272,45.42222222222222,0.5314009661835749,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
clinc150,MOGB-official-compatible,0.75,3,71.40356250569347,0.1987879269195568,60.14502629302145,0.4419206199383438,67.19883040935673,0.2844534855442195,44.75198412698413,0.42735042735042733,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
stackoverflow,MOGB-official-compatible,0.25,3,90.82146675055724,1.3971468375513023,66.98575293713421,6.639376681481769,85.57777777777778,2.3030307460570154,59.13333333333333,5.511111111111112,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
stackoverflow,MOGB-official-compatible,0.5,3,79.62293580094699,1.54206055205879,67.50583966324173,4.712665988587227,75.0111111111111,2.6175098900847327,53.53333333333333,3.2222222222222228,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
stackoverflow,MOGB-official-compatible,0.75,3,57.59729991348653,0.3472643387286449,68.53935020125378,0.7867313746876917,64.36111111111111,0.28749664517634826,54.49629629629629,4.333333333333333,official MOGB-compatible; shared canonical split,BERT-base-uncased,Known-only train/dev; test deferred,shared_split_three_seed,true
banking77,TextOIR-ADB,0.25,,85.05,,70.92,,79.33,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-ADB,0.5,,79.43,,81.39,,79.61,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-ADB,0.75,,67.34,,86.44,,81.39,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-DA-ADB,0.25,,86.57,,73.05,,81.19,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-DA-ADB,0.5,,81.93,,82.54,,81.51,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-DA-ADB,0.75,,69.37,,85.93,,81.12,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-DOC,0.25,,76.64,,65.16,,70.31,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-DOC,0.5,,72.66,,78.38,,74.6,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
