dataset,method,kir,seed,source,predictions,oos_f1,known_f1,accuracy,oos_precision,oos_recall,known_recall,false_accept_rate,known_count,oos_count,oos_false_accepts,known_false_rejects,known_score_q10,known_score_q50,known_score_q90,oos_score_q10,oos_score_q50,oos_score_q90
banking77,MOGB-official-compatible,0.25,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed42/predictions.npz,90.20866773675762,57.71642310336716,84.12337662337663,84.38438438438438,96.89655172413794,45.26315789473684,3.103448275862069,760,2320,72,416,0.6919166803359985,1.042920172214508,1.809666419029236,1.2747167468070983,1.9617937207221985,2.5634785890579224
banking77,MOGB-official-compatible,0.25,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed87/predictions.npz,91.74944252990068,66.41338445789616,86.72077922077922,86.6054343666284,97.54310344827586,53.94736842105263,2.456896551724138,760,2320,57,350,0.6585640728473663,0.963194340467453,1.7511441230773925,1.315096628665924,2.0855445861816406,2.9159140825271606
banking77,MOGB-official-compatible,0.5,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed13/predictions.npz,79.07587293252823,64.98146018827961,73.96103896103897,66.96309470875946,96.53846153846153,51.11842105263158,3.4615384615384617,1520,1560,54,743,0.6902181565761566,0.9914333522319794,1.665363454818726,1.2481269598007203,1.9676676392555237,2.543999862670899
banking77,MOGB-official-compatible,0.5,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed42/predictions.npz,77.72290096178841,62.052469631304554,72.04545454545455,65.36947966768693,95.83333333333334,47.89473684210526,4.166666666666666,1520,1560,65,792,0.6973187327384949,1.0236279368400574,1.7491708040237428,1.2182778000831604,1.8049927949905396,2.428870916366577
banking77,MOGB-official-compatible,0.5,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed87/predictions.npz,78.59922178988327,63.08699726199322,73.14935064935065,66.01307189542483,97.11538461538461,48.68421052631579,2.8846153846153846,1520,1560,45,780,0.6787578999996186,1.012924075126648,1.7600674510002137,1.2801971793174745,1.9203878045082092,2.6657552719116215
banking77,MOGB-official-compatible,0.75,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed13/predictions.npz,52.7448869752422,59.2425593439036,56.980519480519476,36.26048347311298,96.71052631578947,44.310344827586206,3.289473684210526,2320,760,25,1292,0.7151045739650727,1.062452256679535,1.7094963192939756,1.2683291554450988,1.9061259627342224,2.4697134494781494
banking77,MOGB-official-compatible,0.75,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed42/predictions.npz,54.46654611211573,61.57505492982005,58.798701298701296,37.556109725685786,99.07894736842105,46.03448275862069,0.9210526315789472,2320,760,7,1252,0.7256570935249329,1.0375123620033264,1.6701144576072693,1.3576188802719116,1.8159319162368774,2.3328771352767945
banking77,MOGB-official-compatible,0.75,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed87/predictions.npz,55.02248875562219,64.42975559687898,60.77922077922078,38.469601677148844,96.57894736842105,49.396551724137936,3.421052631578948,2320,760,26,1174,0.7075777232646943,1.0059242844581604,1.6684069037437437,1.233873760700226,1.7842665910720825,2.3175039768218997
clinc150,MOGB-official-compatible,0.25,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed13/predictions.npz,93.71711544413495,63.559455550206714,89.31578947368422,88.48626534190532,99.60526315789474,48.1578947368421,0.39473684210526316,1140,4560,18,591,0.704443484544754,1.01775062084198,1.8017648696899415,1.7057356238365173,2.5291868448257446,3.3746973276138306
clinc150,MOGB-official-compatible,0.25,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed42/predictions.npz,93.53635798632692,63.48993772706058,89.03508771929825,88.63368669022378,99.01315789473685,49.21052631578947,0.9868421052631579,1140,4560,45,579,0.720722621679306,1.0121552348136902,1.6926740884780904,1.569619643688202,2.357111692428589,3.0406742572784426
