dataset,selection_scope,seed_count,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_macro_f1_mean,known_macro_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,router_error_rate_mean,router_error_rate_std,expert_error_rate_mean,expert_error_rate_std,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,per_seed_validation,3,0.916506668647591,0.0013578319201773012,0.6785777402861778,0.015697118199570013,0.7427183327979523,0.028248814281070875,0.8572712418300653,0.002860644019609767,0.6923333333333334,0.045020982762361904,0.06958874458874459,0.01470587684109353,0.3076666666666667,0.04502098276236191,0.0,0.0,0.08699702546016892,0.010029520494266597,88.23,3.4206668647590988,True
clinc150,per_seed_validation,3,0.909903817323738,0.006762167661151868,0.8062085464567073,0.009996840698152815,0.8472256294290142,0.009806948056698973,0.8672121212121212,0.007801014744098944,0.8451851851851852,0.017808615229883428,0.0758974358974359,0.0027787112172603192,0.15481481481481482,0.017808615229883414,0.029798596776986774,0.001480716399017943,0.041348741639402574,0.004735534257274069,91.96,-0.9696182676261884,False
stackoverflow,per_seed_validation,3,0.8990784457360492,0.015386681155910837,0.8393125513753992,0.014367259735675623,0.8494237237944778,0.012845402304767148,0.8686700055648302,0.013186416929407663,0.8204423445609,0.028070314394253743,0.037055125013492424,0.007150175045622785,0.17955765543910004,0.02807031439425373,0.0,0.0,0.05572502866970577,0.018885104510820726,89.71,0.19784457360492524,True
