dataset,kir,method,seed_count,oos_f1_mean,oos_f1_std,known_f1_mean,known_f1_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std
banking77,0.1,Ours,3,93.50949476995082,1.238903750450958,63.272489388333575,4.628056195208591,88.75541125541126,1.9953376063188761,86.66666666666667,3.076004804215292,10.809178743961354,2.125329363039511
banking77,0.2,Ours,3,88.14917438039231,3.8317815079837265,69.11399311978413,4.037567266705221,82.15367965367965,5.13222131809195,86.94444444444446,1.4989708403591115,18.467741935483872,6.5161423400268665
banking77,0.25,Ours,3,89.56270471988853,0.7310095939754107,75.28340526751269,0.33649707828272774,84.54545454545455,0.9032745287820501,87.80701754385966,1.987766525197308,15.64655172413793,1.7765036225372106
banking77,0.3,Ours,3,84.60650057604501,2.67029274033107,73.17117033576062,2.8157957795707924,79.32900432900432,3.0471470635109963,87.82608695652175,1.1605519839164473,22.762345679012345,4.544956135814981
banking77,0.4,Ours,3,84.58485259584647,0.8455088978392128,78.94374725284426,0.7615506911781228,81.2121212121212,0.889291713600609,88.62903225806451,0.3017465634495142,21.08695652173913,1.349607284941245
banking77,0.5,Ours,3,80.87451615118925,2.110573124601567,80.39938761441017,0.8846504851536234,79.78354978354979,1.4523148222698021,90.21929824561403,0.27036903521793987,25.576923076923077,3.3546328045795475
banking77,0.6,Ours,3,75.51098959216658,2.8202064117642425,81.49665079862494,0.57664616025185,78.5930735930736,1.4335640163145926,89.67391304347827,0.6715127895960413,29.91935483870968,4.7304190488142455
banking77,0.7,Ours,3,71.37749809708615,3.783461072828551,83.57110948688278,0.5334952716465303,79.57792207792208,1.3777358079826199,90.0925925925926,0.5868257204268961,31.376811594202895,6.4307256436686675
banking77,0.75,Ours,3,69.63823659234892,4.23409825659861,84.67363210185891,0.8261728780802317,80.6926406926407,1.509032169592948,89.89942528735632,0.6199841669652718,29.86842105263158,6.87827819937492
banking77,0.8,Ours,3,61.305056008386224,3.871573076100473,84.67395155109372,0.06713489270546871,79.81601731601732,0.8656655738450717,89.87903225806451,0.8464541125717069,37.27777777777778,4.304031988499235
banking77,0.9,Ours,3,53.25330078425514,2.7186982345164092,86.08914362587124,1.0790925515096905,81.8073593073593,1.2977088560063734,90.26570048309179,1.1242917026799035,33.333333333333336,3.118047822311618
clinc150,0.25,Ours,3,95.18476566327229,0.47976035218486895,78.43373358378291,1.655137461909302,91.19393939393939,0.6576246316148184,87.953216374269,1.018786631004928,6.322629969418959,1.0170207430162623
clinc150,0.5,Ours,3,92.12781044994561,0.8115236256279805,82.8204238402672,0.9145318062623535,88.16363636363637,0.9010553958810107,89.3037037037037,1.087048078687061,8.266666666666667,1.1811359713320433
clinc150,0.75,Ours,3,86.80479018143325,1.5532179176632102,84.6301625114203,0.593572559404933,85.53333333333335,1.0451338990054446,89.71230158730161,0.15623031496055356,10.887850467289718,2.844204344807829
