dataset,kir,seed,method,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,source,recipe,geometry,checkpoint,validation_selection
clinc150,0.75,42,Ours,0.8872955411158414,0.8517717837063017,0.8672727272727273,0.8979166666666667,0.07476635514018691,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir75_seed42/Ours.json,all6,"{""boundary"": ""mean_std_2.0"", ""distance"": ""euclidean"", ""fusion"": ""max_ratio"", ""fusion_weight"": 2.0, ""k"": 1, ""known_correct_accept_rate"": 0.8964285714285715, ""known_coverage"": 0.9004464285714285, ""known_wrong_accept_rate"": 0.0040178571428571425, ""rule"": ""nearest_sphere"", ""threshold"": 1.3733012090740582, ""utility"": 0.8803571428571428}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir75_seed42_all6/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
clinc150,0.25,42,Ours,0.9500937207122774,0.7624778138280077,0.9049090909090909,0.893859649122807,0.06995412844036697,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir25_seed42/Ours.json,last4,"{""boundary"": ""mean_std_0.0"", ""distance"": ""euclidean"", ""fusion"": ""ratio"", ""fusion_weight"": 1.0, ""k"": 2, ""known_correct_accept_rate"": 0.9, ""known_coverage"": 0.9013157894736842, ""known_wrong_accept_rate"": 0.0013157894736842105, ""rule"": ""nearest_sphere"", ""threshold"": 2.2714275887465316, ""utility"": 0.8947368421052632}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir25_seed42_last4/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
clinc150,0.25,13,Ours,0.9584007395424081,0.7880184434644267,0.9207272727272727,0.8710526315789474,0.048853211009174315,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir25_seed13/Ours.json,last4,"{""boundary"": ""mean_std_0.0"", ""distance"": ""euclidean"", ""fusion"": ""ratio"", ""fusion_weight"": 1.0, ""k"": 2, ""known_correct_accept_rate"": 0.8986842105263158, ""known_coverage"": 0.9013157894736842, ""known_wrong_accept_rate"": 0.002631578947368421, ""rule"": ""nearest_sphere"", ""threshold"": 2.091455704587724, ""utility"": 0.8881578947368421}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir25_seed13_last4/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
clinc150,0.5,87,Ours,0.9327174749807544,0.8404994648555771,0.8943636363636364,0.904,0.068,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir50_seed87/Ours.json,all6,"{""boundary"": ""intent_quantile_0.7"", ""distance"": ""euclidean"", ""fusion"": ""inverse_margin"", ""fusion_weight"": 0.5, ""k"": 2, ""known_correct_accept_rate"": 0.8993333333333333, ""known_coverage"": 0.9006666666666666, ""known_wrong_accept_rate"": 0.0013333333333333333, ""rule"": ""nearest_sphere"", ""threshold"": 2.8322090155521056, ""utility"": 0.894}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir50_seed87_all6/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
clinc150,0.5,13,Ours,0.9163591635916359,0.8185815973268838,0.8747272727272727,0.8782222222222222,0.08307692307692308,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir50_seed13/Ours.json,all6,"{""boundary"": ""intent_quantile_0.7"", ""distance"": ""euclidean"", ""fusion"": ""inverse_margin"", ""fusion_weight"": 0.5, ""k"": 2, ""known_correct_accept_rate"": 0.8973333333333333, ""known_coverage"": 0.9006666666666666, ""known_wrong_accept_rate"": 0.0033333333333333335, ""rule"": ""nearest_sphere"", ""threshold"": 3.060359053553973, ""utility"": 0.884}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir50_seed13_all6/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
clinc150,0.5,42,Ours,0.9147576749259779,0.8255316530255549,0.8758181818181818,0.8968888888888888,0.09692307692307692,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir50_seed42/Ours.json,all6,"{""boundary"": ""intent_quantile_0.7"", ""distance"": ""euclidean"", ""fusion"": ""inverse_margin"", ""fusion_weight"": 0.5, ""k"": 2, ""known_correct_accept_rate"": 0.896, ""known_coverage"": 0.9006666666666666, ""known_wrong_accept_rate"": 0.004666666666666667, ""rule"": ""nearest_sphere"", ""threshold"": 2.408362775309251, ""utility"": 0.8773333333333333}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir50_seed42_all6/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
clinc150,0.25,87,Ours,0.9470485096434833,0.8025157502210531,0.9101818181818182,0.8736842105263158,0.07087155963302752,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir25_seed87/Ours.json,last4,"{""boundary"": ""mean_std_0.0"", ""distance"": ""euclidean"", ""fusion"": ""ratio"", ""fusion_weight"": 1.0, ""k"": 2, ""known_correct_accept_rate"": 0.9013157894736842, ""known_coverage"": 0.9013157894736842, ""known_wrong_accept_rate"": 0.0, ""rule"": ""nearest_sphere"", ""threshold"": 2.1040641509833855, ""utility"": 0.9013157894736842}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir25_seed87_last4/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
clinc150,0.75,87,Ours,0.8492578849721707,0.8380522660623972,0.8418181818181818,0.8985119047619048,0.144392523364486,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir75_seed87/Ours.json,all6,"{""boundary"": ""mean_std_2.0"", ""distance"": ""euclidean"", ""fusion"": ""max_ratio"", ""fusion_weight"": 2.0, ""k"": 1, ""known_correct_accept_rate"": 0.896875, ""known_coverage"": 0.9004464285714285, ""known_wrong_accept_rate"": 0.0035714285714285713, ""rule"": ""nearest_sphere"", ""threshold"": 1.6757560373813654, ""utility"": 0.8825892857142857}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir75_seed87_all6/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
clinc150,0.75,13,Ours,0.8675902793549852,0.8490808255739102,0.856909090909091,0.8949404761904762,0.10747663551401869,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/clinc150/kir75_seed13/Ours.json,all6,"{""boundary"": ""mean_std_2.0"", ""distance"": ""euclidean"", ""fusion"": ""max_ratio"", ""fusion_weight"": 2.0, ""k"": 1, ""known_correct_accept_rate"": 0.8982142857142857, ""known_coverage"": 0.9004464285714285, ""known_wrong_accept_rate"": 0.002232142857142857, ""rule"": ""nearest_sphere"", ""threshold"": 1.349414890835844, ""utility"": 0.8892857142857142}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/clinc150_kir75_seed13_all6/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
banking77,0.9,13,Ours,0.5094339622641509,0.8457284779728724,0.8,0.8869565217391304,0.325,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/coverage_repair/final/banking77/kir90_seed13/Ours.json,lr_high,"{""boundary"": ""mean_std_0.0"", ""distance"": ""euclidean"", ""fusion"": ""max_ratio"", ""fusion_weight"": 2.0, ""k"": 2, ""known_correct_accept_rate"": 0.8762322015334063, ""known_coverage"": 0.9003285870755751, ""known_wrong_accept_rate"": 0.024096385542168676, ""rule"": ""nearest_sphere"", ""threshold"": 1.7576692616821834, ""utility"": 0.7798466593647316}",/home/bo/bo01/llmpy311/artifacts/s2c/analysis/kir_sensitivity_known_only/checkpoints/banking77_kir90_seed13_lr_high/checkpoint.pt,shared recipe/geometry by mean Known utility; per-seed Known quantile threshold
