intent_id,intent,radius,known_test_count,known_rejected_count,known_recall,known_median_normalized_distance,oos_assigned_count,oos_false_accept_count,oos_false_accept_rate_when_assigned
0,ajax,9.351893424987793,300,70,0.7666666666666667,0.6249902248382568,513,27,0.05263157894736842
1,svn,8.403355598449707,300,55,0.8166666666666667,0.5600923299789429,175,4,0.022857142857142857
2,sharepoint,8.862053871154785,300,61,0.7966666666666666,0.5937873125076294,171,6,0.03508771929824561
3,apache,8.90427017211914,300,65,0.7833333333333333,0.6038488745689392,266,19,0.07142857142857142
4,linq,8.504315376281738,300,41,0.8633333333333333,0.5464623272418976,87,0,0.0
5,excel,8.563843727111816,300,55,0.8166666666666667,0.4521332383155823,303,8,0.026402640264026403
6,oracle,8.86109447479248,300,61,0.7966666666666666,0.5625441670417786,310,11,0.035483870967741936
7,cocoa,10.345251083374023,300,87,0.71,0.7597591578960419,707,147,0.2079207920792079
8,visual-studio,9.192319869995117,300,79,0.7366666666666667,0.6536276936531067,247,8,0.032388663967611336
9,spring,8.837760925292969,300,56,0.8133333333333334,0.5935469269752502,221,15,0.06787330316742081
