sample_index,true_label,gold_oos,adb_pred_label,adb_pred_oos,adb_state,nearest_intent,nearest_distance,radius,normalized_distance,s2c_pred_label,s2c_pred_oos,s2c_state,correctness_transition,s2c_oos_score
0,svn,False,svn,False,known_correct,svn,4.916862487792969,8.403355598449707,0.5851070284843445,svn,False,known_correct,both_correct,0.7218215104506023
1,oracle,False,oracle,False,known_correct,oracle,8.41614818572998,8.86109447479248,0.9497865438461304,oracle,False,known_correct,both_correct,0.7435205120769692
2,sharepoint,False,oos,True,known_rejected,svn,14.528485298156738,8.403355598449707,1.7288908958435059,oos,True,known_rejected,both_wrong,1.1325390775264275
3,sharepoint,False,oos,True,known_rejected,sharepoint,9.468647003173828,8.862053871154785,1.0684484243392944,sharepoint,False,known_correct,s2c_only_correct,0.8880197279351228
4,spring,False,spring,False,known_correct,spring,8.528018951416016,8.837760925292969,0.9649524092674255,spring,False,known_correct,both_correct,0.771946537092697
5,sharepoint,False,sharepoint,False,known_correct,sharepoint,6.470896244049072,8.862053871154785,0.7301802039146423,sharepoint,False,known_correct,both_correct,0.7736240510129588
6,sharepoint,False,sharepoint,False,known_correct,sharepoint,4.859142780303955,8.862053871154785,0.5483088493347168,sharepoint,False,known_correct,both_correct,0.7016669411236488
7,svn,False,svn,False,known_correct,svn,4.050771713256836,8.403355598449707,0.4820421636104584,svn,False,known_correct,both_correct,0.5669991714218768
8,linq,False,linq,False,known_correct,linq,4.868259429931641,8.504315376281738,0.5724457502365112,linq,False,known_correct,both_correct,0.7708517327957952
9,svn,False,svn,False,known_correct,svn,5.439783573150635,8.403355598449707,0.6473346948623657,svn,False,known_correct,both_correct,0.744527009006789
10,sharepoint,False,sharepoint,False,known_correct,sharepoint,4.300871849060059,8.862053871154785,0.48531320691108704,sharepoint,False,known_correct,both_correct,0.726031602814735
11,excel,False,excel,False,known_correct,excel,4.283352375030518,8.563843727111816,0.5001670122146606,oos,True,known_rejected,adb_only_correct,1.0291011822283171
12,sharepoint,False,oos,True,known_rejected,sharepoint,11.907910346984863,8.862053871154785,1.3436964750289917,oos,True,known_rejected,both_wrong,1.2943779077146096
13,apache,False,apache,False,known_correct,apache,4.308025360107422,8.90427017211914,0.48381567001342773,apache,False,known_correct,both_correct,0.741566038915324
14,svn,False,svn,False,known_correct,svn,3.9514803886413574,8.403355598449707,0.4702264964580536,svn,False,known_correct,both_correct,0.7223111166689453
15,sharepoint,False,sharepoint,False,known_correct,sharepoint,6.5770392417907715,8.862053871154785,0.7421574592590332,sharepoint,False,known_correct,both_correct,0.6798927848374725
16,svn,False,svn,False,known_correct,svn,4.491514682769775,8.403355598449707,0.5344905853271484,svn,False,known_correct,both_correct,0.6596101034053423
17,oracle,False,oos,True,known_rejected,svn,10.44418716430664,8.403355598449707,1.242859125137329,oos,True,known_rejected,both_wrong,1.319224806758162
18,apache,False,apache,False,known_correct,apache,5.724339962005615,8.90427017211914,0.6428757905960083,apache,False,known_correct,both_correct,0.6674302316419682
19,apache,False,apache,False,known_correct,apache,5.8913140296936035,8.90427017211914,0.6616279482841492,apache,False,known_correct,both_correct,0.7285772706842416
20,oracle,False,oracle,False,known_correct,oracle,4.684608459472656,8.86109447479248,0.5286715626716614,oracle,False,known_correct,both_correct,0.7552858432389131
