dataset,kir,seed,method,n_known,n_oos,oos_precision,oos_recall,oos_f1,known_acceptance,oos_correct,oos_false_accept,known_rejected
clinc150,0.7500000000,42,ADB,3360,2340,0.8713099631,0.8072649573,0.8380656610,0.9169642857,1889,451,279
clinc150,0.7500000000,42,Trainable-K1,3360,2340,0.7200512492,0.9606837607,0.8231417063,0.7398809524,2248,92,874
clinc150,0.7500000000,87,ADB,3360,2340,0.8750000000,0.8465811966,0.8605560382,0.9157738095,1981,359,283
clinc150,0.7500000000,87,Trainable-K1,3360,2340,0.7293014230,0.9636752137,0.8302650957,0.7508928571,2255,85,837
clinc150,0.7500000000,100,ADB,3360,2340,0.8746081505,0.8346153846,0.8541438880,0.9166666667,1953,387,280
clinc150,0.7500000000,100,Trainable-K1,3360,2340,0.7372574811,0.9581196581,0.8333023602,0.7622023810,2242,98,799
clinc150,0.7500000000,123,ADB,3360,2340,0.8662628145,0.7944444444,0.8288007133,0.9145833333,1859,481,287
clinc150,0.7500000000,123,Trainable-K1,3360,2340,0.7336372517,0.9628205128,0.8327481057,0.7565476190,2253,87,818
stackoverflow,0.2500000000,13,ADB,1500,4500,0.9330494441,0.8764444444,0.9038615790,0.8113333333,3944,556,283
stackoverflow,0.2500000000,13,Trainable-K1,1500,4500,0.9434261145,0.9264444444,0.9348581680,0.8333333333,4169,331,250
stackoverflow,0.2500000000,42,ADB,1500,4500,0.9418314020,0.9211111111,0.9313560274,0.8293333333,4145,355,256
stackoverflow,0.2500000000,42,Trainable-K1,1500,4500,0.9486504279,0.9606666667,0.9546207353,0.8440000000,4323,177,234
stackoverflow,0.2500000000,87,ADB,1500,4500,0.9402985075,0.9240000000,0.9320780094,0.8240000000,4158,342,264
stackoverflow,0.2500000000,87,Trainable-K1,1500,4500,0.9505315687,0.9735555556,0.9619058074,0.8480000000,4381,119,228
stackoverflow,0.2500000000,100,ADB,1500,4500,0.9506285714,0.9242222222,0.9372394366,0.8560000000,4159,341,216
stackoverflow,0.2500000000,100,Trainable-K1,1500,4500,0.9507632767,0.9826666667,0.9664517539,0.8473333333,4422,78,229
stackoverflow,0.2500000000,123,ADB,1500,4500,0.9518206039,0.9526666667,0.9522434474,0.8553333333,4287,213,217
stackoverflow,0.2500000000,123,Trainable-K1,1500,4500,0.9482080420,0.9642222222,0.9561480829,0.8420000000,4339,161,237
stackoverflow,0.5000000000,13,ADB,3000,3000,0.8343987823,0.9136666667,0.8722354813,0.8186666667,2741,259,544
stackoverflow,0.5000000000,13,Trainable-K1,3000,3000,0.8464041653,0.8670000000,0.8565782974,0.8426666667,2601,399,472
stackoverflow,0.5000000000,42,ADB,3000,3000,0.8146268657,0.9096666667,0.8595275591,0.7930000000,2729,271,621
stackoverflow,0.5000000000,42,Trainable-K1,3000,3000,0.8460820896,0.9070000000,0.8754826255,0.8350000000,2721,279,495
stackoverflow,0.5000000000,87,ADB,3000,3000,0.8274721972,0.9176666667,0.8702386597,0.8086666667,2753,247,574
stackoverflow,0.5000000000,87,Trainable-K1,3000,3000,0.8478605388,0.8916666667,0.8692120227,0.8400000000,2675,325,480
stackoverflow,0.5000000000,100,ADB,3000,3000,0.8415284360,0.9470000000,0.8911543287,0.8216666667,2841,159,535
stackoverflow,0.5000000000,100,Trainable-K1,3000,3000,0.8530636526,0.9560000000,0.9016032694,0.8353333333,2868,132,494
stackoverflow,0.5000000000,123,ADB,3000,3000,0.8383084577,0.8986666667,0.8674388674,0.8266666667,2696,304,520
stackoverflow,0.5000000000,123,Trainable-K1,3000,3000,0.8519788096,0.9113333333,0.8806571106,0.8416666667,2734,266,475
stackoverflow,0.7500000000,13,ADB,4500,1500,0.6262944620,0.9273333333,0.7476484816,0.8155555556,1391,109,830
stackoverflow,0.7500000000,13,Trainable-K1,4500,1500,0.6661918329,0.9353333333,0.7781475319,0.8437777778,1403,97,703
stackoverflow,0.7500000000,42,ADB,4500,1500,0.6029995589,0.9113333333,0.7257764800,0.8000000000,1367,133,900
stackoverflow,0.7500000000,42,Trainable-K1,4500,1500,0.6595528455,0.8653333333,0.7485582468,0.8511111111,1298,202,670
stackoverflow,0.7500000000,87,ADB,4500,1500,0.6089771256,0.9406666667,0.7393240765,0.7986666667,1411,89,906
stackoverflow,0.7500000000,87,Trainable-K1,4500,1500,0.6540764625,0.9466666667,0.7736311632,0.8331111111,1420,80,751
stackoverflow,0.7500000000,100,ADB,4500,1500,0.6099322799,0.9006666667,0.7273216689,0.8080000000,1351,149,864
stackoverflow,0.7500000000,100,Trainable-K1,4500,1500,0.6332827516,0.8346666667,0.7201610584,0.8388888889,1252,248,725
stackoverflow,0.7500000000,123,ADB,4500,1500,0.6286107290,0.9140000000,0.7449062755,0.8200000000,1371,129,810
stackoverflow,0.7500000000,123,Trainable-K1,4500,1500,0.6692518248,0.9780000000,0.7946912243,0.8388888889,1467,33,725
