dataset,kir,delta_oos_precision_pp,delta_oos_recall_pp,delta_oos_f1_pp,delta_known_acceptance_pp,n_seeds
banking77,0.5000000000,-4.2762116563,16.7370631486,6.6117516160,-6.8351482154,5.0000000000
clinc150,0.5000000000,-8.7855672654,11.4905497206,0.9017114833,-16.7225146199,5.0000000000
stackoverflow,0.5000000000,2.1236465324,0.8096296296,1.8023781282,2.1881481481,5.0000000000
