dataset,kir,delta_oos_precision_pp,delta_oos_recall_pp,delta_oos_f1_pp,delta_known_acceptance_pp,n_seeds
banking77,0.2500000000,-0.9241907609,16.0775862069,8.8532750782,-5.6315789474,5
banking77,0.5000000000,-3.3088521497,17.9230769231,8.5958577990,-6.9342105263,5
banking77,0.7500000000,-8.5955920583,16.2105263158,2.3861219708,-7.9396551724,5
clinc150,0.2500000000,-3.8394423191,10.3464912281,3.5653755082,-17.3508771930,5
clinc150,0.5000000000,-8.2404936546,10.6550724638,1.0509699882,-16.4000000000,5
clinc150,0.7500000000,-14.2767658224,13.4700854701,-1.9112110464,-16.4166666667,5
stackoverflow,0.2500000000,0.4790180192,4.1822222222,2.3441209539,0.7733333333,5
stackoverflow,0.5000000000,1.7810903391,-1.0733333333,0.4587685885,2.5200000000,5
stackoverflow,0.7500000000,4.1108312388,-0.6800000000,2.6042448423,3.2711111111,5
