dev_accuracy,elapsed_time,epoch,learning_rate,max_ball_size,mean_ball_purity,mean_ball_radius,min_ball_size,mode,number_of_balls,selected_ball_count,subcentroid_loss,train_ce_loss
10.8,24.25,1,2e-05,20,1.0,0.8919734716415405,10,official_fixed,2212,10,2.29681134223938,2.306987321123164
17.9,22.358,2,2e-05,74,1.0,0.9003685057163239,10,official_fixed,2451,10,2.296407461166382,2.2971997768320938
26.3,21.434,3,2e-05,38,1.0,0.9431953267617659,10,official_fixed,2116,11,2.296241283416748,2.2745881537173656
44.7,21.046,4,2e-05,102,1.0,1.132328674197197,10,official_fixed,2051,16,2.294206142425537,2.228768211729983
59.5,20.646,5,2e-05,62,1.0,1.482120898462111,10,official_fixed,1727,31,2.290822982788086,2.1052165158251497
73.5,19.695,6,2e-05,161,1.0,2.0838333955177895,10,official_fixed,1277,65,2.284491777420044,1.788272890638798
84.2,17.6,7,2e-05,245,1.0,2.573029690522414,10,official_fixed,699,65,2.2773327827453613,1.263339322932223
86.8,16.388,8,2e-05,430,1.0,2.991082856288323,11,official_fixed,429,52,2.2708206176757812,0.7702818310007136
87.7,16.032,9,2e-05,501,1.0,3.266393789430944,10,official_fixed,345,41,2.268751621246338,0.512138897434194
88.5,16.047,10,2e-05,535,1.0,3.483750973428999,10,official_fixed,349,42,2.267019033432007,0.41765931058437267
88.8,15.772,11,2e-05,526,1.0,3.5483249402513692,10,official_fixed,247,51,2.266068696975708,0.3661739911804808
89.4,15.944,12,2e-05,540,1.0,3.614263473238264,10,official_fixed,276,35,2.265691041946411,0.33435481437977327
89.8,15.733,13,2e-05,538,1.0,3.703984812453941,10,official_fixed,232,54,2.262979030609131,0.3169677729936356
90.0,15.68,14,2e-05,487,1.0,3.722215082910326,10,official_fixed,268,36,2.26488995552063,0.29601142222576954
90.3,15.496,15,2e-05,531,1.0,3.809878594947584,10,official_fixed,230,33,2.26405668258667,0.28070661647522704
90.3,15.459,16,2e-05,514,1.0,3.899041082177843,10,official_fixed,200,28,2.2623212337493896,0.26653270740458307
90.8,15.264,17,2e-05,541,1.0,3.9440749660134315,10,official_fixed,115,32,2.2618091106414795,0.2556402881411796
90.6,15.685,18,2e-05,501,1.0,3.865439909696579,10,official_fixed,205,40,2.2620837688446045,0.24388549984135527
91.0,15.376,19,2e-05,506,1.0,3.9763043978635,10,official_fixed,140,34,2.261425733566284,0.23251027344389164
90.4,15.611,20,2e-05,521,1.0,3.9295386324326196,10,official_fixed,179,48,2.262350082397461,0.22099400739720526
91.2,15.775,21,2e-05,538,1.0,4.018422806964201,10,official_fixed,194,34,2.261823892593384,0.21615571100661096
91.4,15.437,22,2e-05,531,1.0,4.009453875677926,10,official_fixed,106,35,2.2584362030029297,0.2037030352239913
91.2,15.527,23,2e-05,530,1.0,4.015901578100104,10,official_fixed,213,38,2.2620656490325928,0.20156637864544036
91.0,15.566,24,2e-05,545,1.0,4.103578042984009,10,official_fixed,188,30,2.261151075363159,0.18943808425931222
91.4,15.44,25,2e-05,509,1.0,4.177001512967623,10,official_fixed,126,39,2.259849786758423,0.18365494019173562
91.1,15.379,26,2e-05,501,1.0,4.194843867550725,10,official_fixed,159,46,2.2602062225341797,0.17905025770689578
91.0,15.252,27,2e-05,510,1.0,4.24334242939949,10,official_fixed,145,32,2.2605178356170654,0.17130320424095113
91.6,15.615,28,2e-05,542,1.0,4.184043811427222,10,official_fixed,149,36,2.2592971324920654,0.16737010726269255
91.5,15.248,29,2e-05,531,1.0,4.318703460693359,12,official_fixed,155,25,2.260824680328369,0.16283973908804833
91.3,15.588,30,2e-05,525,1.0,4.255048320406959,10,official_fixed,169,42,2.260908365249634,0.1595389058298253
91.5,15.436,31,2e-05,500,1.0,4.300021695155723,10,official_fixed,103,51,2.2575137615203857,0.1487408862944613
91.1,15.245,32,2e-05,539,1.0,4.380327100555102,10,official_fixed,41,48,2.252812385559082,0.14289929051982594
91.2,15.269,33,2e-05,548,1.0,4.379261304592264,10,official_fixed,117,29,2.259934186935425,0.14358579430808413
91.4,15.161,34,2e-05,496,1.0,4.451090445885291,10,official_fixed,44,39,2.2515454292297363,0.1358702301662019
91.6,15.314,35,2e-05,543,1.0,4.53933100864805,10,official_fixed,172,29,2.259941339492798,0.12728573809912863
91.5,15.182,36,2e-05,551,1.0,4.529549212069125,10,official_fixed,129,37,2.2596027851104736,0.12770444741274448
91.5,15.093,37,2e-05,533,1.0,4.497938200831413,10,official_fixed,68,32,2.257795810699463,0.1286522535250542
91.3,15.062,38,2e-05,540,1.0,4.599526411957211,10,official_fixed,82,36,2.258608341217041,0.11987089825437423
10.8,21.521,1,2e-05,20,1.0,0.8919734716415405,10,unified_zero,2212,10,2.29681134223938,2.306987321123164
17.9,22.275,2,2e-05,74,1.0,0.9003685057163239,10,unified_zero,2451,10,2.296407461166382,2.2971997768320938
26.3,21.143,3,2e-05,38,1.0,0.9431953267617659,10,unified_zero,2116,11,2.296241283416748,2.2745881537173656
44.7,21.215,4,2e-05,102,1.0,1.132328674197197,10,unified_zero,2051,16,2.294206142425537,2.228768211729983
59.5,20.765,5,2e-05,62,1.0,1.482120898462111,10,unified_zero,1727,31,2.290822982788086,2.1052165158251497
73.5,19.647,6,2e-05,161,1.0,2.0838333955177895,10,unified_zero,1277,65,2.284491777420044,1.788272890638798
84.2,17.572,7,2e-05,245,1.0,2.573029690522414,10,unified_zero,699,65,2.2773327827453613,1.263339322932223
86.8,16.442,8,2e-05,430,1.0,2.991082856288323,11,unified_zero,429,52,2.2708206176757812,0.7702818310007136
87.7,16.085,9,2e-05,501,1.0,3.266393789430944,10,unified_zero,345,41,2.268751621246338,0.512138897434194
88.5,16.051,10,2e-05,535,1.0,3.483750973428999,10,unified_zero,349,42,2.267019033432007,0.41765931058437267
88.8,15.755,11,2e-05,526,1.0,3.5483249402513692,10,unified_zero,247,51,2.266068696975708,0.3661739911804808
89.4,15.92,12,2e-05,540,1.0,3.614263473238264,10,unified_zero,276,35,2.265691041946411,0.33435481437977327
89.8,15.752,13,2e-05,538,1.0,3.703984812453941,10,unified_zero,232,54,2.262979030609131,0.3169677729936356
90.0,15.803,14,2e-05,487,1.0,3.722215082910326,10,unified_zero,268,36,2.26488995552063,0.29601142222576954
