mode,ball_id,center_l2,majority_label,purity,radius,sample_count
official_fixed,0,11.64144257631621,1,1.0,2.2417101860046387,398
official_fixed,1,12.451386041162294,4,1.0,1.7365286350250244,521
official_fixed,2,11.333675370387517,7,1.0,2.466075897216797,544
official_fixed,3,12.084224229859515,8,1.0,2.4238905906677246,519
official_fixed,4,11.086722593792851,9,1.0,2.5959155559539795,449
official_fixed,5,11.533566489489038,5,1.0,2.381686210632324,406
official_fixed,6,12.324684139930662,0,1.0,2.462751865386963,403
official_fixed,7,10.214300447864,0,1.0,3.6574227809906006,11
official_fixed,8,11.100230315191734,1,1.0,2.8191335201263428,32
official_fixed,9,11.144529550941085,2,1.0,2.1381678581237793,18
official_fixed,10,11.08860897731689,2,1.0,2.436459541320801,27
official_fixed,11,11.772626097579904,3,1.0,1.9321963787078857,517
official_fixed,12,10.653782844126626,4,1.0,3.1658315658569336,11
official_fixed,13,11.835957905018883,6,1.0,2.2671847343444824,252
official_fixed,14,11.265844280678653,6,1.0,3.4598424434661865,29
official_fixed,15,9.83372128528202,9,1.0,4.055078506469727,11
official_fixed,16,11.390523543484209,5,1.0,2.368513584136963,26
official_fixed,17,11.359559632453914,5,1.0,2.160452127456665,11
official_fixed,18,11.766104614365895,0,1.0,2.6304547786712646,51
official_fixed,19,11.59163703981266,6,1.0,2.260561943054199,183
official_fixed,20,7.325812011375992,6,1.0,3.2898941040039062,10
official_fixed,21,11.416620989773474,5,1.0,2.07576847076416,15
official_fixed,22,11.522294509894046,2,1.0,1.9045261144638062,431
official_fixed,23,11.061904734691822,1,1.0,2.8962326049804688,15
official_fixed,24,10.469153338319705,2,1.0,3.5590803623199463,22
official_fixed,25,11.35894892268731,2,1.0,2.0756020545959473,37
official_fixed,26,11.554607285536411,3,1.0,2.276309013366699,10
official_fixed,27,11.059219955199179,2,1.0,2.4437901973724365,12
unified_zero,0,11.64144257631621,1,1.0,2.2417101860046387,398
unified_zero,1,12.451386041162294,4,1.0,1.7365286350250244,521
unified_zero,2,11.333675370387517,7,1.0,2.466075897216797,544
unified_zero,3,12.084224229859515,8,1.0,2.4238905906677246,519
unified_zero,4,11.086722593792851,9,1.0,2.5959155559539795,449
unified_zero,5,11.533566489489038,5,1.0,2.381686210632324,406
unified_zero,6,12.324684139930662,0,1.0,2.462751865386963,403
unified_zero,7,10.214300447864,0,1.0,3.6574227809906006,11
unified_zero,8,11.100230315191734,1,1.0,2.8191335201263428,32
unified_zero,9,11.144529550941085,2,1.0,2.1381678581237793,18
unified_zero,10,11.08860897731689,2,1.0,2.436459541320801,27
unified_zero,11,11.772626097579904,3,1.0,1.9321963787078857,517
unified_zero,12,10.653782844126626,4,1.0,3.1658315658569336,11
unified_zero,13,11.835957905018883,6,1.0,2.2671847343444824,252
unified_zero,14,11.265844280678653,6,1.0,3.4598424434661865,29
unified_zero,15,9.83372128528202,9,1.0,4.055078506469727,11
unified_zero,16,11.390523543484209,5,1.0,2.368513584136963,26
unified_zero,17,11.359559632453914,5,1.0,2.160452127456665,11
unified_zero,18,11.766104614365895,0,1.0,2.6304547786712646,51
unified_zero,19,11.59163703981266,6,1.0,2.260561943054199,183
unified_zero,20,7.325812011375992,6,1.0,3.2898941040039062,10
unified_zero,21,11.416620989773474,5,1.0,2.07576847076416,15
unified_zero,22,11.522294509894046,2,1.0,1.9045261144638062,431
unified_zero,23,11.061904734691822,1,1.0,2.8962326049804688,15
unified_zero,24,10.469153338319705,2,1.0,3.5590803623199463,22
unified_zero,25,11.35894892268731,2,1.0,2.0756020545959473,37
unified_zero,26,11.554607285536411,3,1.0,2.276309013366699,10
unified_zero,27,11.059219955199179,2,1.0,2.4437901973724365,12
