dataset,kir,seed,method,representation,oos_f1,f1_all,known_recall,false_accept_rate,auroc,aupr_oos
banking77,0.5,13,energy,frozen_minilm_native,0.559612846458425,0.7298576798023709,0.9493421052631579,0.5923076923076923,0.8672397941970311,0.8518218764783256
banking77,0.5,13,knn,frozen_minilm_native,0.5908115070845856,0.7416568310227962,0.9467105263157894,0.558974358974359,0.8908240553306344,0.877552021806147
banking77,0.5,13,lof,frozen_minilm_native,0.43575964826575475,0.704902594122953,0.9730263157894736,0.7141025641025641,0.8751085948043185,0.8569900048198904
banking77,0.5,13,msp,frozen_minilm_native,0.66041581736649,0.76556405478332,0.9453947368421053,0.4807692307692308,0.8909134615384615,0.8761335638985249
banking77,0.5,42,energy,frozen_minilm_native,0.6716831683168317,0.7596969103157135,0.9230263157894737,0.4564102564102564,0.8666675101214575,0.8657907617550578
banking77,0.5,42,knn,frozen_minilm_native,0.6394052044609665,0.7522290318429348,0.9427631578947369,0.5038461538461538,0.9045867071524967,0.88473611211741
banking77,0.5,42,lof,frozen_minilm_native,0.4282238442822384,0.7048324379097911,0.9638157894736842,0.717948717948718,0.867066464237517,0.8437966109831605
banking77,0.5,42,msp,frozen_minilm_native,0.6851704996034893,0.778367229079404,0.9355263157894737,0.4461538461538462,0.8930566801619433,0.8856432170490449
banking77,0.5,87,energy,frozen_minilm_native,0.65625,0.7613746081294422,0.9230263157894737,0.475,0.8792548076923077,0.8558899096781988
banking77,0.5,87,knn,frozen_minilm_native,0.6004246284501061,0.7443078350980176,0.9421052631578948,0.5467948717948717,0.8968227058029689,0.8777593427498591
banking77,0.5,87,lof,frozen_minilm_native,0.5074074074074074,0.7256069918383578,0.9657894736842105,0.6487179487179487,0.8754038039811066,0.8559580973022852
banking77,0.5,87,msp,frozen_minilm_native,0.6390823433019255,0.7678633037230441,0.9335526315789474,0.5,0.890978407557355,0.8696019726456179
clinc150,0.5,13,energy,frozen_minilm_native,0.8345703447138381,0.8171915874173804,0.9631111111111111,0.26666666666666666,0.9541294685990338,0.9685515836056553
clinc150,0.5,13,knn,frozen_minilm_native,0.7088422971741112,0.7151150696347003,0.9595555555555556,0.4365217391304348,0.9107049275362319,0.9391495817214524
clinc150,0.5,13,lof,frozen_minilm_native,0.5760387252924566,0.6729748442316443,0.9644444444444444,0.5860869565217391,0.9001316586151369,0.9149861926283019
clinc150,0.5,13,msp,frozen_minilm_native,0.8359927619674289,0.825671437415429,0.9608888888888889,0.2634782608695652,0.955640193236715,0.9691319521819983
clinc150,0.5,42,energy,frozen_minilm_native,0.8501053313887539,0.8249199492630094,0.9564444444444444,0.23971014492753623,0.9499404830917874,0.9670231487983656
clinc150,0.5,42,knn,frozen_minilm_native,0.7836217234880932,0.7425184834853615,0.9555555555555556,0.33710144927536234,0.9251181964573268,0.9500758238497018
clinc150,0.5,42,lof,frozen_minilm_native,0.6581749049429658,0.6857386004558412,0.9648888888888889,0.49826086956521737,0.9133931723027376,0.9260189315653554
clinc150,0.5,42,msp,frozen_minilm_native,0.8671239432126336,0.8454248160576616,0.9551111111111111,0.21217391304347827,0.9545968438003221,0.970296266565118
clinc150,0.5,87,energy,frozen_minilm_native,0.8438818565400844,0.8130419958524564,0.9502222222222222,0.2463768115942029,0.9495323671497584,0.9621522867986172
clinc150,0.5,87,knn,frozen_minilm_native,0.7513637163469998,0.7243298224241562,0.9564444444444444,0.38115942028985506,0.9238180998389693,0.9463425060643023
clinc150,0.5,87,lof,frozen_minilm_native,0.6591123701605288,0.6834652169369267,0.9555555555555556,0.49420289855072463,0.9078383896940418,0.9244210464791143
clinc150,0.5,87,msp,frozen_minilm_native,0.8590582601755786,0.830024573156822,0.9448888888888889,0.22,0.9505829307568439,0.9638826555437333
stackoverflow,0.5,13,energy,frozen_minilm_native,0.3983614951356887,0.6983242942281312,0.9573333333333334,0.7406666666666667,0.8810601111111112,0.8331347968765054
stackoverflow,0.5,13,knn,frozen_minilm_native,0.4776774823127592,0.668006788922529,0.96,0.6736666666666666,0.8819826111111111,0.8496700773377611
stackoverflow,0.5,13,lof,frozen_minilm_native,0.31312314739962277,0.6240641592745586,0.9566666666666667,0.8063333333333333,0.7830837222222221,0.741197352251354
stackoverflow,0.5,13,msp,frozen_minilm_native,0.48083454633672973,0.7217305583320622,0.9563333333333334,0.6696666666666666,0.8844338888888889,0.8433184040424098
stackoverflow,0.5,42,energy,frozen_minilm_native,0.5388914764788076,0.7239723540531632,0.9543333333333334,0.6143333333333333,0.8961572222222223,0.8633895743679019
stackoverflow,0.5,42,knn,frozen_minilm_native,0.7119754350051177,0.7351021036780699,0.9513333333333334,0.42033333333333334,0.909156222222222,0.9020698319758267
stackoverflow,0.5,42,lof,frozen_minilm_native,0.35510097036454236,0.6189439446009419,0.9546666666666667,0.7743333333333333,0.8306493333333334,0.7874712170661109
stackoverflow,0.5,42,msp,frozen_minilm_native,0.5386766076421249,0.7306917514419471,0.9546666666666667,0.6146666666666667,0.8914786666666666,0.8556920851196044
stackoverflow,0.5,87,energy,frozen_minilm_native,0.4167923579688286,0.696890531038079,0.9503333333333334,0.7236666666666667,0.8735341111111112,0.823413328647639
stackoverflow,0.5,87,knn,frozen_minilm_native,0.6585263157894737,0.730204966388268,0.938,0.4786666666666667,0.902258777777778,0.8803652616709202
stackoverflow,0.5,87,lof,frozen_minilm_native,0.3368756641870351,0.6431129044910683,0.9566666666666667,0.7886666666666666,0.8046947222222222,0.7642290227450175
stackoverflow,0.5,87,msp,frozen_minilm_native,0.4814457831325301,0.7192717382517123,0.9496666666666667,0.667,0.8768295555555556,0.8362033751540754
