dataset,kir,comparison_method,metric,left,right,n_seeds,mean_left_minus_right,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
clinc150,0.5,lof,oos_f1,Trainable native,Frozen native,3,0.1559041547236294,0.14310760965783642,0.17893749454196295,3,0,0,20260725,10000
clinc150,0.5,lof,f1_all,Trainable native,Frozen native,3,0.1084164897292416,0.104336192064436,0.1146902286879461,3,0,0,20260725,10000
clinc150,0.5,lof,known_recall,Trainable native,Frozen native,3,-0.005185185185185219,-0.008888888888888946,-0.001777777777777767,0,0,3,20260725,10000
clinc150,0.5,lof,false_accept_rate,Trainable native,Frozen native,3,-0.19410628019323672,-0.2072463768115942,-0.1855072463768116,0,0,3,20260725,10000
clinc150,0.5,lof,auroc,Trainable native,Frozen native,3,0.03473498658078367,0.029129983896940326,0.04109771336553947,3,0,0,20260725,10000
clinc150,0.5,lof,aupr_oos,Trainable native,Frozen native,3,0.031133388061646155,0.026967575485075335,0.037704675245321506,3,0,0,20260725,10000
stackoverflow,0.5,lof,oos_f1,Trainable native,Frozen native,3,0.30030881094916784,0.22976048727817044,0.36314484022141275,3,0,0,20260725,10000
stackoverflow,0.5,lof,f1_all,Trainable native,Frozen native,3,0.13192601542465743,0.11703511418732648,0.14104091246135975,3,0,0,20260725,10000
stackoverflow,0.5,lof,known_recall,Trainable native,Frozen native,3,-0.006666666666666636,-0.013333333333333308,-0.0023333333333332984,0,0,3,20260725,10000
stackoverflow,0.5,lof,false_accept_rate,Trainable native,Frozen native,3,-0.28277777777777774,-0.35766666666666663,-0.19666666666666666,0,0,3,20260725,10000
stackoverflow,0.5,lof,auroc,Trainable native,Frozen native,3,0.08845442592592605,0.07833572222222229,0.09422272222222239,3,0,0,20260725,10000
stackoverflow,0.5,lof,aupr_oos,Trainable native,Frozen native,3,0.11362401782413667,0.11007935345051534,0.11685161609543315,3,0,0,20260725,10000
banking77,0.5,msp,oos_f1,Trainable native,Frozen native,3,0.06403549903314643,0.03923288761744992,0.08440396599232824,3,0,0,20260725,10000
banking77,0.5,msp,f1_all,Trainable native,Frozen native,3,0.03187254592133607,0.021160536162664778,0.03776392395892936,3,0,0,20260725,10000
banking77,0.5,msp,known_recall,Trainable native,Frozen native,3,0.00043859649122809,-0.003289473684210509,0.003947368421052588,2,0,1,20260725,10000
banking77,0.5,msp,false_accept_rate,Trainable native,Frozen native,3,-0.07905982905982907,-0.10128205128205126,-0.049358974358974406,0,0,3,20260725,10000
banking77,0.5,msp,auroc,Trainable native,Frozen native,3,0.013468145524066536,0.0038626012145748234,0.01839532726045867,3,0,0,20260725,10000
banking77,0.5,msp,aupr_oos,Trainable native,Frozen native,3,0.022104261288259153,0.01322788216110471,0.029880562061397886,3,0,0,20260725,10000
clinc150,0.5,msp,oos_f1,Trainable native,Frozen native,3,0.029720585448181642,0.015552356457540717,0.04690119722420805,3,0,0,20260725,10000
clinc150,0.5,msp,f1_all,Trainable native,Frozen native,3,0.02903554959031703,0.016941398792979734,0.042419203122791016,3,0,0,20260725,10000
clinc150,0.5,msp,known_recall,Trainable native,Frozen native,3,-0.002962962962962982,-0.00666666666666671,0.0004444444444444695,1,0,2,20260725,10000
clinc150,0.5,msp,false_accept_rate,Trainable native,Frozen native,3,-0.04975845410628019,-0.08144927536231883,-0.026666666666666672,0,0,3,20260725,10000
clinc150,0.5,msp,auroc,Trainable native,Frozen native,3,0.009317616747181937,0.007501578099838868,0.01235310789049926,3,0,0,20260725,10000
clinc150,0.5,msp,aupr_oos,Trainable native,Frozen native,3,0.0045619301982260385,0.003232214081289264,0.0066860768742551535,3,0,0,20260725,10000
stackoverflow,0.5,msp,oos_f1,Trainable native,Frozen native,3,-0.04419174324065306,-0.0692196711456956,-0.026960631310763983,0,0,3,20260725,10000
stackoverflow,0.5,msp,f1_all,Trainable native,Frozen native,3,-0.01435230198077427,-0.02088232910193033,-0.009037367418072262,0,0,3,20260725,10000
stackoverflow,0.5,msp,known_recall,Trainable native,Frozen native,3,0.0024444444444444344,-0.002666666666666706,0.005666666666666709,2,0,1,20260725,10000
stackoverflow,0.5,msp,false_accept_rate,Trainable native,Frozen native,3,0.04,0.025000000000000022,0.061000000000000054,3,0,0,20260725,10000
stackoverflow,0.5,msp,auroc,Trainable native,Frozen native,3,-0.001583666666666687,-0.009186111111111228,0.006790444444444432,1,0,2,20260725,10000
stackoverflow,0.5,msp,aupr_oos,Trainable native,Frozen native,3,-0.0019128926712987198,-0.008520774858497004,0.002903064609059536,1,0,2,20260725,10000
