index,dataset,kir,method,oos_f1_mean,oos_f1_std,oos_f1_count,f1_all_mean,f1_all_std,f1_all_count,known_recall_mean,known_recall_std,known_recall_count,false_accept_rate_mean,false_accept_rate_std,false_accept_rate_count,auroc_mean,auroc_std,auroc_count,aupr_oos_mean,aupr_oos_std,aupr_oos_count
0,banking77,0.5,energy,0.6951611103617953,0.001799451240559297,3,0.780682110726134,0.0013280993131811172,3,0.9285087719298245,0.002658849923899556,3,0.4301282051282051,0.003391988860339246,3,0.8888250674763832,0.007543312300758407,3,0.8818827469418529,0.005479970047514523,3
1,banking77,0.5,knn,0.6734709967108099,0.01071562928634746,3,0.775517371736736,0.011328407038542232,3,0.9478070175438597,0.005478068419647735,3,0.4664529914529914,0.010732793465704611,3,0.9086278396311291,0.002756601702557147,3,0.8967968498506415,0.004360142653677869,3
2,banking77,0.5,lof,0.5765866980603374,0.03683358119887512,3,0.7458972333680602,0.013997346522340092,3,0.9504385964912281,0.009334998532365222,3,0.5745726495726496,0.04094710699055963,3,0.8852552153621231,0.016506621282177517,3,0.8656280564958295,0.013954392722724081,3
3,banking77,0.5,msp,0.7255917191237814,0.002889084445039529,3,0.8024707417832588,0.0030553314383655367,3,0.9385964912280702,0.0031090892277977726,3,0.39658119658119656,0.0022512080668489007,3,0.9051176619433198,0.007101738877625116,3,0.8992305124859884,0.0003195512019960448,3
4,clinc150,0.5,energy,0.8830116210468443,0.010036845622716653,3,0.8558951167106711,0.0071517329478407105,3,0.9502222222222222,0.008231226301089871,3,0.18367149758454107,0.019651090845563,3,0.9628395061728394,0.003932431296298432,3,0.972887868078458,0.002753453558025652,3
5,clinc150,0.5,knn,0.8680568054315865,0.011554371075357128,3,0.8367070489853309,0.009105722429530567,3,0.946074074074074,0.004955771461830466,3,0.2059903381642512,0.021261088552527684,3,0.9577105743424584,0.0036007775173890356,3,0.9700494568086282,0.0010364218002192538,3
6,clinc150,0.5,lof,0.7870128215222798,0.027756365720549236,3,0.7891427102707124,0.0012941831072571773,3,0.9564444444444445,0.0060123330037638945,3,0.33207729468599034,0.04049819279533029,3,0.9418560601180891,0.0006478379448587234,3,0.9529421116192367,0.0002322505104393913,3
7,clinc150,0.5,msp,0.8837789072333954,0.021650314241424048,3,0.862742491800288,0.009518725500827045,3,0.9506666666666667,0.011657668487648041,3,0.1821256038647343,0.04198631850590046,3,0.9629242726784756,0.0008200311039951293,3,0.9723322216285092,0.0017477358600626154,3
8,stackoverflow,0.5,energy,0.4294748378056091,0.031168472289225518,3,0.6980347119956186,0.0033247187424948832,3,0.9565555555555556,0.003469443332443588,3,0.7143333333333333,0.026104490886520705,3,0.8829404444444444,0.017129536934564073,3,0.8405658728671487,0.0179621819175103,3
9,stackoverflow,0.5,knn,0.6883318869318287,0.08014090147653297,3,0.7721988930219353,0.024220719806993155,3,0.9516666666666667,0.011140516644712242,3,0.44588888888888895,0.0956500179086545,3,0.9295838518518519,0.005462954685241651,3,0.9071722849081674,0.020034713679401576,3
10,stackoverflow,0.5,lof,0.6353420715995679,0.08216930952960183,3,0.7606330182135137,0.019865757256782773,3,0.9493333333333333,0.005196152422706636,3,0.507,0.09227013480957846,3,0.8945970185185187,0.016965970004646398,3,0.8779232151782974,0.01975195838526179,3
11,stackoverflow,0.5,msp,0.4561272357964752,0.050961478163732025,3,0.7095457140277995,0.008374419854669581,3,0.956,0.004371625682867987,3,0.6904444444444445,0.04640921045239633,3,0.8826637037037037,0.015321216122126391,3,0.8431583954340645,0.014194335458091414,3
