dataset,kir,seed,method,representation,oos_f1,f1_all,known_recall,false_accept_rate,auroc,aupr_oos
banking77,0.5,13,trainable_k1,trainable_minilm_gate_k1,0.8462021343377275,0.8199086432567366,0.8171052631578948,0.1358974358974359,0.911104504048583,0.8997160473749267
banking77,0.5,42,trainable_k1,trainable_minilm_gate_k1,0.8414403032217309,0.8168639763258652,0.8197368421052631,0.1461538461538461,0.9006448211875844,0.8851886213770147
banking77,0.5,87,trainable_k1,trainable_minilm_gate_k1,0.8554480174836091,0.8324583407388371,0.8203947368421053,0.1217948717948717,0.9123578778677464,0.8918112259260201
clinc150,0.5,13,trainable_k1,trainable_minilm_gate_k1,0.9070904645476772,0.8261993158424226,0.7453333333333334,0.0321739130434782,0.9580215136876004,0.969613073854642
clinc150,0.5,42,trainable_k1,trainable_minilm_gate_k1,0.8971451987433411,0.8075141354234163,0.739111111111111,0.0481159420289855,0.9461893719806764,0.9595486046293606
clinc150,0.5,87,trainable_k1,trainable_minilm_gate_k1,0.9086720867208672,0.8234017136184874,0.7435555555555555,0.0281159420289855,0.9497262479871176,0.9565369353120584
stackoverflow,0.5,13,trainable_k1,trainable_minilm_gate_k1,0.8565782973818541,0.8523954175911279,0.8426666666666667,0.133,0.9058574444444444,0.8624639062641226
stackoverflow,0.5,42,trainable_k1,trainable_minilm_gate_k1,0.8754826254826255,0.8576590966593717,0.835,0.093,0.9267934444444444,0.9119942660488356
stackoverflow,0.5,87,trainable_k1,trainable_minilm_gate_k1,0.8692120227457352,0.8595641369722073,0.84,0.1083333333333333,0.9198784444444444,0.8888527044060599
