protocol_version,experiment,dataset,kir,seed,method,representation,run_id,oos_f1,oos_precision,oos_recall,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,known_macro_f1,f1_all,accuracy,checkpoint_sha256,train_embedding_sha256,test_embedding_sha256,test_used_for_selection,uses_oos_for_training
protocol_v2_textoir_v1,native_baselines_trainable_v1,banking77,0.5,87,lof,trainable_minilm_native,native_baselines_trainable_v1__banking77__kir_0.50__seed_87__repr_trainable__baseline_lof,0.6174496644295302,0.8932038834951457,0.4717948717948718,0.9421052631578948,0.5282051282051282,0.05789473684210526,0.891507886302294,0.8653780981153812,0.7658432606322949,0.7620382966270958,0.688961038961039,a8f59401e6206d70357440ed06dfa9f5b1f213fc549a15051fc4df0e99921363,125117444a42a18a80a0c27dc3312d0d15e89c985de6499cb6433507c31d350b,a61af8101b6368c197e6e51f98faf289eb1d9e9cbef952a2e4deb14912538767,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,banking77,0.5,87,msp,trainable_minilm_native,native_baselines_trainable_v1__banking77__kir_0.50__seed_87__repr_trainable__baseline_msp,0.7234863092942537,0.9080348499515973,0.6012820512820513,0.9375,0.39871794871794874,0.0625,0.9093737348178137,0.8994825347070158,0.8077888307974398,0.8056272276819735,0.7548701298701299,a8f59401e6206d70357440ed06dfa9f5b1f213fc549a15051fc4df0e99921363,125117444a42a18a80a0c27dc3312d0d15e89c985de6499cb6433507c31d350b,a61af8101b6368c197e6e51f98faf289eb1d9e9cbef952a2e4deb14912538767,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,13,energy,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_13__repr_trainable__baseline_energy,0.8776545166402535,0.9681818181818181,0.802608695652174,0.9595555555555556,0.1973913043478261,0.04044444444444444,0.9671247665056361,0.9757269318458038,0.8595411486319025,0.8597794824214859,0.8610526315789474,b8cd685427b2902aa3f0a22552a4d51e804f8de5785c6ad12bc1916c12423de7,112d60ccd8841ae834daf1322c50a8c492a4aa486b8c796c83ffd04b7c252a9f,e3682d9a443512ba20699e6db6bba1d6a1df7a4b466c2a450bce0230f2e81e1d,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,13,knn,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_13__repr_trainable__baseline_knn,0.8612975391498882,0.9597578347578347,0.7811594202898551,0.9497777777777778,0.21884057971014492,0.050222222222222224,0.9549062801932366,0.9695504331265549,0.8413902532604836,0.8416521912327126,0.8417543859649123,b8cd685427b2902aa3f0a22552a4d51e804f8de5785c6ad12bc1916c12423de7,112d60ccd8841ae834daf1322c50a8c492a4aa486b8c796c83ffd04b7c252a9f,e3682d9a443512ba20699e6db6bba1d6a1df7a4b466c2a450bce0230f2e81e1d,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,13,lof,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_13__repr_trainable__baseline_lof,0.7549762198344195,0.9622810956443646,0.621159420289855,0.9626666666666667,0.37884057971014495,0.037333333333333336,0.9412293719806764,0.9526908678736234,0.7881009242940593,0.7876650729195904,0.7489473684210526,b8cd685427b2902aa3f0a22552a4d51e804f8de5785c6ad12bc1916c12423de7,112d60ccd8841ae834daf1322c50a8c492a4aa486b8c796c83ffd04b7c252a9f,e3682d9a443512ba20699e6db6bba1d6a1df7a4b466c2a450bce0230f2e81e1d,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,13,msp,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_13__repr_trainable__baseline_msp,0.862700964630225,0.9685920577617328,0.7776811594202898,0.9613333333333334,0.22231884057971016,0.03866666666666667,0.9637383574879227,0.9723641662632876,0.8532937045324812,0.8534174842706094,0.8475438596491228,b8cd685427b2902aa3f0a22552a4d51e804f8de5785c6ad12bc1916c12423de7,112d60ccd8841ae834daf1322c50a8c492a4aa486b8c796c83ffd04b7c252a9f,e3682d9a443512ba20699e6db6bba1d6a1df7a4b466c2a450bce0230f2e81e1d,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,42,energy,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_42__repr_trainable__baseline_energy,0.8767899291896145,0.9590361445783132,0.807536231884058,0.9471111111111111,0.19246376811594204,0.05288888888888889,0.9593963285024154,0.9727078095466212,0.8472531060235925,0.8476417484336717,0.8556140350877193,b62af6a2e5f4af2b636643f5746fc60311c9b8df15a1b12ce779142e635a0a09,fa660f512d2cb17c50ebd15c9d49e8ba25d52b693fcbceb895ac6dfe5243897f,4726beb2d7de551ac34f4fd8373cfe5d3748f86346cbb07bb0822521121705f1,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,42,knn,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_42__repr_trainable__baseline_knn,0.8614746249601022,0.9584517045454546,0.7823188405797101,0.948,0.21768115942028984,0.052,0.9564542351046699,0.9693569486543796,0.8257283775849106,0.8261987229451105,0.8378947368421052,b62af6a2e5f4af2b636643f5746fc60311c9b8df15a1b12ce779142e635a0a09,fa660f512d2cb17c50ebd15c9d49e8ba25d52b693fcbceb895ac6dfe5243897f,4726beb2d7de551ac34f4fd8373cfe5d3748f86346cbb07bb0822521121705f1,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,42,lof,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_42__repr_trainable__baseline_lof,0.8038422649140546,0.9601449275362319,0.691304347826087,0.956,0.30869565217391304,0.044,0.942523156199678,0.9529865070504308,0.7898912262216935,0.7900747925202772,0.7847368421052632,b62af6a2e5f4af2b636643f5746fc60311c9b8df15a1b12ce779142e635a0a09,fa660f512d2cb17c50ebd15c9d49e8ba25d52b693fcbceb895ac6dfe5243897f,4726beb2d7de551ac34f4fd8373cfe5d3748f86346cbb07bb0822521121705f1,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,42,msp,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_42__repr_trainable__baseline_msp,0.8826762996701744,0.9633184778882413,0.8144927536231884,0.9524444444444444,0.1855072463768116,0.04755555555555555,0.9620984219001609,0.9740637662042517,0.8620954137197142,0.8623662148506414,0.8642105263157894,b62af6a2e5f4af2b636643f5746fc60311c9b8df15a1b12ce779142e635a0a09,fa660f512d2cb17c50ebd15c9d49e8ba25d52b693fcbceb895ac6dfe5243897f,4726beb2d7de551ac34f4fd8373cfe5d3748f86346cbb07bb0822521121705f1,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,87,energy,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_87__repr_trainable__baseline_energy,0.8945904173106646,0.9582781456953643,0.8388405797101449,0.944,0.16115942028985508,0.056,0.9619974235104669,0.9702288628429488,0.8598064353030713,0.8602641192768555,0.873859649122807,ff2e12e6d871f7470896a7693f7132e1a4574644358cbbcff2ee0a4a05772b00,a10c2386ed5918fef71882210916df02e5c70b661ce1781e48e8877c2e04b189,b0ef416459ec5829bcb9dbe71af33775669c7e6ac351a1bfd09c0c459d3a0813,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,87,knn,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_87__repr_trainable__baseline_knn,0.8813982521847691,0.9546991210277215,0.8185507246376812,0.9404444444444444,0.18144927536231883,0.059555555555555556,0.9617712077294687,0.97124098864495,0.8417485258527478,0.8422702327781693,0.8580701754385965,ff2e12e6d871f7470896a7693f7132e1a4574644358cbbcff2ee0a4a05772b00,a10c2386ed5918fef71882210916df02e5c70b661ce1781e48e8877c2e04b189,b0ef416459ec5829bcb9dbe71af33775669c7e6ac351a1bfd09c0c459d3a0813,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,87,lof,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_87__repr_trainable__baseline_lof,0.8022199798183652,0.9555288461538461,0.691304347826087,0.9506666666666667,0.30869565217391304,0.04933333333333333,0.941815652173913,0.9531489599336559,0.7895211758463214,0.7896882653722694,0.7836842105263158,ff2e12e6d871f7470896a7693f7132e1a4574644358cbbcff2ee0a4a05772b00,a10c2386ed5918fef71882210916df02e5c70b661ce1781e48e8877c2e04b189,b0ef416459ec5829bcb9dbe71af33775669c7e6ac351a1bfd09c0c459d3a0813,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,clinc150,0.5,87,msp,trainable_minilm_native,native_baselines_trainable_v1__clinc150__kir_0.50__seed_87__repr_trainable__baseline_msp,0.9059594573997867,0.9553198328511733,0.8614492753623189,0.9382222222222222,0.13855072463768117,0.06177777777777778,0.9629360386473431,0.9705687324179885,0.871996900531344,0.872443776279613,0.8871929824561403,ff2e12e6d871f7470896a7693f7132e1a4574644358cbbcff2ee0a4a05772b00,a10c2386ed5918fef71882210916df02e5c70b661ce1781e48e8877c2e04b189,b0ef416459ec5829bcb9dbe71af33775669c7e6ac351a1bfd09c0c459d3a0813,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,13,energy,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_13__repr_trainable__baseline_energy,0.4017377970866343,0.8608981380065718,0.262,0.9576666666666667,0.738,0.042333333333333334,0.8798855555555556,0.8385690620842409,0.7234415961106715,0.6941957961993954,0.5915,006d27e7030761616a5de81792925a08869b6a6309712e98c27d6b9ff1e6b85c,bb8c2199d0a901d949cb9b378712b995830af4f2b58770aec140f43ab18d4668,b251da6230b7abe8e1916576a1ff3ae84a70b3784ad7512ab276548b360b39ff,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,13,knn,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_13__repr_trainable__baseline_knn,0.5959256771882695,0.907293796864349,0.44366666666666665,0.9546666666666667,0.5563333333333333,0.04533333333333334,0.9232757777777778,0.8891061232385837,0.7590771249269846,0.7442451751325561,0.6835,006d27e7030761616a5de81792925a08869b6a6309712e98c27d6b9ff1e6b85c,bb8c2199d0a901d949cb9b378712b995830af4f2b58770aec140f43ab18d4668,b251da6230b7abe8e1916576a1ff3ae84a70b3784ad7512ab276548b360b39ff,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,13,lof,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_13__repr_trainable__baseline_lof,0.5428836346777932,0.89117199391172,0.3903333333333333,0.9523333333333334,0.6096666666666667,0.04766666666666667,0.8758885555555556,0.8580489683467871,0.7609208373402943,0.7410992734618851,0.654,006d27e7030761616a5de81792925a08869b6a6309712e98c27d6b9ff1e6b85c,bb8c2199d0a901d949cb9b378712b995830af4f2b58770aec140f43ab18d4668,b251da6230b7abe8e1916576a1ff3ae84a70b3784ad7512ab276548b360b39ff,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,13,msp,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_13__repr_trainable__baseline_msp,0.4116148751910341,0.8725701943844493,0.2693333333333333,0.9606666666666667,0.7306666666666667,0.03933333333333333,0.8820785555555556,0.8462214686514693,0.7297715646340417,0.7008482292301319,0.5973333333333334,006d27e7030761616a5de81792925a08869b6a6309712e98c27d6b9ff1e6b85c,bb8c2199d0a901d949cb9b378712b995830af4f2b58770aec140f43ab18d4668,b251da6230b7abe8e1916576a1ff3ae84a70b3784ad7512ab276548b360b39ff,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,42,energy,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_42__repr_trainable__baseline_energy,0.46320452867339407,0.8852304797742239,0.31366666666666665,0.9593333333333334,0.6863333333333334,0.04066666666666666,0.901391888888889,0.8594430237196433,0.7235980437104935,0.699925905979848,0.615,67a7e6e30e39b9ee02c498b4215280c483a208bd100a80b03026f30a4a9a8fae,6a222bc029dd12396978809bc664adabd636867ec60b95eceadf97dc33a7f382,c4bca64707c63f1a4b9910ef4de09b439ccf1ca76d7928e0294cc5d2803878f2,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,42,knn,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_42__repr_trainable__baseline_knn,0.7388225773821566,0.9397838394235718,0.6086666666666667,0.961,0.3913333333333333,0.039,0.9327428888888889,0.9287193620715487,0.7900693644836363,0.785410565656229,0.7618333333333334,67a7e6e30e39b9ee02c498b4215280c483a208bd100a80b03026f30a4a9a8fae,6a222bc029dd12396978809bc664adabd636867ec60b95eceadf97dc33a7f382,c4bca64707c63f1a4b9910ef4de09b439ccf1ca76d7928e0294cc5d2803878f2,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,42,lof,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_42__repr_trainable__baseline_lof,0.6631220757124627,0.9159811985898942,0.5196666666666667,0.9523333333333334,0.48033333333333333,0.04766666666666667,0.9089850555555556,0.8975505705166262,0.7696711351972855,0.7599848570623017,0.713,67a7e6e30e39b9ee02c498b4215280c483a208bd100a80b03026f30a4a9a8fae,6a222bc029dd12396978809bc664adabd636867ec60b95eceadf97dc33a7f382,c4bca64707c63f1a4b9910ef4de09b439ccf1ca76d7928e0294cc5d2803878f2,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,42,msp,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_42__repr_trainable__baseline_msp,0.5117159763313609,0.8824489795918368,0.36033333333333334,0.952,0.6396666666666667,0.048,0.8982691111111111,0.8555711173551457,0.7381383985884534,0.7175545420196269,0.6376666666666667,67a7e6e30e39b9ee02c498b4215280c483a208bd100a80b03026f30a4a9a8fae,6a222bc029dd12396978809bc664adabd636867ec60b95eceadf97dc33a7f382,c4bca64707c63f1a4b9910ef4de09b439ccf1ca76d7928e0294cc5d2803878f2,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,87,energy,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_87__repr_trainable__baseline_energy,0.4234821876567988,0.8559837728194726,0.2813333333333333,0.9526666666666667,0.7186666666666667,0.04733333333333333,0.8675438888888889,0.8236855327975621,0.7276324584226935,0.6999824338076122,0.601,00d419f9a882d189e1ed8dbd017056b7999d1472aaf4beff832068017978880e,966ce605251adb9cac002be64f7e01affb13644e8e3fc0a7a7241236c78c4cc4,545ee5a0a5f6fb528b009feebf8941e08ece2c15fe9288a50c900a78b7286fa3,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,87,knn,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_87__repr_trainable__baseline_knn,0.7302474062250599,0.9095427435387674,0.61,0.9393333333333334,0.39,0.06066666666666667,0.9327328888888888,0.9036913694143697,0.792610291482217,0.7869409382770208,0.7578333333333334,00d419f9a882d189e1ed8dbd017056b7999d1472aaf4beff832068017978880e,966ce605251adb9cac002be64f7e01affb13644e8e3fc0a7a7241236c78c4cc4,545ee5a0a5f6fb528b009feebf8941e08ece2c15fe9288a50c900a78b7286fa3,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,87,lof,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_87__repr_trainable__baseline_lof,0.7000205044084478,0.9094299413958444,0.569,0.9433333333333334,0.431,0.056666666666666664,0.8989174444444445,0.878170106671479,0.7888943660871448,0.7808149241163543,0.7368333333333333,00d419f9a882d189e1ed8dbd017056b7999d1472aaf4beff832068017978880e,966ce605251adb9cac002be64f7e01affb13644e8e3fc0a7a7241236c78c4cc4,545ee5a0a5f6fb528b009feebf8941e08ece2c15fe9288a50c900a78b7286fa3,False,False
protocol_v2_textoir_v1,native_baselines_trainable_v1,stackoverflow,0.5,87,msp,trainable_minilm_native,native_baselines_trainable_v1__stackoverflow__kir_0.50__seed_87__repr_trainable__baseline_msp,0.4450508558670305,0.8700290979631425,0.299,0.9553333333333334,0.701,0.04466666666666667,0.8676434444444444,0.8276826002955784,0.736752722330301,0.71023437083364,0.6123333333333333,00d419f9a882d189e1ed8dbd017056b7999d1472aaf4beff832068017978880e,966ce605251adb9cac002be64f7e01affb13644e8e3fc0a7a7241236c78c4cc4,545ee5a0a5f6fb528b009feebf8941e08ece2c15fe9288a50c900a78b7286fa3,False,False
