dataset,kir,k,n_seeds,oos_f1_mean,oos_f1_std
banking77,0.5,1,5,0.8356406184886493,0.0163243199486435
banking77,0.5,2,5,0.8379545696820276,0.0154380456922408
banking77,0.5,3,5,0.8393220656144553,0.0094070123844639
banking77,0.5,4,5,0.8371271587598781,0.0079216866107586
banking77,0.5,5,5,0.8350327701486314,0.0103525210172023
clinc150,0.5,1,5,0.9043941395821132,0.0039730127753255
clinc150,0.5,2,5,0.8993543679646981,0.0042175683622332
clinc150,0.5,3,5,0.8903156496134915,0.0036512429790987
clinc150,0.5,4,5,0.881574233988679,0.0030660454592151
clinc150,0.5,5,5,0.8727156057274794,0.003539255743683
stackoverflow,0.5,1,5,0.8767066651336372,0.0148207020770661
stackoverflow,0.5,2,5,0.6903703642548853,0.0742223990619771
stackoverflow,0.5,3,5,0.6479788788760021,0.0841024435906641
stackoverflow,0.5,4,5,0.636916223078291,0.0935735886009198
stackoverflow,0.5,5,5,0.6360506296811836,0.0996204593889809
