baseline,kir,delta_oos_f1,delta_f1_all,delta_f1_k,delta_known_recall,delta_false_accept_rate,delta_false_reject_rate,delta_accuracy,delta_auroc,delta_aupr_oos
fixed_k2,0.5,10.247358303299372,6.56768662720139,6.345139042937053,-1.2262255735123233,-17.071519837622052,1.226225573512326,8.09648464595833,5.764969815381978,8.303681995857069
mogb_minilm,0.5,12.363126238828574,37.09773795310856,38.57302203449973,49.00665250290478,7.830004009840936,-49.00665250290477,19.612645502645503,7.930177637271395,12.0002929361959
mogb_partition_ours_boundary,0.5,8.01297910548225,19.432714237796624,20.101351114280167,28.007364596036705,6.080750217184107,-28.00736459603671,11.389210652894862,5.775978442510278,9.374491816727954
ours_partition_mogb_boundary,0.5,9.855753011313103,21.054571199280346,21.65577505692859,30.24079992445994,1.3865425751661578,-30.24079992445994,13.070452899926584,10.144906266885823,12.83180270623475
random_partition,0.5,7.362052928550199,4.849951321576421,4.745647421301065,-4.0337423699734645,-15.12157274414225,4.033742369973467,6.327520822257667,3.592856344362747,5.144816864891926
single_centroid,0.5,7.1092530406127805,5.056907748080328,4.973854330105472,-3.279393855007891,-14.27936389055435,3.279393855007892,6.291283511809827,3.7527309000179745,5.380644649886441
