dataset,kir,ours_oos_f1,best_baseline_oos_f1,margin_pp,cell
banking77,0.25,93.99,86.57,7.420000000000002,"banking77
KIR=0.25"
banking77,0.5,88.23,79.93,8.299999999999997,"banking77
KIR=0.5"
banking77,0.75,86.49,69.37,17.11999999999999,"banking77
KIR=0.75"
clinc150,0.25,95.01,93.56,1.4500000000000028,"clinc150
KIR=0.25"
clinc150,0.5,91.96,90.1,1.8599999999999997,"clinc150
KIR=0.5"
clinc150,0.75,87.1,86.0,1.0999999999999943,"clinc150
KIR=0.75"
stackoverflow,0.25,94.47,92.65,1.8199999999999927,"stackoverflow
KIR=0.25"
stackoverflow,0.5,89.71,88.86,0.8499999999999943,"stackoverflow
KIR=0.5"
stackoverflow,0.75,75.57,74.55,1.019999999999996,"stackoverflow
KIR=0.75"
