method,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,method_label,n_cells
fixed_k2,0.7550580577086116,0.7678808165561731,0.7679451632843066,0.8144441645300992,0.25806188475712655,0.18555583546990073,0.7814432951064529,0.8735847295434729,0.8139160223011094,Frozen K=2,9
mogb_minilm,0.7339003783533196,0.4625803032971014,0.44566633336867995,0.3121153837659282,0.009046646282496677,0.6878846162340717,0.6662816865395813,0.8519326513245787,0.7769499128977211,MOGB-MiniLM,9
mogb_partition_ours_boundary,0.7774018496867828,0.6392305404502207,0.6303830425708755,0.522108262834609,0.026539184209064967,0.4778917371653911,0.7485160350370877,0.8734746432721898,0.8032079240924005,MOGB partition + S2C boundary,9
ours_partition_mogb_boundary,0.7589741106284742,0.6230119708353835,0.6148388031443913,0.4997739095503766,0.07348126062924447,0.5002260904496234,0.7317036125667705,0.8297853650284345,0.7686348151973326,S2C partition + MOGB boundary,9
random_partition,0.7839111114561033,0.7850581696124227,0.7839400795006666,0.8425193324947107,0.23856241382232854,0.15748066750528933,0.7991329333434596,0.8953058642536652,0.8455046736107608,Random K=2,9
single_centroid,0.7864391103354775,0.7829886053473837,0.7816580104126225,0.8349758473450549,0.23014032528644954,0.16502415265494508,0.799495306447938,0.893707118697113,0.8431463957608156,Frozen K=1,9
trainable_k1,0.8575316407416053,0.833557682828187,0.8313965537136772,0.8021819087949759,0.08734668638090604,0.197818091205024,0.8624081415660363,0.9312344276972926,0.8969528422596801,S2C Trainable K=1,9
