dataset,kir,known_classes,epochs_completed,best_epoch,best_dev_accuracy,train_ce_loss_first,train_ce_loss_last,subcentroid_loss_first,subcentroid_loss_last,uniform_subcentroid_loss,theoretical_minimum_subcentroid_loss,maximum_loss_reduction,observed_loss_reduction,uniform_true_class_probability,maximum_true_class_probability_under_code,ball_count,ball_size_min,ball_size_mean,ball_size_max,radius_min,radius_mean,radius_max,accuracy,f1_all,f1_u,f1_k,known_recall,oos_precision,oos_recall,known_to_oos,oos_to_known,checkpoint_sha256,contract
stackoverflow,0.5,10,38,28,91.6,2.306987321123164,0.1198708982543742,2.29681134223938,2.258608341217041,2.302585092994046,2.203157371383621,0.0994277216104246,0.0439767517770048,0.1,0.1104538633581077,28,10,177.53571428571428,544,1.7365286350250244,2.577895058052881,4.055078506469727,75.1667,68.3502,79.9676,67.1884,51.5333,67.1652,98.8,1449,36,e43553d9d52a75277726a5d8256b9cca93df43dc1048cd694b9e8e26679137f0,official_logic_modern_compatibility_on_local_snapshot
banking77,0.75,58,54,44,91.84,4.063543832527016,0.1259945817994621,4.058090686798096,4.051506996154785,4.060443010546419,4.043204253608694,0.0172387569377248,0.0089360143916339,0.0172413793103448,0.0175411758934663,99,10,54.4040404040404,149,2.391939401626587,4.403482393784956,6.326056003570557,57.0779,59.1627,53.1049,59.2671,43.7069,36.4349,97.8947,1298,16,ad686a638fdc29376cfa10101975739f5332fc9ff66d5003ab1106af3b263da3,official_logic_modern_compatibility_on_local_snapshot
