dataset,kir,comparator,comparator_label,metric,metric_label,n_seeds,mean_delta,std_delta,median_delta,ci95_low,ci95_high,wins,ties,losses
banking77,0.25,single_centroid,Frozen K=1,oos_f1,OOS F1,5,0.06481458714285207,0.012861628739511159,0.06403827701834142,0.05466229299903787,0.07496688128666626,5,0,0
banking77,0.25,single_centroid,Frozen K=1,f1_all,F1-All,5,0.09224713831369077,0.01899351483060787,0.09213769657510873,0.07720034284073637,0.10729393378664517,5,0,0
banking77,0.25,single_centroid,Frozen K=1,known_recall,Known Recall,5,-0.02052631578947368,0.009872806043317932,-0.021052631578947323,-0.028157894736842114,-0.013157894736842101,0,0,5
banking77,0.25,single_centroid,Frozen K=1,false_accept_rate,False acceptance,5,-0.11508620689655176,0.01896796614283461,-0.1090517241379311,-0.13068965517241382,-0.10077586206896554,0,0,5
banking77,0.5,single_centroid,Frozen K=1,oos_f1,OOS F1,5,0.11136046753964343,0.025266039479331065,0.10148523319691027,0.09681289825531869,0.13412825311768845,5,0,0
banking77,0.5,single_centroid,Frozen K=1,f1_all,F1-All,5,0.07159613589604999,0.016965706510550006,0.06754332852511014,0.061799313074185735,0.08679144638922229,5,0,0
banking77,0.5,single_centroid,Frozen K=1,known_recall,Known Recall,5,-0.028026315789473677,0.008211833566647357,-0.03289473684210531,-0.033947368421052636,-0.020921052631578906,0,0,5
banking77,0.5,single_centroid,Frozen K=1,false_accept_rate,False acceptance,5,-0.191025641025641,0.03944001095547906,-0.17692307692307702,-0.22628205128205128,-0.17000000000000004,0,0,5
banking77,0.75,single_centroid,Frozen K=1,oos_f1,OOS F1,5,0.1499271539606277,0.02603596074349489,0.14211391353227265,0.1322202167265821,0.1722713390226231,5,0,0
banking77,0.75,single_centroid,Frozen K=1,f1_all,F1-All,5,0.05919263247675031,0.005836479370933544,0.059712038115792954,0.05502480874472031,0.06360416465124055,5,0,0
banking77,0.75,single_centroid,Frozen K=1,known_recall,Known Recall,5,-0.039999999999999966,0.007585472143101531,-0.03749999999999998,-0.04646551724137928,-0.0347413793103448,0,0,5
banking77,0.75,single_centroid,Frozen K=1,false_accept_rate,False acceptance,5,-0.28394736842105267,0.02495494555151796,-0.275,-0.3039473684210527,-0.265,0,0,5
clinc150,0.25,single_centroid,Frozen K=1,oos_f1,OOS F1,5,0.009570492578489454,0.0014005452304994561,0.009123434246500972,0.008657558890144103,0.010798147065644947,5,0,0
clinc150,0.25,single_centroid,Frozen K=1,f1_all,F1-All,5,0.012509467440826861,0.0022466436574742794,0.012187715866409654,0.010775371889434827,0.014245944547209222,5,0,0
