dataset,kir,seed,comparator,comparator_label,trainable_oos_f1,comparator_oos_f1,delta_oos_f1,trainable_f1_all,comparator_f1_all,delta_f1_all,trainable_known_recall,comparator_known_recall,delta_known_recall,trainable_false_accept_rate,comparator_false_accept_rate,delta_false_accept_rate
banking77,0.25,13,single_centroid,Frozen K=1,0.9154867256637168,0.8406072106261859,0.07487951503753087,0.7691237472003842,0.6577315978802118,0.11139214932017238,0.8276315789473684,0.8368421052631578,-0.009210526315789447,0.1081896551724137,0.2362068965517241,-0.12801724137931042
banking77,0.25,42,single_centroid,Frozen K=1,0.9191208791208793,0.8386023294509152,0.08051854966996408,0.7939882940487182,0.683214457189832,0.1107738368588862,0.8171052631578948,0.8381578947368421,-0.021052631578947323,0.0987068965517241,0.2396551724137931,-0.140948275862069
banking77,0.25,87,single_centroid,Frozen K=1,0.9304952215464812,0.8788294467306813,0.051665774815799925,0.8149099652712799,0.737717671964054,0.07719229330722588,0.8131578947368421,0.8263157894736842,-0.013157894736842146,0.0767241379310344,0.171551724137931,-0.09482758620689659
banking77,0.25,100,single_centroid,Frozen K=1,0.9308176100628932,0.8778467908902692,0.05297081917262403,0.7976710049892831,0.7055333084141744,0.09213769657510873,0.8092105263157895,0.843421052631579,-0.03421052631578947,0.075,0.1775862068965517,-0.1025862068965517
banking77,0.25,123,single_centroid,Frozen K=1,0.8867710460630814,0.82273276904474,0.06403827701834142,0.7498148479796339,0.6800751324725732,0.0697397155070607,0.825,0.85,-0.025000000000000022,0.1577586206896551,0.2668103448275862,-0.1090517241379311
banking77,0.5,13,single_centroid,Frozen K=1,0.8462021343377275,0.6906422018348624,0.15555993250286515,0.8199086432567366,0.7188516591530244,0.10105698410371222,0.8171052631578948,0.8526315789473684,-0.03552631578947363,0.1358974358974359,0.3967948717948718,-0.26089743589743586
banking77,0.5,42,single_centroid,Frozen K=1,0.8414403032217309,0.7456445993031359,0.09579570391859504,0.8168639763258652,0.7482330614745255,0.06863091485133965,0.8197368421052631,0.8421052631578947,-0.022368421052631593,0.1461538461538461,0.3141025641025641,-0.167948717948718
banking77,0.5,87,single_centroid,Frozen K=1,0.8554480174836091,0.7539627842866988,0.10148523319691027,0.8324583407388371,0.7649150122137269,0.06754332852511014,0.8203947368421053,0.8368421052631578,-0.016447368421052544,0.1217948717948717,0.2987179487179487,-0.17692307692307702
banking77,0.5,100,single_centroid,Frozen K=1,0.8259473346178549,0.7304534094966083,0.09549392512124655,0.8064088330915219,0.7478147458750691,0.05859408721645276,0.8236842105263158,0.8565789473684211,-0.03289473684210531,0.1756410256410256,0.3442307692307692,-0.16858974358974357
banking77,0.5,123,single_centroid,Frozen K=1,0.809165302782324,0.7006977598237238,0.10846754295860017,0.8080381054482829,0.7458827406646478,0.06215536478363515,0.8296052631578947,0.8625,-0.03289473684210531,0.2076923076923077,0.3884615384615384,-0.1807692307692307
banking77,0.75,13,single_centroid,Frozen K=1,0.6601269474899019,0.4677533664068037,0.19237358108309816,0.8297927993746245,0.7744310270281128,0.05536177234651163,0.8271551724137931,0.8616379310344827,-0.03448275862068961,0.2473684210526315,0.5657894736842105,-0.31842105263157905
banking77,0.75,42,single_centroid,Frozen K=1,0.7272727272727273,0.5716180371352785,0.15565469013744881,0.8465133935600306,0.7788643892953979,0.06764900426463272,0.8297413793103449,0.8633620689655173,-0.0336206896551724,0.131578947368421,0.4328947368421053,-0.3013157894736843
banking77,0.75,87,single_centroid,Frozen K=1,0.6984478935698448,0.5678524374176548,0.13059545615219004,0.8495955076276699,0.7972512771702772,0.05234423045739267,0.8215517241379311,0.8590517241379311,-0.03749999999999998,0.1710526315789473,0.4328947368421053,-0.261842105263158
banking77,0.75,100,single_centroid,Frozen K=1,0.6801573917931422,0.5380434782608695,0.14211391353227265,0.8422789425569616,0.7825669044411686,0.059712038115792954,0.8215517241379311,0.8637931034482759,-0.04224137931034477,0.2039473684210526,0.4789473684210526,-0.275
banking77,0.75,123,single_centroid,Frozen K=1,0.6666666666666666,0.5377685377685377,0.1288981288981289,0.8383752198051533,0.7774791026057317,0.06089611719942156,0.8206896551724138,0.8728448275862069,-0.05215517241379308,0.2263157894736842,0.4894736842105263,-0.2631578947368421
clinc150,0.25,13,single_centroid,Frozen K=1,0.9528118939883644,0.9442615755979812,0.008550318390383227,0.8010298070270482,0.7888420911606385,0.012187715866409654,0.736842105263158,0.7798245614035088,-0.04298245614035079,0.0302631578947368,0.056359649122807,-0.026096491228070198
clinc150,0.25,42,single_centroid,Frozen K=1,0.9479594040164112,0.938201011656037,0.009758392360374235,0.7837064085470472,0.772959365889378,0.010747042657669237,0.7263157894736842,0.7649122807017543,-0.03859649122807007,0.0372807017543859,0.0644736842105263,-0.027192982456140394
clinc150,0.25,87,single_centroid,Frozen K=1,0.9473684210526316,0.9354624085163008,0.011906012536330834,0.7856815672130488,0.7755840380803358,0.010097529132713001,0.736842105263158,0.7894736842105263,-0.05263157894736836,0.0407894736842105,0.075,-0.0342105263157895
clinc150,0.25,100,single_centroid,Frozen K=1,0.9625347891243844,0.9540204837655264,0.008514305358857999,0.8293119919847214,0.8152807577028962,0.014031234281825178,0.7491228070175439,0.7894736842105263,-0.04035087719298247,0.0140350877192982,0.0399122807017543,-0.025877192982456103
clinc150,0.25,123,single_centroid,Frozen K=1,0.9475392103839914,0.9384157761374904,0.009123434246500972,0.7847672034972499,0.7692833882317327,0.015483815265517231,0.7324561403508771,0.7736842105263158,-0.041228070175438614,0.0394736842105263,0.0660087719298245,-0.026535087719298203
clinc150,0.5,13,single_centroid,Frozen K=1,0.9070904645476772,0.8932504942106749,0.013839970337002239,0.8261993158424226,0.8124978686870881,0.0137014471553345,0.7453333333333334,0.7915555555555556,-0.046222222222222165,0.0321739130434782,0.0831884057971014,-0.05101449275362321
clinc150,0.5,42,single_centroid,Frozen K=1,0.8971451987433411,0.8814846056516238,0.0156605930917173,0.8075141354234163,0.7957298066105891,0.011784328812827205,0.739111111111111,0.7653333333333333,-0.026222222222222258,0.0481159420289855,0.0913043478260869,-0.0431884057971014
clinc150,0.5,87,single_centroid,Frozen K=1,0.9086720867208672,0.8935625976978826,0.01510948902298459,0.8234017136184874,0.8108151411942055,0.01258657242428185,0.7435555555555555,0.8031111111111111,-0.059555555555555584,0.0281159420289855,0.088695652173913,-0.060579710144927496
clinc150,0.5,100,single_centroid,Frozen K=1,0.9051512673753066,0.8876595744680851,0.017491692907221523,0.8249194600480021,0.8071592671886425,0.01776019285935959,0.748,0.7906666666666666,-0.04266666666666663,0.037391304347826,0.0930434782608695,-0.05565217391304351
clinc150,0.5,123,single_centroid,Frozen K=1,0.9039116805233748,0.8912092563849302,0.012702424138444579,0.8087962224646499,0.7872648732925318,0.021531349172118075,0.7462222222222222,0.7871111111111111,-0.040888888888888864,0.0388405797101449,0.0846376811594202,-0.045797101449275304
clinc150,0.75,13,single_centroid,Frozen K=1,0.8230088495575221,0.8122102009273571,0.010798648630164998,0.8206112737544194,0.8134080136454842,0.007203260108935239,0.7464285714285714,0.781547619047619,-0.035119047619047605,0.0461538461538461,0.1017094017094017,-0.055555555555555594
clinc150,0.75,42,single_centroid,Frozen K=1,0.823141706334676,0.8075954272427824,0.015546279091893545,0.824382257045602,0.8133838606458739,0.010998396399728105,0.7398809523809524,0.7806547619047619,-0.04077380952380949,0.0393162393162393,0.1094017094017094,-0.0700854700854701
clinc150,0.75,87,single_centroid,Frozen K=1,0.8302650957290133,0.8238724727838258,0.006392622945187498,0.827797940585045,0.8181404949315024,0.00965744565354254,0.7508928571428571,0.7961309523809523,-0.04523809523809519,0.0363247863247863,0.0944444444444444,-0.0581196581196581
clinc150,0.75,100,single_centroid,Frozen K=1,0.8333023601561048,0.8267762771579565,0.006526082998148275,0.840427967758085,0.8298363090431602,0.010591658714924845,0.762202380952381,0.8044642857142857,-0.04226190476190472,0.0418803418803418,0.0974358974358974,-0.055555555555555594
clinc150,0.75,123,single_centroid,Frozen K=1,0.8327481057105895,0.8168740279937792,0.015874077716810375,0.8324034603041841,0.8122792243667675,0.020124235937416635,0.756547619047619,0.7907738095238095,-0.034226190476190466,0.0371794871794871,0.1021367521367521,-0.06495726495726499
stackoverflow,0.25,13,single_centroid,Frozen K=1,0.9348581679560488,0.9306841273425152,0.004174040613533658,0.8376694373285117,0.8322180645352352,0.005451372793276565,0.8333333333333334,0.8426666666666667,-0.009333333333333305,0.0735555555555555,0.084,-0.010444444444444506
stackoverflow,0.25,42,single_centroid,Frozen K=1,0.9546207353428288,0.8451644818204304,0.1094562535223984,0.8737185899712864,0.7736911007070325,0.10002748926425387,0.844,0.8873333333333333,-0.043333333333333335,0.0393333333333333,0.2406666666666666,-0.2013333333333333
stackoverflow,0.25,87,single_centroid,Frozen K=1,0.961905807443188,0.8905607147055367,0.07134509273765133,0.886162434075719,0.7949681282490033,0.09119430582671573,0.848,0.854,-0.006000000000000005,0.0264444444444444,0.1582222222222222,-0.1317777777777778
stackoverflow,0.25,100,single_centroid,Frozen K=1,0.9664517539066768,0.9333333333333332,0.03311842057334358,0.9008138022892632,0.8457686184068333,0.05504518388242996,0.8473333333333333,0.8533333333333333,-0.006000000000000005,0.0173333333333333,0.0822222222222222,-0.0648888888888889
stackoverflow,0.25,123,single_centroid,Frozen K=1,0.9561480828558836,0.8743611078093427,0.08178697504654087,0.8834991622766871,0.8039338618686337,0.07956530040805343,0.842,0.8433333333333333,-0.0013333333333332975,0.0357777777777777,0.1826666666666666,-0.1468888888888889
stackoverflow,0.5,13,single_centroid,Frozen K=1,0.8565782973818541,0.695702897141746,0.16087540024010805,0.8523954175911279,0.7950521077520563,0.057343309839071654,0.8426666666666667,0.882,-0.03933333333333333,0.133,0.4036666666666667,-0.27066666666666667
stackoverflow,0.5,42,single_centroid,Frozen K=1,0.8754826254826255,0.7966284074605452,0.07885421802208026,0.8576590966593717,0.8057545922611464,0.05190450439822525,0.835,0.8816666666666667,-0.046666666666666745,0.093,0.2596666666666666,-0.1666666666666666
stackoverflow,0.5,87,single_centroid,Frozen K=1,0.8692120227457352,0.7661494045470949,0.10306261819864027,0.8595641369722073,0.8098064648722701,0.0497576720999372,0.84,0.8603333333333334,-0.020333333333333425,0.1083333333333333,0.2923333333333333,-0.184
stackoverflow,0.5,100,single_centroid,Frozen K=1,0.9016032694121344,0.8338152747065828,0.06778799470555164,0.8835864480412401,0.8234804878073413,0.0601059602338988,0.8353333333333334,0.8573333333333333,-0.02199999999999991,0.044,0.183,-0.139
stackoverflow,0.5,123,single_centroid,Frozen K=1,0.8806571106458367,0.7351837959489872,0.14547331469684954,0.874333776004836,0.764888659601915,0.10944511640292098,0.8416666666666667,0.876,-0.03433333333333333,0.0886666666666666,0.3466666666666667,-0.25800000000000006
stackoverflow,0.75,13,single_centroid,Frozen K=1,0.7781475318912923,0.6021580229725026,0.17598950891878962,0.8731885403519126,0.8040321503299259,0.0691563900219867,0.8437777777777777,0.8871111111111111,-0.043333333333333335,0.0646666666666666,0.4233333333333333,-0.3586666666666667
stackoverflow,0.75,42,single_centroid,Frozen K=1,0.748558246828143,0.7390894819466248,0.009468764881518155,0.871379383978064,0.817080080069515,0.05429930390854898,0.8511111111111112,0.8871111111111111,-0.03599999999999992,0.1346666666666666,0.2153333333333333,-0.08066666666666669
stackoverflow,0.75,87,single_centroid,Frozen K=1,0.7736311631707982,0.6731432152930116,0.10048794787778659,0.867446594850703,0.8254313100140762,0.042015284836626754,0.8331111111111111,0.8628888888888889,-0.029777777777777792,0.0533333333333333,0.284,-0.2306666666666667
stackoverflow,0.75,100,single_centroid,Frozen K=1,0.7201610583836641,0.6219751471550032,0.09818591122866083,0.8677509570516391,0.8140519438207918,0.05369901323084725,0.8388888888888889,0.8651111111111112,-0.026222222222222258,0.1653333333333333,0.366,-0.2006666666666667
stackoverflow,0.75,123,single_centroid,Frozen K=1,0.7946912242686891,0.6438992042440318,0.1507920200246573,0.8842356034374308,0.8013030818231378,0.08293252161429299,0.8388888888888889,0.8788888888888888,-0.039999999999999925,0.022,0.3526666666666667,-0.33066666666666666
banking77,0.25,13,random_partition,Random K=2,0.9154867256637168,0.8404483663248271,0.07503835933888969,0.7691237472003842,0.660082507066534,0.10904124013385019,0.8276315789473684,0.8539473684210526,-0.02631578947368418,0.1081896551724137,0.2405172413793103,-0.1323275862068966
banking77,0.25,42,random_partition,Random K=2,0.9191208791208793,0.8347701149425287,0.08435076417835052,0.7939882940487182,0.6812348007577484,0.11275349329096973,0.8171052631578948,0.8513157894736842,-0.03421052631578947,0.0987068965517241,0.2487068965517241,-0.15
banking77,0.25,87,random_partition,Random K=2,0.9304952215464812,0.869364161849711,0.06113105969677024,0.8149099652712799,0.7275978268450344,0.08731213842624552,0.8131578947368421,0.8355263157894737,-0.022368421052631593,0.0767241379310344,0.1896551724137931,-0.1129310344827587
banking77,0.25,100,random_partition,Random K=2,0.9308176100628932,0.8817598533455545,0.049057756717338696,0.7976710049892831,0.7136135194336282,0.08405748555565495,0.8092105263157895,0.8421052631578947,-0.0328947368421052,0.075,0.1706896551724138,-0.0956896551724138
banking77,0.25,123,random_partition,Random K=2,0.8867710460630814,0.8238993710691824,0.06287167499389901,0.7498148479796339,0.6832046230195502,0.06661022496008373,0.825,0.8539473684210526,-0.02894736842105261,0.1577586206896551,0.265948275862069,-0.10818965517241388
banking77,0.5,13,random_partition,Random K=2,0.8462021343377275,0.6940740740740741,0.15212806026365344,0.8199086432567366,0.7238933303273655,0.09601531292937115,0.8171052631578948,0.8664473684210526,-0.049342105263157854,0.1358974358974359,0.3993589743589744,-0.2634615384615385
banking77,0.5,42,random_partition,Random K=2,0.8414403032217309,0.7263646093471281,0.11507569387460281,0.8168639763258652,0.7465585357599137,0.07030544056595145,0.8197368421052631,0.8519736842105263,-0.03223684210526323,0.1461538461538461,0.3474358974358974,-0.20128205128205132
banking77,0.5,87,random_partition,Random K=2,0.8554480174836091,0.7561911405650505,0.09925687691855856,0.8324583407388371,0.771544281760677,0.060914058978160046,0.8203947368421053,0.8532894736842105,-0.0328947368421052,0.1217948717948717,0.3051282051282051,-0.1833333333333334
banking77,0.5,100,random_partition,Random K=2,0.8259473346178549,0.7137681159420289,0.11217921867582592,0.8064088330915219,0.7467078626343077,0.05970097045721423,0.8236842105263158,0.8585526315789473,-0.03486842105263155,0.1756410256410256,0.3685897435897436,-0.192948717948718
banking77,0.5,123,random_partition,Random K=2,0.809165302782324,0.6907063197026022,0.1184589830797218,0.8080381054482829,0.7472988271034321,0.06073927834485082,0.8296052631578947,0.8677631578947369,-0.03815789473684217,0.2076923076923077,0.4044871794871795,-0.1967948717948718
