dataset,kir,representation,oos_f1_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,auroc_mean,aupr_oos_mean,f1_k_mean,f1_all_mean,known_score_mean_mean,known_score_median_mean,known_score_p90_mean,known_score_p95_mean,known_score_p99_mean,known_radius_mean_mean,known_radius_std_mean,known_radius_cv_mean,known_accepted_rate_mean,known_score_leq_1_rate_mean,oos_score_mean_mean,oos_score_median_mean,oos_score_p90_mean,oos_score_p95_mean,oos_score_p99_mean,oos_radius_mean_mean,oos_radius_std_mean,oos_radius_cv_mean,oos_accepted_rate_mean,oos_score_leq_1_rate_mean,score_gap_median_oos_minus_known_mean,radius_gap_oos_minus_known_mean,oos_f1_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,auroc_std,aupr_oos_std,f1_k_std,f1_all_std,known_score_mean_std,known_score_median_std,known_score_p90_std,known_score_p95_std,known_score_p99_std,known_radius_mean_std,known_radius_std_std,known_radius_cv_std,known_accepted_rate_std,known_score_leq_1_rate_std,oos_score_mean_std,oos_score_median_std,oos_score_p90_std,oos_score_p95_std,oos_score_p99_std,oos_radius_mean_std,oos_radius_std_std,oos_radius_cv_std,oos_accepted_rate_std,oos_score_leq_1_rate_std,score_gap_median_oos_minus_known_std,radius_gap_oos_minus_known_std
banking77,0.25,frozen,0.8918193469989266,0.8305263157894738,0.15008620689655172,0.1694736842105263,0.9092328720508167,0.9611344534462498,,,0.8396533516327231,0.8234258432385841,1.069161656227833,1.1354079066398757,1.2886525337555448,22.801311225274997,0.5962075673266612,0.0261604149714827,0.8305263157894738,0.8305263157894738,1.1547876377751674,1.1551057187843052,1.3550879315125974,1.4007016521234679,1.4870556873928042,22.508705111392995,0.5811137476471532,0.025875879792185686,0.15008620689655172,0.15008620689655172,0.331679875545721,-0.29260611388199964,0.018062352938356806,0.01020903407435306,0.033424493856097005,0.010209034074353068,0.010183394249036765,0.004437073807533003,,,0.0058884023283748005,0.009954150383159027,0.0059913836170347795,0.020452225606053528,0.03284303815296582,0.14865424467013805,0.059967064143010604,0.0027641014865098664,0.01020903407435308,0.01020903407435308,0.02024096015881859,0.019431403710455274,0.025257242202475563,0.02320103010889714,0.020068076864792474,0.2888406688732334,0.13274271549738148,0.006146063704210781,0.033424493856097005,0.033424493856097005,0.01853722323945786,0.16894863136102525
banking77,0.25,trainable,0.9165382964914104,0.8184210526315789,0.10327586206896551,0.18157894736842106,0.922975612522686,0.9670141428061454,0.7781838495508309,0.7851015718978599,0.8405077239629815,0.8188913748740008,1.0959708994509094,1.1856301401298537,1.3723287707119538,22.99801213130716,0.6318784761192039,0.02749111793441501,0.8184210526315789,0.8184210526315789,1.228572463039829,1.2312884422205737,1.45628938065176,1.5129790585897642,1.6082547878825182,22.64745414926167,0.6044236405829275,0.026728172787881227,0.10327586206896551,0.10327586206896551,0.412397067346573,-0.3505579820454926,0.017976090268549322,0.007784315504078432,0.03360770085085234,0.00778431550407845,0.014044005787949702,0.005979889497426346,0.026107672824781616,0.02562200500192768,0.00783596793408582,0.01566705481313588,0.022810027845800895,0.03905464086364258,0.051823295227303494,0.2922358865814291,0.07032696171374665,0.0031867074469388587,0.007784315504078432,0.007784315504078432,0.05763837775712978,0.058224501897277216,0.08117253386161977,0.08401697557285953,0.0976669955226279,0.413059464343137,0.05769017012654773,0.002968071056816584,0.03360770085085234,0.03360770085085234,0.06764318252684734,0.13280923254530977
banking77,0.5,frozen,0.7884855089381205,0.8426315789473684,0.24884615384615386,0.15736842105263157,0.8737626518218624,0.8512983050217497,,,0.838935734670606,0.8270430058262324,1.060207329740662,1.1282119674140012,1.2583680735430227,22.791295604282407,0.6446111569971985,0.028283744773724723,0.8426315789473684,0.8426315789473684,1.0906100684600433,1.0856152419061065,1.2821820095469676,1.336127402054904,1.4347867946444972,22.348284235207995,0.6228115251652622,0.027866218205528988,0.24884615384615386,0.24884615384615386,0.2585722360798742,-0.4430113690744122,0.018371217903947797,0.009606164341286296,0.034997299604664814,0.009606164341286307,0.008069623935590815,0.004469932825899837,,,0.004123112263963656,0.004019469571847536,0.009179141477871798,0.00975515915507326,0.0086902754651542,0.09874343472826193,0.05105120129348987,0.002243559253354298,0.009606164341286296,0.009606164341286296,0.01023719679798663,0.009471672705024282,0.015645525093744055,0.020289407746403604,0.02919668587760393,0.11122453780300882,0.05880395635293467,0.0025997000376933852,0.034997299604664814,0.034997299604664814,0.010448574383575012,0.060870760283607064
banking77,0.5,trainable,0.8356406184886493,0.8221052631578948,0.15743589743589742,0.17789473684210527,0.9014173414304993,0.8863032438146086,0.816238078753396,0.8167355797722488,0.8428720882759902,0.8267182168445821,1.0831851995534725,1.1697082905115177,1.3113499578265746,22.946658141835265,0.6543575552335689,0.028513977820200404,0.8221052631578948,0.8221052631578948,1.1633049071501012,1.1604772748448107,1.38359712327913,1.436967082750606,1.5194826057233415,22.556595486603662,0.6083526573230676,0.026964572347381345,0.15743589743589742,0.15743589743589742,0.33375905800022876,-0.3900626552316055,0.01825114454581141,0.004803082170643177,0.03434605574205226,0.004803082170643156,0.011115850513844113,0.010931170548119639,0.010337099838880103,0.010483055215298541,0.004845778180239047,0.007601950181255083,0.015876668164088815,0.02053169557052153,0.02584515475978682,0.12452602136961692,0.02766869657996783,0.0011169310525094404,0.004803082170643188,0.004803082170643188,0.023640904718571696,0.02334944498446858,0.03138948170587301,0.0322131040921632,0.0320326620158814,0.12609339500638686,0.06695698337648837,0.00289015185087244,0.03434605574205226,0.03434605574205226,0.027952709566961498,0.07300758242207897
banking77,0.75,frozen,0.617117473114796,0.853103448275862,0.35315789473684206,0.14689655172413793,0.8452072368421053,0.6004322912780021,,,0.8364737935183054,0.8260844060392621,1.0450663513554808,1.1155807391353911,1.2454650532379945,22.76134565920125,0.6489076094876222,0.02851171171222184,0.853103448275862,0.853103448275862,1.051245638016556,1.0453509827379632,1.2411371846187866,1.3083406050602813,1.4054372313135581,22.38404824221385,0.6292394609638723,0.02811925037290764,0.35315789473684206,0.35315789473684206,0.21926657669870092,-0.3772974169874018,0.02429110515362028,0.003274160174971243,0.036197366029577675,0.003274160174971192,0.013360936262803538,0.022581457545551267,,,0.0023144361901102383,0.0033640532585780102,0.0032424429960039095,0.0047665304552686975,0.014291525557283816,0.03392781438671014,0.053807890439455865,0.0023973095431427047,0.003274160174971243,0.003274160174971243,0.00854306729104952,0.012228489141727772,0.021929316968935453,0.028642664951345386,0.04317711291344457,0.16390127036063754,0.06221530394411783,0.002867139723169378,0.036197366029577675,0.036197366029577675,0.013066142010725366,0.1428693740055712
banking77,0.75,trainable,0.6865343253584566,0.8241379310344827,0.19605263157894737,0.17586206896551723,0.8890411751361162,0.6985107098502167,0.8439797389163782,0.8413111725848881,0.843282228241994,0.8291262464068734,1.072070545836767,1.1495753014063355,1.3014467869598831,22.869801938743848,0.6398058987958128,0.027976652102552714,0.8241379310344827,0.8241379310344827,1.1289000955255069,1.1252296287107297,1.3343461736979667,1.3980535813700863,1.4785829204249923,22.530837517291328,0.5400089526622726,0.023967708014888206,0.19605263157894737,0.19605263157894737,0.29610338230385647,-0.338964421452517,0.02708454008995989,0.004054932698755789,0.04580761890928739,0.004054932698755775,0.016986688566853356,0.03324601660180583,0.0074778817530542505,0.0077123704045817245,0.002419757166817448,0.004646022387461808,0.006424351325599064,0.015726235231821872,0.02083646785558917,0.0940912876717918,0.010213464621186445,0.00048018671278141816,0.0040549326987558134,0.0040549326987558134,0.026393747326386437,0.032762795287771304,0.026072537093667244,0.019217635876390398,0.035442007424177975,0.1136072552400463,0.07183930463249631,0.0031894194222313846,0.04580761890928739,0.04580761890928739,0.036927274438645595,0.06431839007950567
clinc150,0.25,frozen,0.9471329806114896,0.7496491228070176,0.04407894736842105,0.25035087719298244,0.9410235457063711,0.9794803840807675,,,0.9015694569838393,0.9059055228854364,1.083840119319542,1.1413054535230578,1.2309130826171137,22.10565716410253,0.7949919806552075,0.035976029422403674,0.7496491228070176,0.7496491228070176,1.1702457892412412,1.1850653607844865,1.260858282498552,1.2765211165094896,1.3014618806469491,21.21726803474518,0.35661126444181657,0.016824577993604747,0.04407894736842105,0.04407894736842105,0.2791598378990502,-0.8883891293573477,0.005975844575828671,0.011663698342873431,0.010884574108533657,0.011663698342873454,0.01081166412729604,0.004334569509329405,,,0.008033248204966042,0.00898544783228002,0.006099549257156913,0.015260444092401876,0.013660571007041043,0.14291667983535386,0.057479953427137694,0.0028009015450260397,0.011663698342873431,0.011663698342873431,0.01031297840346567,0.011114384355161051,0.019014716241688302,0.02067126882252838,0.024855798532640055,0.22567739373253445,0.0740442991024864,0.0036007268325633575,0.010884574108533657,0.010884574108533657,0.015431390554006625,0.14392950524262133
clinc150,0.25,trainable,0.9516427437131567,0.7363157894736843,0.03236842105263158,0.2636842105263158,0.9588536088027085,0.9876229578269167,0.7928272022838406,0.7968993956538231,0.8942717459472547,0.8775417349558776,1.1247109730527634,1.2087016140266744,1.3488166260451686,22.60879406582475,0.6923502494409813,0.030643043179508528,0.7363157894736843,0.7363157894736843,1.3466370535998813,1.3621021766062553,1.5436558719997073,1.5838523797471797,1.6498829148873704,21.98160936622565,0.3965821682413111,0.018049330756653076,0.03236842105263158,0.03236842105263158,0.48456044165037754,-0.6271846995990998,0.006493831244299081,0.008358687192681824,0.011023527540387056,0.008358687192681822,0.012065791586742374,0.004416140820934197,0.019801353224410623,0.019459710746000582,0.010047635071256056,0.015413464365510098,0.020119467771369737,0.027293154289332395,0.05143480508964486,0.20902703751401966,0.07090127902170468,0.0033850327158865736,0.0083586871926818,0.0083586871926818,0.08956632328137318,0.09047708431470727,0.13440317468227214,0.1464119056207572,0.16775894809839725,0.3340291519352463,0.056126230027033736,0.0026059237378683086,0.011023527540387056,0.011023527540387056,0.10181976803943157,0.14079359127186591
clinc150,0.5,frozen,0.893220368395799,0.7581333333333333,0.06568115942028986,0.24186666666666667,0.9278020225442833,0.9397768300972116,,,0.8995279229587879,0.9050107401657328,1.0797679775571603,1.1349162685764234,1.2146131806581422,22.057337341034618,0.8472881877340059,0.03841299507715271,0.7581333333333333,0.7581333333333333,1.1459494206592717,1.1630212157970625,1.237415761852223,1.2522399204397674,1.2755063797349182,21.13314836078171,0.42479998347384684,0.02010745242980191,0.06568115942028986,0.06568115942028986,0.25801047563132967,-0.9241889802529044,0.005934598500702625,0.01603822594173135,0.004331369823192615,0.016038225941731345,0.0037563807291258536,0.0050951232230467035,,,0.0060595224583872564,0.00746301961808909,0.006307570229729333,0.013397946778805849,0.012082357548034332,0.06270314035048197,0.020282494838954904,0.0009150788142130086,0.01603822594173135,0.01603822594173135,0.005367269805577335,0.005379322886011287,0.013201811419730116,0.01614244248518285,0.019481300029073008,0.10691289215145405,0.048718784016993796,0.0023705604717858715,0.004331369823192615,0.004331369823192615,0.003362540003936734,0.07966524131775064
clinc150,0.5,trainable,0.9043941395821135,0.7444444444444445,0.036927536231884064,0.25555555555555554,0.9532673752012883,0.9649131913639692,0.8170164632113595,0.8181661694793956,0.8934210484419965,0.8787136121400545,1.1245692897883688,1.2078182452413138,1.3437912145897137,22.573161839499235,0.7290549888411719,0.03229888785724287,0.7444444444444445,0.7444444444444445,1.2991652970511534,1.3167803455170741,1.4665976926514857,1.5019478308296002,1.5565258959516008,21.722456526052564,0.4996816086244277,0.023013783370996133,0.036927536231884064,0.036927536231884064,0.4380667333770196,-0.8507053134466716,0.004441963320551523,0.0033847880470506474,0.007571267501376485,0.0033847880470506265,0.0054882480901170365,0.006769500983847939,0.00927877765171319,0.00920341014264694,0.007352327189690041,0.013860664857432101,0.012323805988219744,0.02369031477688141,0.04171504231490905,0.20925749151603454,0.03961300054606215,0.0017633649525592104,0.003384788047050596,0.003384788047050596,0.04061980697550841,0.04015652650581287,0.06796712986432282,0.07606492008898999,0.08794224527952138,0.3507756241762944,0.08790391432886234,0.004112274538633389,0.007571267501376485,0.007571267501376485,0.05071002500442542,0.2170377769989311
