dataset,kir,seed,representation,oos_f1,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,f1_k,f1_all,known_score_mean,known_score_median,known_score_p90,known_score_p95,known_score_p99,known_radius_mean,known_radius_std,known_radius_cv,known_accepted_rate,known_score_leq_1_rate,oos_score_mean,oos_score_median,oos_score_p90,oos_score_p95,oos_score_p99,oos_radius_mean,oos_radius_std,oos_radius_cv,oos_accepted_rate,oos_score_leq_1_rate,score_gap_median_oos_minus_known,radius_gap_oos_minus_known
clinc150,0.25,13,trainable,0.9528118939883645,0.736842105263158,0.030263157894736843,0.2631578947368421,0.9641397353031703,0.9897681447868008,0.7970355415806978,0.8010298070270482,0.8937154110264884,0.8701887965688415,1.1414963337851507,1.2435065720030152,1.4295993593992893,22.776265786903878,0.712239453405823,0.0312711249539138,0.7368421052631579,0.7368421052631579,1.4396584428642212,1.4593760875024522,1.6742841395597554,1.7267649532179876,1.8110175526876866,22.215084319182758,0.4398695526346622,0.019800489897525808,0.030263157894736843,0.030263157894736843,0.5891872909336107,-0.56118146772112
clinc150,0.25,13,frozen,0.9484446378072656,0.7596491228070176,0.043859649122807015,0.24035087719298245,0.9380728685749461,0.977102528370105,,,0.9058012147083166,0.9076940343892953,1.0846085811325286,1.1457852448598616,1.2196078418181242,21.985775999497307,0.8127942632116665,0.03696909598416042,0.7596491228070176,0.7596491228070176,1.1586343685413696,1.175435208670558,1.230008251516326,1.2423089228052435,1.2600498919838898,21.208535704356606,0.27139464712202666,0.012796482081800556,0.043859649122807015,0.043859649122807015,0.26774117428126265,-0.7772402951407003
clinc150,0.25,42,trainable,0.9479594040164111,0.7263157894736842,0.03728070175438596,0.2736842105263158,0.9437163357956295,0.9808865225779669,0.7793839612978534,0.7837064085470472,0.9089366867430766,0.9021919033122703,1.1148043383560646,1.1886492650246316,1.3392701279298922,22.272303599527127,0.8055961230637941,0.036170309885722736,0.7263157894736842,0.7263157894736842,1.2462978022705822,1.2621756678345681,1.3887236444997015,1.4135671659896578,1.4506790907837996,21.40280228295462,0.4287084940029486,0.020030484248521784,0.03728070175438596,0.03728070175438596,0.35998376452229786,-0.8695013165725065
clinc150,0.25,42,frozen,0.9436910057502441,0.7298245614035088,0.0462719298245614,0.27017543859649124,0.9305178516466606,0.9748044838736667,,,0.9103618543922884,0.9194875617687518,1.0870051615224239,1.1575154114886712,1.2521559849712196,21.965286572354564,0.8696696371412634,0.03959291103608121,0.7298245614035088,0.7298245614035088,1.1656831690802931,1.1800315745148655,1.2626290377296576,1.2788233935670654,1.3031582576865075,21.023003358201528,0.44285871925276343,0.021065435404594306,0.0462719298245614,0.0462719298245614,0.2605440127461137,-0.9422832141530364
clinc150,0.25,87,trainable,0.9473684210526315,0.736842105263158,0.04078947368421053,0.2631578947368421,0.9516970606340412,0.985925089762027,0.781426650006744,0.7856815672130488,0.8897912879894245,0.8778521360394542,1.1003811606202993,1.1782597292863188,1.2916365469498898,22.54266343942326,0.6577554711104907,0.029178250071381934,0.7368421052631579,0.7368421052631579,1.2547377345815771,1.2695116086064826,1.4082742751687878,1.438235453093957,1.4868326992907335,21.993920404816006,0.31346042294917953,0.014252139554007896,0.04078947368421053,0.04078947368421053,0.3916594725670284,-0.5487430346072557
clinc150,0.25,87,frozen,0.9414463622460126,0.75,0.055043859649122805,0.25,0.9325144275161589,0.9773204783573202,,,0.8916465615485525,0.8946849311683734,1.08686441441325,1.1515648709799315,1.2325404852915323,22.319691054667363,0.731913584712107,0.03279228117089253,0.75,0.75,1.1657311646779838,1.181094778224367,1.265909901698307,1.2831013947253616,1.3135719533936001,21.541857556680895,0.3591962989987862,0.016674341943524115,0.055043859649122805,0.055043859649122805,0.2864098470559936,-0.7778334979864674
clinc150,0.25,100,trainable,0.9625347891243845,0.7491228070175439,0.014035087719298246,0.25087719298245614,0.9754012773160974,0.992405893833116,0.8258061289020987,0.8293119919847214,0.8816466296336921,0.8605680862736926,1.1177032361343127,1.203968528537927,1.3245139733635352,22.7535323775181,0.6226367247959809,0.027364398391661795,0.7491228070175439,0.7491228070175439,1.3964061114265127,1.400022042104914,1.6160421507459655,1.6614662205152575,1.7428319681840987,22.12392674538971,0.4375561594789311,0.01977750896188043,0.014035087719298246,0.014035087719298246,0.5394539558312215,-0.6296056321283885
clinc150,0.25,100,frozen,0.9568027577291823,0.7526315789473684,0.026096491228070177,0.24736842105263157,0.9561803631886734,0.9835749856344475,,,0.8945578051799343,0.9032101483552276,1.0731204278944038,1.1201514229951663,1.2321252497890594,22.109443041123846,0.8184422060676139,0.0370177667770871,0.7526315789473684,0.7526315789473684,1.1763832687744178,1.1847221059190156,1.2634594928307399,1.2799844307308543,1.3046409588148864,20.993445094736987,0.4148721136581971,0.01976198340891675,0.026096491228070177,0.026096491228070177,0.281511957563788,-1.1159979463868588
clinc150,0.25,123,trainable,0.9475392103839914,0.7324561403508771,0.039473684210526314,0.2675438596491228,0.9593136349646045,0.9891291381746725,0.7804837296318093,0.7847672034972499,0.897268714343592,0.8769077525851297,1.1491697963679894,1.229123975281479,1.3590631225832366,22.69920512575139,0.6635234748288183,0.029231132594862364,0.7324561403508771,0.7324561403508771,1.3960851768565135,1.4194254769828591,1.6309551500243262,1.6792281059190388,1.7580532634905328,22.172313078785162,0.36331621214083404,0.016386031121329466,0.039473684210526314,0.039473684210526314,0.5425177243977295,-0.5268920469662284
clinc150,0.25,123,frozen,0.9452801395247439,0.756140350877193,0.04912280701754386,0.24385964912280703,0.9478322176054171,0.9845994441682989,,,0.9054798490901047,0.9044509387455335,1.087602011635104,1.131510317291659,1.2181358512156333,22.148089152869574,0.7421402121433869,0.03350809214379711,0.756140350877193,0.756140350877193,1.1847969751321425,1.2040431365936264,1.2822847287177292,1.298387440718923,1.3258883413558613,21.319498459749898,0.2947345431773096,0.01382464712918801,0.04912280701754386,0.04912280701754386,0.2995921978480929,-0.8285906931196756
