dataset,n_seeds,oos_f1_delta_mean,oos_f1_delta_std,oos_f1_wins_k2,oos_f1_ties,oos_f1_wins_k1,oos_precision_delta_mean,oos_precision_delta_std,oos_precision_wins_k2,oos_precision_ties,oos_precision_wins_k1,oos_recall_delta_mean,oos_recall_delta_std,oos_recall_wins_k2,oos_recall_ties,oos_recall_wins_k1,f1_all_delta_mean,f1_all_delta_std,f1_all_wins_k2,f1_all_ties,f1_all_wins_k1,f1_k_delta_mean,f1_k_delta_std,f1_k_wins_k2,f1_k_ties,f1_k_wins_k1,accuracy_delta_mean,accuracy_delta_std,accuracy_wins_k2,accuracy_ties,accuracy_wins_k1,known_recall_delta_mean,known_recall_delta_std,known_recall_wins_k2,known_recall_ties,known_recall_wins_k1,false_accept_rate_delta_mean,false_accept_rate_delta_std,false_accept_rate_wins_k2,false_accept_rate_ties,false_accept_rate_wins_k1,false_reject_rate_delta_mean,false_reject_rate_delta_std,false_reject_rate_wins_k2,false_reject_rate_ties,false_reject_rate_wins_k1,auroc_delta_mean,auroc_delta_std,auroc_wins_k2,auroc_ties,auroc_wins_k1,aupr_oos_delta_mean,aupr_oos_delta_std,aupr_oos_wins_k2,aupr_oos_ties,aupr_oos_wins_k1,fpr95_delta_mean,fpr95_delta_std,fpr95_wins_k2,fpr95_ties,fpr95_wins_k1
banking77,3,0.0012653566059615355,0.00501230459846543,1,0,2,-0.012106468645549873,0.0017281344909287257,0,0,3,0.01623931623931622,0.009252408160090188,3,0,0,-0.005469194887869899,0.006718695252014627,0,0,3,-0.005646419927181216,0.0068045596385834664,0,0,3,-0.0003246753246753202,0.005871149779228966,1,0,2,-0.01951754385964914,0.0021148356932002305,0,0,3,-0.016239316239316237,0.00925240816009016,0,0,3,0.019517543859649128,0.002114835693200216,3,0,0,-0.000984311740890716,0.0066596996287398395,1,0,2,-0.0029375501627019554,0.012062944821614728,1,0,2,-0.009649122807017555,0.026976358446810143,1,0,2
clinc150,3,-0.0027935078975738956,0.004372369525596061,1,0,2,-0.0139864072420011,0.004152979951780795,0,0,3,0.011980676328502415,0.007277229007787662,3,0,0,-0.015400612873800604,0.005368576705010778,0,0,3,-0.015568707606816981,0.0054008646852190395,0,0,3,-0.0052631578947368585,0.0050145985712128265,0,0,3,-0.03259259259259258,0.00873571732610695,0,0,3,-0.011980676328502415,0.007277229007787653,0,0,3,0.0325925925925926,0.008735717326107013,3,0,0,0.00352455179817505,0.0036074433140371055,3,0,0,0.002978606252248809,0.003546874887527992,2,0,1,-0.013481481481481483,0.02846642669109823,1,0,2
stackoverflow,3,-0.19060961299962717,0.0673506913644259,0,0,3,0.0476055225683881,0.0132168260312529,3,0,0,-0.34111111111111114,0.07865560185837814,0,0,3,-0.0884692863489213,0.013604811685363755,0,0,3,-0.07825525368385074,0.008251080109116264,0,0,3,-0.14261111111111102,0.03663496103956393,0,0,3,0.09699999999999993,0.0024037008503092925,3,0,0,0.34111111111111114,0.0786556018583782,3,0,0,-0.09699999999999998,0.0024037008503093385,0,0,3,-0.022963592592592497,0.015044955178567384,0,0,3,-0.012383008905990533,0.02051184468298296,1,0,2,0.22677777777777777,0.03655488010183131,3,0,0
