dataset,k,oos_f1_mean,oos_f1_std,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,f1_all_mean,f1_all_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std,fpr95_mean,fpr95_std,n_seeds
banking77,1,0.8476968183476892,0.007122469721089218,0.8307528713941336,0.0026800975570051557,0.8653846153846154,0.012229989761755723,0.8230769867738129,0.008265884758620268,0.8224290964692372,0.008298290363772104,0.8318181818181819,0.007959513423461895,0.8190789473684211,0.0017406258625424678,0.1346153846153846,0.012229989761755718,0.18092105263157895,0.0017406258625424992,0.9080357343679712,0.006431324491320067,0.8922386315593206,0.007273137783153509,0.32258771929824565,0.033289300325462214,3
banking77,2,0.8489621749536508,0.0038054340391326254,0.8186464027485836,0.0009781257229031608,0.8816239316239316,0.007090025650870513,0.8176077918859431,0.001754413423701038,0.816782676542056,0.0017503518495050145,0.8314935064935064,0.0022727272727272752,0.7995614035087719,0.0003798357034142767,0.11837606837606839,0.00709002565087054,0.20043859649122808,0.00037983570341422864,0.9070514226270805,0.0016795468292462403,0.8893010813966186,0.011766316850290857,0.31293859649122807,0.006719979581598492,3
clinc150,1,0.9043025833372952,0.00624871969638662,0.8516892886476432,0.0028888107724176337,0.9638647342995169,0.010572097055687178,0.8190383882947754,0.01007784439913184,0.8179015323608753,0.010131856497277398,0.8739766081871346,0.008469039687029396,0.7426666666666666,0.003204934467079159,0.036135265700483095,0.010572097055687176,0.25733333333333336,0.003204934467079113,0.9513123778851315,0.006073446334924928,0.9618995379320204,0.0068477379725990824,0.20370370370370372,0.04504556449483606,3
clinc150,2,0.9015090754397214,0.004237565194638771,0.8377028814056421,0.005433948838790394,0.9758454106280193,0.003433691911867976,0.8036377754209748,0.012604845181586737,0.8023328247540582,0.012716609302765323,0.8687134502923977,0.007029230035703695,0.7100740740740741,0.010925863151106548,0.024154589371980676,0.003433691911867992,0.2899259259259259,0.010925863151106548,0.9548369296833066,0.0030346385922371093,0.9648781441842692,0.003608211780871714,0.1902222222222222,0.019059361459903616,3
stackoverflow,1,0.8670909818700716,0.009628993510880578,0.8467822645634228,0.000947596823335786,0.8885555555555555,0.020180665481080155,0.856539550407569,0.00371317549391489,0.8554844072613187,0.0033284968616471094,0.8582222222222223,0.007768049471559284,0.8392222222222222,0.0038920621973637963,0.11144444444444444,0.02018066548108014,0.16077777777777777,0.0038920621973637963,0.9175097777777778,0.010667097090274096,0.8877702922396727,0.02478291442050825,0.21177777777777773,0.011001683372876941,3
stackoverflow,2,0.6764813688704444,0.07532518444936463,0.894387787131811,0.012497653519312618,0.5474444444444444,0.09574522519764703,0.7680702640586476,0.015447168759475752,0.7772291535774679,0.00973981606171208,0.7156111111111111,0.042527550982775726,0.9362222222222222,0.0035642255405212296,0.45255555555555554,0.09574522519764707,0.06377777777777772,0.003564225540521231,0.8945461851851851,0.016609421607627222,0.8753872833336821,0.0302217072217937,0.43855555555555553,0.039626496933986725,3
