k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,0.5,0.9,0.464,0.494,0.488,0.006
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,1.0,0.9,0.346,0.346,0.346,0.0
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,2.0,0.9,0.128,0.128,0.128,0.0
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.25,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.5,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,1.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,2.0,0.9,0.582,0.682,0.662,0.02
1,euclidean,mean_std_0.25,normalized_union,none,0.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,none,0.25,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,none,0.5,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,none,1.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,none,2.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,ratio,0.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,ratio,0.25,0.9,0.56,0.65,0.632,0.018
1,euclidean,mean_std_0.25,normalized_union,ratio,0.5,0.9,0.51,0.58,0.566,0.014
1,euclidean,mean_std_0.25,normalized_union,ratio,1.0,0.9,0.39,0.41,0.406,0.004
1,euclidean,mean_std_0.25,normalized_union,ratio,2.0,0.9,0.19,0.19,0.19,0.0
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,0.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,0.25,0.9,0.556,0.626,0.612,0.014
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,0.5,0.9,0.464,0.494,0.488,0.006
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,1.0,0.9,0.346,0.346,0.346,0.0
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,2.0,0.9,0.128,0.128,0.128,0.0
1,euclidean,mean_std_0.25,normalized_union,max_ratio,0.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,max_ratio,0.25,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,max_ratio,0.5,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,max_ratio,1.0,0.9,0.582,0.702,0.678,0.024
1,euclidean,mean_std_0.25,normalized_union,max_ratio,2.0,0.9,0.582,0.682,0.662,0.02
1,euclidean,mean_std_0.5,nearest_sphere,none,0.0,0.9,0.624,0.754,0.728,0.026
1,euclidean,mean_std_0.5,nearest_sphere,none,0.25,0.9,0.624,0.754,0.728,0.026
1,euclidean,mean_std_0.5,nearest_sphere,none,0.5,0.9,0.624,0.754,0.728,0.026
1,euclidean,mean_std_0.5,nearest_sphere,none,1.0,0.9,0.624,0.754,0.728,0.026
1,euclidean,mean_std_0.5,nearest_sphere,none,2.0,0.9,0.624,0.754,0.728,0.026
1,euclidean,mean_std_0.5,nearest_sphere,ratio,0.0,0.9,0.624,0.754,0.728,0.026
1,euclidean,mean_std_0.5,nearest_sphere,ratio,0.25,0.9,0.6,0.7,0.68,0.02
1,euclidean,mean_std_0.5,nearest_sphere,ratio,0.5,0.9,0.572,0.642,0.628,0.014
1,euclidean,mean_std_0.5,nearest_sphere,ratio,1.0,0.9,0.46,0.49,0.484,0.006
1,euclidean,mean_std_0.5,nearest_sphere,ratio,2.0,0.9,0.242,0.242,0.242,0.0
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,0.0,0.9,0.624,0.754,0.728,0.026
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,0.25,0.9,0.578,0.668,0.65,0.018
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,0.5,0.9,0.522,0.592,0.578,0.014
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,1.0,0.9,0.4,0.41,0.408,0.002
