mode,epoch,train_ce_loss,subcentroid_loss,subcentroid_signal_sample_count,subcentroid_mean_true_probability,subcentroid_mean_logit_span,subcentroid_distance_gradient_norm,dev_accuracy,number_of_balls,selected_ball_count,mean_ball_purity,mean_ball_radius,min_ball_size,max_ball_size,learning_rate,elapsed_time
official_fixed,1,2.306987321123164,2.2421069145202637,1024,0.138132244348526,0.4570460617542267,0.02845102734863758,10.8,2212,10,1.0,0.8919734716415405,10,20,2e-05,25.015
official_fixed,2,2.2971997768320938,2.2375247478485107,1024,0.14502382278442383,0.5073192715644836,0.02823459543287754,17.9,2451,10,1.0,0.9003685057163239,10,74,2e-05,22.608
official_fixed,3,2.27458430351095,2.2328567504882812,1024,0.13888193666934967,0.4738156795501709,0.028432946652173996,26.3,2109,14,1.0,0.9352956073624747,10,28,2e-05,21.557
official_fixed,4,2.2287425081780614,2.193007469177246,1024,0.15158477425575256,0.6289516687393188,0.028057031333446503,44.7,2086,28,1.0,1.09445387337889,10,35,2e-05,21.364
official_fixed,5,2.105112479088154,2.0984251499176025,1024,0.17246423661708832,0.935671865940094,0.027477383613586426,59.5,1670,27,1.0,1.477918788238808,10,166,2e-05,20.878
official_fixed,6,1.788067285050737,1.858614444732666,1024,0.22458161413669586,1.503820538520813,0.026060007512569427,73.5,1254,72,1.0,2.086321418484052,10,138,2e-05,19.698
official_fixed,7,1.2630558343643838,1.4706205129623413,1024,0.295970618724823,2.143315315246582,0.02385891042649746,84.2,718,82,1.0,2.5296864873025475,10,413,2e-05,17.874
official_fixed,8,0.7700590897113719,1.1281687021255493,1024,0.4063154458999634,2.8310465812683105,0.020694101229310036,86.8,439,61,1.0,2.93628734447917,10,467,2e-05,16.623
official_fixed,9,0.5119840204715729,0.8953644037246704,1024,0.505012571811676,3.4663891792297363,0.01818343624472618,87.7,324,57,1.0,3.2548744971292063,10,525,2e-05,16.095
official_fixed,10,0.4175654281961157,0.7865084409713745,1024,0.5580582618713379,3.5840225219726562,0.016821730881929398,88.5,321,43,1.0,3.430079748464185,11,524,2e-05,16.098
official_fixed,11,0.3660773774410816,0.7117737531661987,1024,0.5992448329925537,3.714564561843872,0.01563095860183239,88.8,308,43,1.0,3.5498677686203357,10,544,2e-05,15.927
official_fixed,12,0.33429412226727667,0.6452382802963257,1024,0.6273969411849976,4.107478141784668,0.01533875148743391,89.4,246,45,1.0,3.5586175123850503,10,522,2e-05,16.185
official_fixed,13,0.31689329381952897,0.6156342029571533,1024,0.6429561376571655,4.431286811828613,0.014751066453754902,89.8,223,46,1.0,3.691687117452207,10,527,2e-05,15.966
official_fixed,14,0.2959407070215712,0.6228665113449097,1024,0.6366926431655884,4.162494659423828,0.014948706142604351,90.1,218,43,1.0,3.711995773537214,10,509,2e-05,15.685
official_fixed,15,0.2806176869793141,0.57691490650177,1024,0.6808000802993774,4.492710113525391,0.013617325574159622,90.1,249,32,1.0,3.8205645456910133,10,539,2e-05,15.694
official_fixed,16,0.2664574235677719,0.5472919344902039,1024,0.6944217085838318,4.648709297180176,0.013352456502616405,90.4,227,35,1.0,3.8344346046447755,10,526,2e-05,15.663
official_fixed,17,0.2555373483832846,0.5787611603736877,1024,0.6702868938446045,4.525509834289551,0.01384641695767641,90.8,237,36,1.0,3.891696572303772,10,539,2e-05,15.673
official_fixed,18,0.24380942624300084,0.5166188478469849,1024,0.6895049810409546,4.637548446655273,0.013658495619893074,90.6,214,42,1.0,3.9215664806820096,10,500,2e-05,15.773
official_fixed,19,0.23243016923995727,0.511932909488678,1024,0.6834095120429993,4.480080604553223,0.014033699408173561,91.1,175,45,1.0,3.9229939195844863,10,507,2e-05,15.765
official_fixed,20,0.22083513597224622,0.5095387697219849,1024,0.7128760814666748,5.029362678527832,0.01310633309185505,90.4,163,53,1.0,3.988869455625426,10,523,2e-05,15.742
official_fixed,21,0.21601839791587057,0.4734441041946411,1024,0.7302137613296509,5.262726306915283,0.012573052197694778,91.2,163,41,1.0,4.028832336751426,10,533,2e-05,15.832
official_fixed,22,0.20356909217352562,0.5013290047645569,1024,0.7091759443283081,5.125508785247803,0.013321712613105774,91.3,195,24,1.0,4.0531465609868365,10,524,2e-05,15.607
official_fixed,23,0.20141680871552609,0.4523429572582245,1024,0.7546738982200623,5.001331806182861,0.011567994020879269,91.2,253,29,1.0,4.07368568716378,10,543,2e-05,15.696
official_fixed,24,0.18924531229632965,0.4383205771446228,1024,0.7538124322891235,5.804901123046875,0.011573449708521366,90.9,188,37,1.0,4.1446127569353255,10,528,2e-05,15.613
official_fixed,25,0.18349776781619864,0.45187583565711975,1024,0.737060546875,5.150746822357178,0.012308841571211815,91.4,181,33,1.0,4.183284853443955,10,504,2e-05,15.591
official_fixed,26,0.1788317044364645,0.4057788550853729,1024,0.7678256034851074,6.177480220794678,0.012017140164971352,91.1,116,44,1.0,4.18376781723716,10,524,2e-05,15.447
official_fixed,27,0.17107633247654488,0.41998210549354553,1024,0.7533056735992432,5.194075584411621,0.012170194648206234,91.1,167,33,1.0,4.2615814208984375,10,531,2e-05,15.595
official_fixed,28,0.16714076412485002,0.4053644835948944,1024,0.764988899230957,5.864070892333984,0.011885256506502628,91.6,133,28,1.0,4.316794455051422,10,535,2e-05,15.541
official_fixed,29,0.16255189367431275,0.39468660950660706,1024,0.770386278629303,5.564144611358643,0.011738738045096397,91.5,139,38,1.0,4.365535930583351,10,532,2e-05,15.389
official_fixed,30,0.15922580263082017,0.40161845088005066,1024,0.759488582611084,5.91204833984375,0.012201105244457722,91.5,163,49,1.0,4.27352948091468,10,530,2e-05,15.514
official_fixed,31,0.14832028382002038,0.3612125515937805,1024,0.7985612154006958,7.924233436584473,0.011329416185617447,91.5,79,53,1.0,4.323538307873708,10,501,2e-05,15.336
official_fixed,32,0.1425862653141326,0.3250313699245453,1024,0.8074114918708801,7.647942543029785,0.01135224848985672,91.2,106,34,1.0,4.392357756109798,10,547,2e-05,15.266
official_fixed,33,0.1431351993629273,0.31732311844825745,1024,0.8342021703720093,8.434682846069336,0.010557387955486774,91.2,65,33,1.0,4.489870085860744,10,552,2e-05,15.182
official_fixed,34,0.135337353466039,0.3376685380935669,1024,0.8004070520401001,6.879382133483887,0.010994425974786282,91.3,103,41,1.0,4.5347784205180846,10,537,2e-05,15.278
official_fixed,35,0.12682309405917816,0.3643178343772888,1024,0.7762491106987,5.944603443145752,0.011758462525904179,91.7,155,31,1.0,4.5575915152026765,10,538,2e-05,15.469
official_fixed,36,0.12712029827401994,0.3413621187210083,1024,0.8009190559387207,5.790989875793457,0.010605603456497192,91.6,109,42,1.0,4.6320671467554,10,537,2e-05,15.175
official_fixed,37,0.12809141630187948,0.2618333399295807,1024,0.8665374517440796,8.593721389770508,0.00954081118106842,91.7,45,38,1.0,4.54571196907445,10,511,2e-05,15.268
official_fixed,38,0.11917270910232625,0.33690038323402405,1024,0.8001244068145752,7.933121681213379,0.010988575406372547,91.3,133,37,1.0,4.622181621757713,10,532,2e-05,15.465
official_fixed,39,0.1122786263202099,0.2769395411014557,1024,0.8404370546340942,8.454512596130371,0.01060303021222353,91.7,56,50,1.0,4.6673448944091795,10,529,2e-05,15.411
official_fixed,40,0.11248415098228354,0.3191153407096863,1024,0.827818751335144,6.485891819000244,0.010513491928577423,91.6,75,42,1.0,4.657154946100144,10,537,2e-05,15.219
official_fixed,41,0.1065905732994384,0.3167538642883301,1024,0.8163622617721558,6.741081237792969,0.010156111791729927,91.5,109,44,1.0,4.696771209890192,10,543,2e-05,15.28
official_fixed,42,0.10557910015291357,0.2954275906085968,1024,0.8310568928718567,8.196722030639648,0.01032976433634758,91.6,77,39,1.0,4.804507145514855,10,526,2e-05,15.075
official_fixed,43,0.10413961350283724,0.27488943934440613,1024,0.8513785600662231,7.921710968017578,0.009895212948322296,91.8,71,27,1.0,4.782857577006022,10,533,2e-05,15.311
official_fixed,44,0.09448948676915879,0.25382211804389954,1024,0.8674905300140381,8.736135482788086,0.00918483640998602,91.5,56,45,1.0,4.794204955630832,10,532,2e-05,14.978
official_fixed,45,0.09416520476658294,0.2519601583480835,1024,0.8637253046035767,9.088288307189941,0.009841865859925747,91.8,51,38,1.0,4.784307090859664,10,539,2e-05,15.01
official_fixed,46,0.08837848806634863,0.28643500804901123,1024,0.830396294593811,7.063684463500977,0.01049951370805502,92.0,79,38,1.0,4.83186956455833,10,512,2e-05,15.31
official_fixed,47,0.08920872132194803,0.10266628861427307,1024,0.9467074275016785,9.760029792785645,0.00653576385229826,91.8,10,34,1.0,4.8981653241550225,10,552,2e-05,15.002
