dataset,kir,seed,method,method_label,layer,contract,source_run_dir,manifest_status,valid_semantic_metrics,invalid_reason,oos_f1,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
stackoverflow,0.5,13,fixed_k2,S2C Frozen K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.5828933474128828,0.7312628392541963,0.7460997884383276,0.6461666666666667,0.8816666666666667,0.54,0.1183333333333333,0.8267111111111112,0.7636089090745848
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7329299913569577,0.4585184886906548,0.4310773384240245,0.6388333333333334,0.2896666666666666,0.0106666666666666,0.7103333333333334,0.8605508888888889,0.8015602505787192
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.8025267783575941,0.6742800631117692,0.6614553915871868,0.7583333333333333,0.5466666666666666,0.026,0.4533333333333333,0.8681834444444444,0.7995608395289127
stackoverflow,0.5,13,ours_partition_mogb_boundary,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7231655101136867,0.6412855588014174,0.6330975636701904,0.678,0.5586666666666666,0.1836666666666666,0.4413333333333333,0.7156366666666666,0.6493859915869499
stackoverflow,0.5,13,random_partition,S2C Random K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.6879905808477237,0.7943742466569094,0.8050126132378279,0.715,0.8856666666666667,0.4156666666666667,0.1143333333333333,0.8750533333333332,0.8231341913324727
stackoverflow,0.5,13,single_centroid,S2C Frozen K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.695702897141746,0.7950521077520563,0.8049870288130873,0.7198333333333333,0.882,0.4036666666666667,0.118,0.8754305555555555,0.8217523017158999
stackoverflow,0.5,13,trainable_k1,S2C Trainable K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.8565782973818541,0.8523954175911279,0.8519771296120553,0.8496666666666667,0.8426666666666667,0.133,0.1573333333333333,0.9058574444444444,0.8624639062641226
stackoverflow,0.5,42,fixed_k2,S2C Frozen K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.6376229672756475,0.7311336135664732,0.7404846781955559,0.6676666666666666,0.869,0.4706666666666667,0.131,0.8237117777777778,0.7590929120264975
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7316113161131611,0.4466999646755574,0.418208829531797,0.6351666666666667,0.2813333333333333,0.0086666666666666,0.7186666666666667,0.8616684444444443,0.8034067311024371
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7966422962361224,0.6555490943987803,0.6414397742150462,0.7481666666666666,0.5186666666666666,0.0193333333333333,0.4813333333333333,0.8780657777777777,0.8405770675099432
stackoverflow,0.5,42,ours_partition_mogb_boundary,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7217314487632509,0.6320607170210828,0.623093643846866,0.6723333333333333,0.5529999999999999,0.183,0.447,0.697064888888889,0.6170257481054957
stackoverflow,0.5,42,random_partition,S2C Random K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7910096066702919,0.804679086233893,0.806046034190253,0.7806666666666666,0.8883333333333333,0.2726666666666666,0.1116666666666666,0.9054074444444444,0.8724567747533756
stackoverflow,0.5,42,single_centroid,S2C Frozen K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7966284074605452,0.8057545922611464,0.8066672107412065,0.7848333333333334,0.8816666666666667,0.2596666666666666,0.1183333333333333,0.9052701111111112,0.8700455375086527
stackoverflow,0.5,42,trainable_k1,S2C Trainable K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.8754826254826255,0.8576590966593717,0.8558767437770463,0.8648333333333333,0.835,0.093,0.165,0.9267934444444444,0.9119942660488356
