epoch,loss,known_validation_f1
1,0.5123891126602254,0.8943017807489214
2,0.3555002866695959,0.9082994475202366
3,0.2435155844329097,0.9153081347685398
4,0.17004703135883553,0.9192776156937892
5,0.12025359286167098,0.9193138187637272
6,0.09567579604579625,0.9137246291971763
7,0.0730672715535612,0.9160332079271725
8,0.0519726360546993,0.9180734543457653
9,0.04295203439125144,0.9118363813059227
