ci95_high,ci95_low,dataset,left_method,losses,mean_delta,metric,n,right_method,std_delta,ties,wins
0.0131531060542599,-0.08493116989255106,banking77,ccsg_k2,2,-0.038734274575909854,oos_f1,3,ccsg_k1,0.049289121663204274,0,1
-0.00496324987034813,-0.023147657954406986,banking77,ccsg_k2,3,-0.012605046295333691,f1_all,3,ccsg_k1,0.009432879788730104,0,0
-0.003924789080372082,-0.021521776061298015,banking77,ccsg_k2,3,-0.01191743502479222,f1_k,3,ccsg_k1,0.008908516066332762,0,0
-0.0006578947368420796,-0.020394736842105243,banking77,ccsg_k2,3,-0.01008771929824559,known_recall,3,ccsg_k1,0.00989761762841821,0,0
0.08397435897435901,-0.0198717948717948,banking77,ccsg_k2,1,0.034401709401709425,false_accept_rate,3,ccsg_k1,0.05208242931496832,0,2
0.020394736842105264,0.0006578947368420934,banking77,ccsg_k2,0,0.01008771929824561,false_reject_rate,3,ccsg_k1,0.009897617628418214,0,3
0.09441513568467419,0.01861909361406966,banking77,ccsg_k2,0,0.047270250687084625,oos_f1,3,current_k2_union,0.04114332847258904,0,3
-0.007032403539857457,-0.011727899391534069,banking77,ccsg_k2,3,-0.008833825203039769,f1_all,3,current_k2_union,0.002531271909353293,0,0
-0.007707442938645004,-0.014521137156697339,banking77,ccsg_k2,3,-0.010310248252779855,f1_k,3,current_k2_union,0.003680496820821355,0,0
-0.020394736842105243,-0.02894736842105261,banking77,ccsg_k2,3,-0.024999999999999984,known_recall,3,current_k2_union,0.0043141042923039484,0,0
-0.023076923076923106,-0.0955128205128205,banking77,ccsg_k2,3,-0.05085470085470086,false_accept_rate,3,current_k2_union,0.03905700021550401,0,0
0.028947368421052628,0.020394736842105264,banking77,ccsg_k2,0,0.024999999999999998,false_reject_rate,3,current_k2_union,0.004314104292303947,0,3
0.0,0.0,banking77,ccsg_k1,0,0.0,oos_f1,3,current_k1,0.0,3,0
0.0,0.0,banking77,ccsg_k1,0,0.0,f1_all,3,current_k1,0.0,3,0
