ci95_high,ci95_low,dataset,k,mean,method,metric,n_seeds,std
0.6124284546197873,0.5580413676656817,banking77,2,0.5777443636767345,ccsg_independent_k2,oos_f1,3,0.03012994707694586
0.7385734926778674,0.7238265064045378,banking77,2,0.7308604281228789,ccsg_independent_k2,f1_all,3,0.007396913361725294
0.743324338072925,0.7267580340830838,banking77,2,0.7348897982398827,ccsg_independent_k2,f1_k,3,0.008287301237649704
0.9098684210526317,0.9026315789473683,banking77,2,0.9054824561403508,ccsg_independent_k2,known_recall,3,0.0038549113665014988
0.5762820512820512,0.5198717948717949,banking77,2,0.555982905982906,ccsg_independent_k2,false_accept_rate,3,0.03135351581875304
0.09736842105263159,0.09013157894736841,banking77,2,0.09451754385964913,ccsg_independent_k2,false_reject_rate,3,0.0038549113665015196
0.6590909090909091,0.6272727272727273,banking77,2,0.6401515151515151,ccsg_independent_k2,accuracy,3,0.01675253362689087
0.8487925944669367,0.8479967948717948,banking77,2,0.8484822031039135,ccsg_independent_k2,auroc,3,0.0004257903559946701
0.8261259056393837,0.8074599566397986,banking77,2,0.8169988854075472,ccsg_independent_k2,aupr_oos,3,0.009339789317497776
0.5774345774345774,0.5211845102505694,banking77,1,0.5430283458353119,ccsg_k1,oos_f1,3,0.030155892621022407
0.741453471958562,0.7174661012124218,banking77,1,0.731678415329578,ccsg_k1,f1_all,3,0.012594261762423916
0.7457697586565617,0.7226314062377336,banking77,1,0.7366428908425849,ccsg_k1,f1_k,3,0.012318297327948547
0.9585526315789473,0.9355263157894737,banking77,1,0.9471491228070175,ccsg_k1,known_recall,3,0.011514724204232517
0.6333333333333333,0.5685897435897436,banking77,1,0.6074786324786324,ccsg_k1,false_accept_rate,3,0.03428338732541598
0.06447368421052632,0.04144736842105263,banking77,1,0.052850877192982454,ccsg_k1,false_reject_rate,3,0.011514724204232529
0.650974025974026,0.6230519480519481,banking77,1,0.6337662337662339,ccsg_k1,accuracy,3,0.015051074008440583
0.8756001180836707,0.8612820512820513,banking77,1,0.869565901934323,ccsg_k1,auroc,3,0.007419393558874397
0.8479670854868537,0.8444832668626528,banking77,1,0.8460855622613243,ccsg_k1,aupr_oos,3,0.0017586142800656917
0.5343376163048293,0.48604118993135015,banking77,2,0.504294071259402,ccsg_k2,oos_f1,3,0.026218333533701232
0.7311524229474022,0.7077618701511758,banking77,2,0.7190733690342443,ccsg_k2,f1_all,3,0.011714151508813012
