calibration_false_rejection,calibration_method,k,margin_mean,margin_std,margin_threshold,method,support_mean,support_std,support_threshold,target_false_rejection,test_used_for_selection,threshold
0.0465587044534413,current_k1,1,-0.2473790245265017,0.15587953062282617,,current_k1,0.376084809385352,0.13648583947346316,,0.05,False,1.1227891889445458
0.0465587044534413,current_k2_union,2,-0.30450756278751545,0.18957384238055175,,current_k2_union,0.5471494404415032,0.17287925893196518,,0.05,False,1.1735973469857193
0.0465587044534413,mixture_support,1,-0.2473790245265017,0.15587953062282617,,mixture_support_k1,0.376084809385352,0.13648583947346316,,0.05,False,0.6303277814053755
0.0465587044534413,mixture_support,2,-0.30450756278751545,0.18957384238055175,,mixture_support_k2,0.5471494404415032,0.17287925893196518,,0.05,False,0.844725119048282
0.0465587044534413,margin_only,1,-0.2473790245265017,0.15587953062282617,-0.023477995077339164,margin_only_k1,0.376084809385352,0.13648583947346316,,0.05,False,-0.023477995077339164
0.0465587044534413,ccsg,1,-0.2473790245265017,0.15587953062282617,,ccsg_k1,0.376084809385352,0.13648583947346316,,0.05,False,1.862779120536206
0.0465587044534413,ccsg,2,-0.30450756278751545,0.18957384238055175,,ccsg_k2,0.5471494404415032,0.17287925893196518,,0.05,False,1.7212919609048452
0.08299595141700405,ccsg_independent,2,-0.30450756278751545,0.18957384238055175,-0.028645543057241873,ccsg_independent_k2,0.5471494404415032,0.17287925893196518,0.844725119048282,0.05,False,nan
0.046464646464646465,current_k1,1,-0.2384690959732369,0.1397827462181547,,current_k1,0.3652781673965239,0.13344565989904505,,0.05,False,1.1036349957713016
0.046464646464646465,current_k2_union,2,-0.27494366293253025,0.161098855576173,,current_k2_union,0.5223914627856767,0.17211386388464217,,0.05,False,1.164548124872045
0.046464646464646465,mixture_support,1,-0.2384690959732369,0.1397827462181547,,mixture_support_k1,0.3652781673965239,0.13344565989904505,,0.05,False,0.6090051019455605
0.046464646464646465,mixture_support,2,-0.27494366293253025,0.161098855576173,,mixture_support_k2,0.5223914627856767,0.17211386388464217,,0.05,False,0.8459571315547983
0.046464646464646465,margin_only,1,-0.2384690959732369,0.1397827462181547,-0.03137135494245524,margin_only_k1,0.3652781673965239,0.13344565989904505,,0.05,False,-0.03137135494245524
0.046464646464646465,ccsg,1,-0.2384690959732369,0.1397827462181547,,ccsg_k1,0.3652781673965239,0.13344565989904505,,0.05,False,1.826413348575158
0.046464646464646465,ccsg,2,-0.27494366293253025,0.161098855576173,,ccsg_k2,0.5223914627856767,0.17211386388464217,,0.05,False,1.8799512222094363
0.07878787878787878,ccsg_independent,2,-0.27494366293253025,0.161098855576173,-0.02761991657204743,ccsg_independent_k2,0.5223914627856767,0.17211386388464217,0.8459571315547983,0.05,False,nan
0.046747967479674794,current_k1,1,-0.255829864275636,0.15575825699160023,,current_k1,0.3687759771738674,0.14547100167718166,,0.05,False,1.1270684179406218
0.046747967479674794,current_k2_union,2,-0.32314158289922257,0.19432312492319337,,current_k2_union,0.5297535400056667,0.19023905137511887,,0.05,False,1.181411974147874
0.046747967479674794,mixture_support,1,-0.255829864275636,0.15575825699160023,,mixture_support_k1,0.3687759771738674,0.14547100167718166,,0.05,False,0.6351416093595881
0.046747967479674794,mixture_support,2,-0.32314158289922257,0.19432312492319337,,mixture_support_k2,0.5297535400056667,0.19023905137511887,,0.05,False,0.8820136574497687
0.046747967479674794,margin_only,1,-0.255829864275636,0.15575825699160023,-0.018100389221372692,margin_only_k1,0.3687759771738674,0.14547100167718166,,0.05,False,-0.018100389221372692
0.046747967479674794,ccsg,1,-0.255829864275636,0.15575825699160023,,ccsg_k1,0.3687759771738674,0.14547100167718166,,0.05,False,1.8310565618900412
0.046747967479674794,ccsg,2,-0.32314158289922257,0.19432312492319337,,ccsg_k2,0.5297535400056667,0.19023905137511887,,0.05,False,1.8516709103511313
0.07723577235772358,ccsg_independent,2,-0.32314158289922257,0.19432312492319337,-0.030827598968635184,ccsg_independent_k2,0.5297535400056667,0.19023905137511887,0.8820136574497687,0.05,False,nan
0.04933333333333333,current_k1,1,-0.23603024460039335,0.13535400361808145,,current_k1,0.4173383875284269,0.12485098804513173,,0.05,False,1.1284078267524529
0.04933333333333333,current_k2_union,2,-0.24460604968242228,0.15051961685968782,,current_k2_union,0.5551886674765543,0.14821166405141303,,0.05,False,1.1736065859706268
0.04933333333333333,mixture_support,1,-0.23603024460039335,0.13535400361808145,,mixture_support_k1,0.4173383875284269,0.12485098804513173,,0.05,False,0.6366521117380969
0.04933333333333333,mixture_support,2,-0.24460604968242228,0.15051961685968782,,mixture_support_k2,0.5551886674765543,0.14821166405141303,,0.05,False,0.8132883369414055
0.04933333333333333,margin_only,1,-0.23603024460039335,0.13535400361808145,-0.023972399790500587,margin_only_k1,0.4173383875284269,0.12485098804513173,,0.05,False,-0.023972399790500587
0.04933333333333333,ccsg,1,-0.23603024460039335,0.13535400361808145,,ccsg_k1,0.4173383875284269,0.12485098804513173,,0.05,False,1.7566038334465677
0.04933333333333333,ccsg,2,-0.24460604968242228,0.15051961685968782,,ccsg_k2,0.5551886674765543,0.14821166405141303,,0.05,False,1.74142616316162
0.08,ccsg_independent,2,-0.24460604968242228,0.15051961685968782,-0.017723741771549784,ccsg_independent_k2,0.5551886674765543,0.14821166405141303,0.8132883369414055,0.05,False,nan
0.04933333333333333,current_k1,1,-0.21384754487711585,0.12522408143258312,,current_k1,0.4220326353379883,0.12058131092906867,,0.05,False,1.1228306807944526
0.04933333333333333,current_k2_union,2,-0.2121786524910806,0.14179945695101615,,current_k2_union,0.5582177693581816,0.14054779229122932,,0.05,False,1.1503025424284652
0.04933333333333333,mixture_support,1,-0.21384754487711585,0.12522408143258312,,mixture_support_k1,0.4220326353379883,0.12058131092906867,,0.05,False,0.630374368866667
0.04933333333333333,mixture_support,2,-0.2121786524910806,0.14179945695101615,,mixture_support_k2,0.5582177693581816,0.14054779229122932,,0.05,False,0.8140518494387843
0.04933333333333333,margin_only,1,-0.21384754487711585,0.12522408143258312,-0.019676901051948748,margin_only_k1,0.4220326353379883,0.12058131092906867,,0.05,False,-0.019676901051948748
0.04933333333333333,ccsg,1,-0.21384754487711585,0.12522408143258312,,ccsg_k1,0.4220326353379883,0.12058131092906867,,0.05,False,1.727811150197518
0.04933333333333333,ccsg,2,-0.2121786524910806,0.14179945695101615,,ccsg_k2,0.5582177693581816,0.14054779229122932,,0.05,False,1.8202639537054304
0.082,ccsg_independent,2,-0.2121786524910806,0.14179945695101615,-0.014973434721868184,ccsg_independent_k2,0.5582177693581816,0.14054779229122932,0.8140518494387843,0.05,False,nan
0.04933333333333333,current_k1,1,-0.2214405425544284,0.13134371581474338,,current_k1,0.4073014368605539,0.12205921549336782,,0.05,False,1.1203700498811626
0.04933333333333333,current_k2_union,2,-0.22688063321444066,0.14401679478958632,,current_k2_union,0.5425565759759751,0.1420187034029467,,0.05,False,1.1349051240777754
0.04933333333333333,mixture_support,1,-0.2214405425544284,0.13134371581474338,,mixture_support_k1,0.4073014368605539,0.12205921549336782,,0.05,False,0.6276145243353594
0.04933333333333333,mixture_support,2,-0.22688063321444066,0.14401679478958632,,mixture_support_k2,0.5425565759759751,0.1420187034029467,,0.05,False,0.7887713739583901
0.04933333333333333,margin_only,1,-0.2214405425544284,0.13134371581474338,-0.02354598190177193,margin_only_k1,0.4073014368605539,0.12205921549336782,,0.05,False,-0.02354598190177193
0.04933333333333333,ccsg,1,-0.2214405425544284,0.13134371581474338,,ccsg_k1,0.4073014368605539,0.12205921549336782,,0.05,False,1.804968896320461
0.04933333333333333,ccsg,2,-0.22688063321444066,0.14401679478958632,,ccsg_k2,0.5425565759759751,0.1420187034029467,,0.05,False,1.7336786781092839
0.08133333333333333,ccsg_independent,2,-0.22688063321444066,0.14401679478958632,-0.01764380939986465,ccsg_independent_k2,0.5425565759759751,0.1420187034029467,0.7887713739583901,0.05,False,nan
0.049,current_k1,1,-0.12086570272479034,0.06539676059570831,,current_k1,0.40855312647675734,0.07287335532150642,,0.05,False,1.0251506235187298
0.049,current_k2_union,2,-0.11108557820579194,0.05893072077220692,,current_k2_union,0.45439635215021323,0.06818982265830048,,0.05,False,1.0142000902451291
0.049,mixture_support,1,-0.12086570272479034,0.06539676059570831,,mixture_support_k1,0.40855312647675734,0.07287335532150642,,0.05,False,0.5254669004504202
0.049,mixture_support,2,-0.11108557820579194,0.05893072077220692,,mixture_support_k2,0.45439635215021323,0.06818982265830048,,0.05,False,0.5610695256515104
0.049,margin_only,1,-0.12086570272479034,0.06539676059570831,-0.01869484566753321,margin_only_k1,0.40855312647675734,0.07287335532150642,,0.05,False,-0.01869484566753321
0.049,ccsg,1,-0.12086570272479034,0.06539676059570831,,ccsg_k1,0.40855312647675734,0.07287335532150642,,0.05,False,1.7228029596954921
0.049,ccsg,2,-0.11108557820579194,0.05893072077220692,,ccsg_k2,0.45439635215021323,0.06818982265830048,,0.05,False,1.6699956196099444
0.087,ccsg_independent,2,-0.11108557820579194,0.05893072077220692,-0.02033643363125881,ccsg_independent_k2,0.45439635215021323,0.06818982265830048,0.5610695256515104,0.05,False,nan
0.049,current_k1,1,-0.11095686837818158,0.05957805755558959,,current_k1,0.41044928738603326,0.06983402415597674,,0.05,False,1.0230258861323895
0.049,current_k2_union,2,-0.10627905601705294,0.05344654904204732,,current_k2_union,0.4572688359381932,0.06541043463689564,,0.05,False,1.0121004616307228
0.049,mixture_support,1,-0.11095686837818158,0.05957805755558959,,mixture_support_k1,0.41044928738603326,0.06983402415597674,,0.05,False,0.5232909818484804
0.049,mixture_support,2,-0.10627905601705294,0.05344654904204732,,mixture_support_k2,0.4572688359381932,0.06541043463689564,,0.05,False,0.5583056661582582
0.049,margin_only,1,-0.11095686837818158,0.05957805755558959,-0.017228605106332395,margin_only_k1,0.41044928738603326,0.06983402415597674,,0.05,False,-0.017228605106332395
0.049,ccsg,1,-0.11095686837818158,0.05957805755558959,,ccsg_k1,0.41044928738603326,0.06983402415597674,,0.05,False,1.7377694907585681
0.049,ccsg,2,-0.10627905601705294,0.05344654904204732,,ccsg_k2,0.4572688359381932,0.06541043463689564,,0.05,False,1.7287149796976653
0.088,ccsg_independent,2,-0.10627905601705294,0.05344654904204732,-0.01887397615131725,ccsg_independent_k2,0.4572688359381932,0.06541043463689564,0.5583056661582582,0.05,False,nan
0.049,current_k1,1,-0.1360031127595665,0.07430774030860414,,current_k1,0.4107725752058414,0.07443310315391351,,0.05,False,1.0391737162359767
0.049,current_k2_union,2,-0.12672281832331117,0.06975744948147579,,current_k2_union,0.45559960296900986,0.07155722503886458,,0.05,False,1.0206383468846936
0.049,mixture_support,1,-0.1360031127595665,0.07430774030860414,,mixture_support_k1,0.4107725752058414,0.07443310315391351,,0.05,False,0.539941006257845
0.049,mixture_support,2,-0.12672281832331117,0.06975744948147579,,mixture_support_k2,0.45559960296900986,0.07155722503886458,,0.05,False,0.5740570807871848
0.049,margin_only,1,-0.1360031127595665,0.07430774030860414,-0.014739016083621215,margin_only_k1,0.4107725752058414,0.07443310315391351,,0.05,False,-0.014739016083621215
0.049,ccsg,1,-0.1360031127595665,0.07430774030860414,,ccsg_k1,0.4107725752058414,0.07443310315391351,,0.05,False,1.774093012224432
0.049,ccsg,2,-0.12672281832331117,0.06975744948147579,,ccsg_k2,0.45559960296900986,0.07155722503886458,,0.05,False,1.73132075675941
0.076,ccsg_independent,2,-0.12672281832331117,0.06975744948147579,-0.01696568350247385,ccsg_independent_k2,0.45559960296900986,0.07155722503886458,0.5740570807871848,0.05,False,nan
