dataset,kir,recipe,coverage_target,k,distance,boundary,rule,fusion,fusion_weight,f1_u_mean,f1_u_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,baseline,delta_pp
clinc150,0.75,all6,0.9,1,euclidean,mean_std_2.0,nearest_sphere,max_ratio,2.0,0.8680479018143324,0.015532179176632126,0.9087005005384551,0.006100165714088677,0.8916363636363637,0.010691774856719391,0.8971230158730159,0.0015623031496055124,0.10887850467289721,0.02844204344807829,86.0,0.8047901814332477
stackoverflow,0.5,no_projection,0.9,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,0.8064977821763378,0.038157376874533695,0.81834619365157,0.011147655257547852,0.8078464106844742,0.025407457409825043,0.8875642418641904,0.002791290017308106,0.24636390859595317,0.06025364361038659,88.86,-8.210221782366219
clinc150,0.25,last4,0.9,2,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,0.9518886785857523,0.004756745146564924,0.8472746151007843,0.008910341537743659,0.9242424242424242,0.006609673740852438,0.8795321637426902,0.010187866310049304,0.06314984709480122,0.010113150309463097,93.56,1.6288678585752336
clinc150,0.5,all6,0.9,2,euclidean,intent_quantile_0.7,nearest_sphere,inverse_margin,0.5,0.9212958052366359,0.008101040260798083,0.8896013028823492,0.00921785791203685,0.9060606060606061,0.009228454420028996,0.8927407407407407,0.01077313123715428,0.08246153846153846,0.011564756363347637,90.1,2.029580523663597
stackoverflow,0.25,compact_margin,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,0.8846124181335259,0.014896283611618393,0.7188934139141973,0.03891264578012227,0.8301613800779076,0.02269727753773348,0.8795126692656005,0.0051243450934983425,0.17478093281796112,0.02345694258859441,92.65,-4.188758186647419
stackoverflow,0.75,no_projection,0.9,1,euclidean,center_quantile_0.5,nearest_sphere,inverse_margin,0.5,0.6309507738217236,0.10839671093327301,0.8691254485933353,0.00815613221797618,0.8053978853644964,0.03257104238395208,0.8963260414705482,0.002746982550768549,0.38295418202798004,0.1558331644776503,74.55,-11.454922617827634
banking77_oos,0.25,all6,0.9,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,0.8908566594866478,0.021693826199660586,0.5866919327392616,0.03663565008864497,0.8223039215686274,0.03150693745070674,0.88125,0.01453364551142801,0.18333333333333335,0.03688138589470851,86.57,2.5156659486647897
banking77_oos,0.5,compact_margin,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,0.8355313360139611,0.03850644179440243,0.6667145558967501,0.036814468726206494,0.7700163398692811,0.04510617881456945,0.9039999999999999,0.0029439202887759515,0.25811688311688313,0.05969142084216651,79.93,3.6231336013961055
banking77_oos,0.75,lr_high,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,0.7990795538756057,0.01671704363448701,0.7185485340221719,0.00832283844498311,0.7554738562091504,0.014347949802958188,0.9030701754385965,0.0008205389006083379,0.29596354166666666,0.024945687530891773,69.37,10.537955387560572
