dataset,kir,method,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std,accuracy_mean,accuracy_std
banking77,0.5,energy,0.6951611103617953,0.001799451240559297,0.780682110726134,0.0013280993131811172,0.9285087719298245,0.0026588499238996703,0.4301282051282051,0.0033919888603392693,0.07149122807017537,0.002658849923899573,0.8888250674763832,0.007543312300758407,0.8818827469418529,0.005479970047514523,0.7319264069264069,0.0021617948436621266
banking77,0.5,knn,0.6734709967108099,0.01071562928634746,0.775517371736736,0.011328407038542232,0.9478070175438597,0.005478068419647842,0.4664529914529914,0.010732793465704611,0.0521929824561403,0.005478068419647726,0.9086278396311291,0.0027566017025570867,0.8967968498506415,0.004360142653677869,0.7214285714285714,0.006469110014666038
banking77,0.5,lof,0.5765866980603374,0.03683358119887512,0.7458972333680602,0.013997346522340092,0.9504385964912281,0.009334998532365205,0.5745726495726496,0.04094710699055963,0.0495614035087719,0.009334998532365222,0.8852552153621231,0.016506621282177517,0.8656280564958295,0.013954392722724081,0.6668831168831169,0.020771609807432867
banking77,0.5,msp,0.7255917191237814,0.002889084445039529,0.8024707417832588,0.0030553314383655367,0.9385964912280702,0.0031090892277977726,0.39658119658119656,0.002251208066848868,0.06140350877192979,0.003109089227797798,0.9051176619433198,0.007101738877625075,0.8992305124859884,0.0003195512019960448,0.7568181818181818,0.0030972051994056556
banking77,0.5,trainable_k1,0.8476968183476892,0.007122469721089224,0.8230769867738129,0.008265884758620284,0.8190789473684211,0.0017406258625424784,0.13461538461538455,0.012229989761755738,0.1809210526315789,0.0017406258625424808,0.9080357343679712,0.006431324491320066,0.8922386315593206,0.007273137783153509,0.8318181818181819,0.007959513423461868
clinc150,0.5,energy,0.8830116210468443,0.010036845622716653,0.8558951167106711,0.0071517329478407105,0.9502222222222222,0.008231226301089809,0.18367149758454104,0.019651090845563043,0.04977777777777773,0.008231226301089845,0.9628395061728394,0.003932431296298419,0.972887868078458,0.002753453558025652,0.8635087719298246,0.009367501104710513
clinc150,0.5,knn,0.8680568054315865,0.011554371075357128,0.8367070489853309,0.009105722429530567,0.946074074074074,0.004955771461830466,0.20599033816425116,0.021261088552527667,0.0539259259259259,0.004955771461830416,0.9577105743424585,0.0036007775173890417,0.9700494568086281,0.0010364218002192514,0.845906432748538,0.010709421086606935
clinc150,0.5,lof,0.7870128215222798,0.027756365720549236,0.7891427102707124,0.0012941831072571773,0.9564444444444445,0.006012333003763883,0.3320772946859903,0.04049819279533029,0.043555555555555535,0.006012333003763858,0.9418560601180891,0.0006478379448587234,0.9529421116192367,0.00023225051043941603,0.7724561403508772,0.02036599559428978
clinc150,0.5,msp,0.8837789072333955,0.02165031424142412,0.862742491800288,0.009518725500827045,0.9506666666666667,0.011657668487648041,0.18212560386473428,0.04198631850590046,0.049333333333333264,0.011657668487647998,0.9629242726784756,0.0008200311039952406,0.9723322216285092,0.001747735860062602,0.8663157894736843,0.01990822278769456
clinc150,0.5,trainable_k1,0.9043025833372952,0.0062487196963865975,0.8190383882947754,0.010077844399131845,0.7426666666666666,0.0032049344670791553,0.03613526570048307,0.010572097055687188,0.2573333333333333,0.0032049344670791245,0.9513123778851315,0.006073446334924897,0.9618995379320204,0.0068477379725991145,0.8739766081871346,0.008469039687029412
stackoverflow,0.5,energy,0.429474837805609,0.03116847228922548,0.6980347119956186,0.0033247187424948832,0.9565555555555556,0.003469443332443568,0.7143333333333333,0.026104490886520705,0.0434444444444444,0.003469443332443563,0.8829404444444444,0.017129536934564073,0.8405658728671487,0.0179621819175103,0.6025,0.011821590417536849
stackoverflow,0.5,knn,0.6883318869318287,0.08014090147653297,0.7721988930219353,0.024220719806993155,0.9516666666666667,0.011140516644712235,0.44588888888888895,0.0956500179086545,0.048333333333333305,0.011140516644712236,0.9295838518518518,0.005462954685241667,0.9071722849081674,0.02003471367940167,0.7343888888888889,0.04411642845085333
stackoverflow,0.5,lof,0.6353420715995679,0.08216930952960183,0.7606330182135137,0.019865757256782773,0.9493333333333333,0.005196152422706636,0.507,0.0922701348095784,0.0506666666666666,0.005196152422706632,0.8945970185185187,0.016965970004646398,0.8779232151782974,0.01975195838526179,0.7012777777777778,0.042642679889380156
stackoverflow,0.5,msp,0.4561272357964752,0.050961478163732025,0.7095457140277995,0.008374419854669581,0.9560000000000001,0.004371625682868079,0.6904444444444445,0.04640921045239633,0.04399999999999996,0.004371625682868017,0.8826637037037037,0.015321216122126391,0.8431583954340645,0.014194335458091414,0.6157777777777778,0.02038608821212625
stackoverflow,0.5,trainable_k1,0.8670909818700716,0.009628993510880545,0.856539550407569,0.003713175493914943,0.8392222222222222,0.0038920621973637963,0.11144444444444444,0.02018066548108014,0.16077777777777777,0.0038920621973637963,0.9175097777777778,0.010667097090274096,0.8877702922396727,0.024782914420508246,0.8582222222222221,0.007768049471559253
