dataset,distance,seed_count,test_oos_f1_mean,test_oos_f1_std,test_id_recall_mean,test_auroc_mean,test_fpr95_mean,mean_selected_k,fraction_intents_k_gt1
banking77_oos,euclidean,3,0.838726149845178,0.008247702387237503,0.8256666666666667,0.8707664502164502,0.5803333333333334,3.0533333333333332,1.0
banking77_oos,mahalanobis_diag,3,0.8682900768897405,0.006085623738458276,0.8109999999999999,0.894401948051948,0.474,3.0533333333333332,1.0
clinc150,euclidean,3,0.8760131850027698,0.009037708862476606,0.6878518518518518,0.9027958518518518,0.3174814814814815,3.8311111111111114,1.0
clinc150,mahalanobis_diag,3,0.8628735787326202,0.00902540087370628,0.6103703703703705,0.8833971509971509,0.3345185185185185,3.8311111111111114,1.0
stackoverflow,euclidean,3,0.6228904624816831,0.0900252908864682,0.8624044397573386,0.8263467891207045,0.4545310792737935,2.3000000000000003,1.0
stackoverflow,mahalanobis_diag,3,0.7083941886258508,0.0818556216629554,0.8799925023262594,0.8696339308891834,0.40566305207921577,2.3000000000000003,1.0
