dataset,kir,method,seed_count,data_seeds,distance,k_gate_values,validation_oos_f1_mean,validation_oos_f1_std,validation_id_recall_mean,validation_id_recall_std,validation_fpr95_mean,validation_fpr95_std,test_oos_precision_mean,test_oos_precision_std,test_oos_recall_mean,test_oos_recall_std,test_oos_f1_mean,test_oos_f1_std,test_id_recall_mean,test_id_recall_std,test_oos_rejection_mean,test_oos_rejection_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std,test_fpr95_mean,test_fpr95_std,run_elapsed_seconds_mean,run_elapsed_seconds_std,test_scoring_seconds_mean,test_scoring_seconds_std,test_samples_per_second_mean,test_samples_per_second_std,process_peak_rss_mb_mean,process_peak_rss_mb_std
banking77_oos,25,diag_mahalanobis_centroid,3,13|42|87,mahalanobis_diag,1,0.8939657548855676,0.01121795575391048,0.8595875476110119,0.012006674755274001,0.3132090939651637,0.024534442240996577,0.9789959478990932,0.006379850695143849,0.8626851851851852,0.009806512910981731,0.9171494665977039,0.0070442105247183195,0.8611111111111112,0.04281406289388433,0.8626851851851852,0.009806512910981731,0.9321853780864197,0.01395708858901491,0.9893523977937297,0.002400142144302109,0.2965277777777778,0.04622622011289615,0.6222396393325956,0.029434821755508343,,,,,,
banking77_oos,25,energy,3,13|42|87,,,0.8889084954965094,0.030450746811531954,0.8712735429372223,0.01836690631765073,0.4289221124482652,0.1247461490390069,0.9775113944194348,0.005455137914517358,0.855462962962963,0.031604877989911614,0.9121516430514891,0.015784382857793672,0.8513888888888889,0.04209845712841017,0.855462962962963,0.031604877989911614,0.9240979938271604,0.004150869469228448,0.987856011121144,0.0008651292216260276,0.37013888888888885,0.05312840403037546,,,0.008440336998319253,0.0033529922699531076,530020.4999177457,177375.97737114577,1228.61328125,0.0
banking77_oos,25,entropy,3,13|42|87,,,0.8889242527272093,0.029157957083580145,0.8721744438381233,0.018946777375853683,0.39653798998755824,0.13131234851895754,0.9794775653436113,0.002942334283070795,0.8545370370370371,0.028073884735020642,0.9125596624402679,0.014791122812109763,0.8652777777777777,0.0241463036815468,0.8545370370370371,0.028073884735020642,0.9212488425925925,0.00578229296286829,0.9867541588794073,0.0010388944089827722,0.3541666666666667,0.08856004711180118,,,0.005350134995145102,0.0012793799868782195,789099.2341783565,166306.03699360552,1228.61328125,0.0
banking77_oos,25,euclidean_centroid,3,13|42|87,euclidean,1,0.8537556679852699,0.018692302961387974,0.8766500424313688,0.0229554287231436,0.3466674193413643,0.017997382147366854,0.9793272066461552,0.006939775656841796,0.805462962962963,0.022604922257952232,0.8838000308334243,0.013850217499368427,0.8722222222222222,0.04479570395241706,0.805462962962963,0.022604922257952232,0.9235800540123457,0.01626870687952748,0.9873074759757873,0.00347357779696621,0.32569444444444445,0.059887529617639976,0.4404207723321936,0.008819302664464556,,,,,,
banking77_oos,25,knn,3,13|42|87,,,0.9213390290068952,0.00894600447317969,0.8721744438381233,0.018946777375853683,0.2650732783533826,0.03964068305550833,0.9793214928133844,0.005391215859670752,0.8910185185185185,0.015591063970113308,0.9330041023765868,0.006265755041769202,0.8583333333333334,0.039747466725706095,0.8910185185185185,0.015591063970113308,0.9466761188271605,0.00728792749635121,0.9921552454554782,0.0011763108974641018,0.26666666666666666,0.04872506484802709,,,0.026992701003716018,0.0028260321828128643,152316.9803736397,16705.213707967763,1228.61328125,0.0
banking77_oos,25,lof,3,13|42|87,,,0.8787258917609685,0.024556460124916326,0.873120265005551,0.015232118675732832,0.3531921481082309,0.0963779197739008,0.9788728668009709,0.004289831626157565,0.8424999999999999,0.023300241083900847,0.9054388185549794,0.012385847537775715,0.8631944444444445,0.030500265633330217,0.8424999999999999,0.023300241083900847,0.9261167052469136,0.005050096966070402,0.9884082287171564,0.0004482738396553479,0.3527777777777778,0.06693738436722729,,,0.061236596336433045,0.004053686184487281,66815.64330719842,4279.229120999497,1228.61328125,0.0
banking77_oos,25,msp,3,13|42|87,,,0.8764782295269459,0.028281070569617213,0.8712735429372223,0.01836690631765073,0.4237541999314853,0.1164420314589152,0.9781883691617712,0.0023315398765278647,0.8362962962962963,0.03256087998426633,0.9014418850928142,0.017725958262481495,0.8597222222222222,0.021074987368740986,0.8362962962962963,0.03256087998426633,0.9101840277777778,0.0031910358747966544,0.9837126384220399,0.0019330620016783043,0.3770833333333334,0.07758843520640028,,,0.0075504136718033505,0.002481971483320225,586534.7522321806,213794.27804557417,1228.61328125,0.0
banking77_oos,25,multisphere_k2,3,13|42|87,mahalanobis_diag,2,0.8391198034770803,0.03202514703310294,0.8711387154111612,0.03097381469999846,0.3685810226954109,0.03493238621316749,0.9794371312032393,0.003668901236934169,0.7973148148148148,0.042021024034468134,0.87862511187301,0.025771739695936966,0.8743055555555556,0.025201732377255648,0.7973148148148148,0.042021024034468134,0.9247866512345678,0.008800549774432781,0.9882052244766806,0.0018761420905756788,0.3111111111111111,0.015356489157983318,1.0220821569964755,0.059502801369146714,,,,,,
banking77_oos,25,multisphere_selected_k,3,13|42|87,mahalanobis_diag,1|4|5,0.9039224222775841,0.004047291933345233,0.8558941034743545,0.017815932962358404,0.316966728975854,0.029337946105778157,0.9786497737505829,0.006133110266766757,0.8729629629629629,0.0015795113064103227,0.9227804494855474,0.0019439114437735116,0.8569444444444444,0.04209845712841023,0.8729629629629629,0.0015795113064103227,0.9317521219135801,0.014586137484082905,0.9891329736447441,0.0027087880764291965,0.29097222222222224,0.06388511462281624,1.4285528973317316,0.6733269736427328,,,,,,
banking77_oos,50,diag_mahalanobis_centroid,3,13|42|87,mahalanobis_diag,1,0.7872838461273516,0.019461192761812997,0.8835028303538796,0.009443196396863238,0.39768084586215663,0.044396958329532527,0.9548056156815287,0.005663589748736255,0.7634199134199134,0.026504989659781576,0.8482265965039684,0.014431358608591224,0.8883333333333333,0.017925772879665017,0.7634199134199134,0.026504989659781576,0.9113760822510822,0.0022606288914913553,0.9679501153977047,0.0008350392085220992,0.39033333333333337,0.018583146486355125,1.0543208423284038,0.038690173559386865,,,,,,
