phase,dataset,distance,reference_k,target_k,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
fixed,clinc150,mahalanobis_diag,1,3,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.009870045484080582,0.02170064659505938,-0.023283972663139342,0.0023674742411584323,0.6666666666666666,0.0
fixed,clinc150,mahalanobis_diag,1,4,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.024331124085500953,0.021959142375074032,-0.03794584719857122,-0.011238301297953649,0.1111111111111111,0.0
fixed,clinc150,mahalanobis_diag,1,4,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.14020214889074542,0.008635744101610516,-0.1451397069061543,-0.13454314954051802,0.0,0.0
fixed,clinc150,mahalanobis_diag,1,4,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.016867678455397748,0.019378077024968837,0.004073027476097644,0.027643702427364712,0.2222222222222222,0.0
fixed,clinc150,mahalanobis_diag,1,5,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.030807414253371794,0.024876746492902713,-0.0467225335019992,-0.01563208954483881,0.0,0.0
fixed,clinc150,mahalanobis_diag,1,5,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.18017279309384576,0.007547410749150785,-0.18461815476190477,-0.17518636869952664,0.0,0.0
fixed,clinc150,mahalanobis_diag,1,5,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.013301865775549981,0.02575256652202259,-0.001936544486215541,0.028394345818249313,0.4444444444444444,0.0
fixed,banking77_oos,euclidean,1,2,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.004321829957635316,0.029339317491483607,-0.013851346483867134,0.02244870965267864,0.5555555555555556,0.0
fixed,banking77_oos,euclidean,1,2,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.050357699805068226,0.023472648555721388,-0.06338691520467837,-0.0337930799220273,0.1111111111111111,0.0
fixed,banking77_oos,euclidean,1,2,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.05773294346978557,0.044994760873908066,0.03096868908382065,0.08493952241715395,0.1111111111111111,0.0
fixed,banking77_oos,euclidean,1,3,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.013539217903274467,0.025505614196128113,-0.0014713065430547291,0.02991203279895031,0.7777777777777778,0.0
fixed,banking77_oos,euclidean,1,3,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.07392153996101364,0.019778922300592285,-0.0850942738791423,-0.06087580409356724,0.0,0.0
fixed,banking77_oos,euclidean,1,3,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.11421637426900588,0.06506602979957864,0.07248814571150099,0.15325277777777782,0.0,0.0
fixed,banking77_oos,euclidean,1,4,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.027290898631317125,0.02330713581952797,0.012755326223943668,0.04142043079500394,0.8888888888888888,0.0
fixed,banking77_oos,euclidean,1,4,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0894585769980507,0.02027578842217219,-0.10083101851851851,-0.07605923489278758,0.0,0.0
fixed,banking77_oos,euclidean,1,4,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.1535925925925926,0.06281832215675745,0.11313011695906434,0.19201219541910328,0.0,0.0
fixed,banking77_oos,euclidean,1,5,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.035453504444504985,0.024477326798711653,0.020582568270888123,0.0506807740004657,0.8888888888888888,0.0
fixed,banking77_oos,euclidean,1,5,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.10044736842105263,0.018330274969446708,-0.11034183723196885,-0.08733333333333336,0.0,0.0
fixed,banking77_oos,euclidean,1,5,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.17060233918128656,0.07631023059634456,0.12249102095516569,0.2173505116959064,0.0,0.0
fixed,banking77_oos,mahalanobis_diag,1,2,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0007177992598780517,0.016113800721743912,-0.01041033659716284,0.009653717380031917,0.5555555555555556,0.0
fixed,banking77_oos,mahalanobis_diag,1,2,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0286408382066277,0.023326389000563635,-0.04189083820662771,-0.012831664230019508,0.1111111111111111,0.0
fixed,banking77_oos,mahalanobis_diag,1,2,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.01057894736842104,0.024228934708809016,-0.0032059941520467977,0.02581042884990251,0.3333333333333333,0.0
fixed,banking77_oos,mahalanobis_diag,1,3,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.014094489413274378,0.014622267774155618,0.005861618203317037,0.023573080459574486,0.7777777777777778,0.0
