dataset,kir,data_seed,distance,method,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,threshold,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
clinc150,50,42,mahalanobis_diag,k1,near,0.4340781280666274,0.6877058361176551,2250,510,1.0,0.3638275499474238,0.6784313725490196,0.4736481861738535,0.7311111111111112,0.6784313725490196,0.7827564270152506,0.41089227478029194,0.6271111111111111
clinc150,50,42,mahalanobis_diag,k1,medium,0.4340781280666274,0.6877058361176551,2250,1879,1.0,0.7517439474764054,0.9749866950505588,0.8489341983317887,0.7311111111111112,0.9749866950505588,0.9133550943173083,0.8389878900659696,0.22311111111111112
clinc150,50,42,mahalanobis_diag,k1,far,0.4340781280666274,0.6877058361176551,2250,861,1.0,0.58731241473397,1.0,0.7400085947571982,0.7311111111111112,1.0,0.9514259904503807,0.8282264171132607,0.128
clinc150,50,42,mahalanobis_diag,k2,near,0.4340781280666274,0.6877058361176551,2250,510,1.0,0.35522664199814985,0.7529411764705882,0.48271527341294784,0.6902222222222222,0.7529411764705882,0.8017472766884531,0.4564343143554438,0.6155555555555555
clinc150,50,42,mahalanobis_diag,k2,medium,0.4340781280666274,0.6877058361176551,2250,1879,1.0,0.7259142744789618,0.9824374667376264,0.8349163274536409,0.6902222222222222,0.9824374667376264,0.9035957660694222,0.8315166024526802,0.23733333333333334
clinc150,50,42,mahalanobis_diag,k2,far,0.4340781280666274,0.6877058361176551,2250,861,1.0,0.5526315789473685,1.0,0.711864406779661,0.6902222222222222,1.0,0.9485445863982449,0.8335205411299291,0.14044444444444446
clinc150,50,42,mahalanobis_diag,selected_k,near,0.4340781280666274,0.6877058361176551,2250,510,1.0,0.40773809523809523,0.5372549019607843,0.46362098138747887,0.8231111111111111,0.5372549019607843,0.774721568627451,0.40410032121381717,0.6195555555555555
clinc150,50,42,mahalanobis_diag,selected_k,medium,0.4340781280666274,0.6877058361176551,2250,1879,1.0,0.8101145038167938,0.903672166045769,0.8543396226415094,0.8231111111111111,0.903672166045769,0.91404222103956,0.8395041671530725,0.22533333333333333
clinc150,50,42,mahalanobis_diag,selected_k,far,0.4340781280666274,0.6877058361176551,2250,861,1.0,0.6838760921366164,1.0,0.8122641509433962,0.8231111111111111,1.0,0.9535759452832624,0.8325351435299684,0.11688888888888889
clinc150,50,42,mahalanobis_diag,msp,near,0.4340781280666274,0.6877058361176551,2250,510,0.1836589557649123,0.5085803432137286,0.6392156862745098,0.5664639443961772,0.86,0.6392156862745098,0.8290169934640523,0.44169343506755215,0.5911111111111111
clinc150,50,42,mahalanobis_diag,msp,medium,0.4340781280666274,0.6877058361176551,2250,1879,0.1836589557649123,0.8497137404580153,0.9478445981905269,0.8961006289308177,0.86,0.9478445981905269,0.9577747028561292,0.9349698550201494,0.14266666666666666
clinc150,50,42,mahalanobis_diag,msp,far,0.4340781280666274,0.6877058361176551,2250,861,0.1836589557649123,0.7321428571428571,1.0,0.845360824742268,0.86,1.0,0.9913702413214608,0.9745876380130173,0.03688888888888889
clinc150,50,42,mahalanobis_diag,energy,near,0.4340781280666274,0.6877058361176551,2250,510,-7.391805167991871,0.4718543046357616,0.5588235294117647,0.5116696588868941,0.8582222222222222,0.5588235294117647,0.8124235294117647,0.39442099576907075,0.5773333333333334
clinc150,50,42,mahalanobis_diag,energy,medium,0.4340781280666274,0.6877058361176551,2250,1879,-7.391805167991871,0.8512126865671642,0.971261309207025,0.9072831220482227,0.8582222222222222,0.971261309207025,0.9667759446514104,0.9416892320676681,0.10844444444444444
clinc150,50,42,mahalanobis_diag,energy,far,0.4340781280666274,0.6877058361176551,2250,861,-7.391805167991871,0.7296610169491525,1.0,0.843704066634003,0.8582222222222222,1.0,0.9958234610917538,0.9870019669004428,0.015111111111111112
clinc150,50,42,mahalanobis_diag,entropy,near,0.4340781280666274,0.6877058361176551,2250,510,0.21343264300673687,0.515527950310559,0.6509803921568628,0.5753899480069324,0.8613333333333333,0.6509803921568628,0.8304575163398693,0.43640496981073806,0.584
clinc150,50,42,mahalanobis_diag,entropy,medium,0.4340781280666274,0.6877058361176551,2250,1879,0.21343264300673687,0.8526912181303116,0.961149547631719,0.9036777583187391,0.8613333333333333,0.961149547631719,0.9647181124711726,0.9428905218484496,0.12266666666666666
clinc150,50,42,mahalanobis_diag,entropy,far,0.4340781280666274,0.6877058361176551,2250,861,0.21343264300673687,0.7340153452685422,1.0,0.8466076696165191,0.8613333333333333,1.0,0.9949392179636082,0.9849433629475519,0.020444444444444446
clinc150,50,42,mahalanobis_diag,knn,near,0.4340781280666274,0.6877058361176551,2250,510,0.8779219320020962,0.20689655172413793,0.2,0.2033898305084746,0.8262222222222222,0.2,0.702475816993464,0.25335770464838736,0.5675555555555556
