dataset,cell_count,spearman_mean,spearman_std,selection_accuracy,regret_mean,regret_std,safe_vs_k1_rate,id_recall_delta_mean
banking77_oos,18,0.8666666666666666,0.19097274212644613,0.7222222222222222,0.0021237010281519217,0.005712788905932696,0.8888888888888888,-0.002356481481481481
clinc150,18,0.7055555555555555,0.2838231060987733,0.3888888888888889,0.0030766362997923236,0.004187999930833811,0.7777777777777778,0.0040376520003712986
stackoverflow,18,0.9277777777777776,0.09582800496695999,0.9444444444444444,0.000441908383499729,0.0018748584878150627,0.9444444444444444,0.0008225462116109367
