phase,dataset,kir,distance,k_gate,seed_count,intent_rows,fragmented_intent_rate,effective_k_mean,effective_k_std,wcss_per_sample_mean,wcss_per_sample_std,minimum_cluster_ratio_mean,minimum_cluster_ratio_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std
fixed,stackoverflow,25,mahalanobis_diag,1,3,15,0.0,1.0,0.0,0.8001370748582404,0.07669390489270873,1.0,0.0,,,,,,
fixed,stackoverflow,25,mahalanobis_diag,2,3,15,0.0,2.0,0.0,0.7649701909111764,0.0781906205181794,0.3831108871530589,0.07771078664756528,0.04988024554574064,0.02522818879623604,4.602920723728275,0.8190694262234679,27.893945408923322,9.58023117255228
fixed,stackoverflow,25,mahalanobis_diag,3,3,15,0.0,3.0,0.0,0.7446326399983267,0.077624062651636,0.22835693143967806,0.06114209663131098,0.032767103126052466,0.013027272943785499,4.5804736361991125,0.397220317372523,22.53002663233115,5.309694068335951
fixed,stackoverflow,25,mahalanobis_diag,4,3,15,0.0,4.0,0.0,0.7301501554989558,0.07697744390731201,0.1783278088279177,0.03375975852924613,0.030243941253040283,0.010619041402032488,4.384967885022902,0.3076050094086207,19.26326171182313,3.7525730451922947
fixed,stackoverflow,25,mahalanobis_diag,5,3,15,0.0,5.0,0.0,0.7184314534965479,0.07547088064676792,0.14064221925679427,0.02010707564003795,0.032528493457114935,0.011279350986760738,4.34284734766008,0.23236856187291213,17.07978852673521,2.8214189366087083
fixed,stackoverflow,50,euclidean,1,3,30,0.0,1.0,0.0,0.7629740924962007,0.09641911195730309,1.0,0.0,,,,,,
fixed,stackoverflow,50,euclidean,2,3,30,0.0,2.0,0.0,0.7296679080399022,0.09607279867165117,0.3777353730886793,0.09146505042144853,0.054579106992569106,0.028547592544455894,4.573663195823202,0.7709248051624006,27.717273614140144,8.785862905394714
fixed,stackoverflow,50,euclidean,3,3,30,0.03333333333333333,3.0,0.0,0.7096584758736911,0.09604460440863744,0.2046626059535619,0.06720119584229003,0.03338378350886127,0.011648412578278736,4.502381157187355,0.4410932635899445,22.805174603845625,5.301115478183831
fixed,stackoverflow,50,euclidean,4,3,30,0.23333333333333334,4.0,0.0,0.6944423457008505,0.09649814245264203,0.14885598380553738,0.048781682564400124,0.032945033543569736,0.01020640380015504,4.247646822326353,0.37171252054361725,19.97911786722695,4.079379028248846
fixed,stackoverflow,50,euclidean,5,3,30,0.26666666666666666,5.0,0.0,0.6828572643691793,0.0954612900522417,0.11984531664008329,0.0317858206046442,0.032985917170658116,0.009817087154830173,4.210718632449871,0.2895880978946016,17.757335966150663,3.1987221956774388
fixed,stackoverflow,50,mahalanobis_diag,1,3,30,0.0,1.0,0.0,0.7629740924962007,0.09641911195730309,1.0,0.0,,,,,,
fixed,stackoverflow,50,mahalanobis_diag,2,3,30,0.0,2.0,0.0,0.7296679080399022,0.09607279867165117,0.3777353730886793,0.09146505042144853,0.054579106992569106,0.028547592544455894,4.573663195823202,0.7709248051624006,27.717273614140144,8.785862905394714
fixed,stackoverflow,50,mahalanobis_diag,3,3,30,0.03333333333333333,3.0,0.0,0.7096584758736911,0.09604460440863744,0.2046626059535619,0.06720119584229003,0.03338378350886127,0.011648412578278736,4.502381157187355,0.4410932635899445,22.805174603845625,5.301115478183831
fixed,stackoverflow,50,mahalanobis_diag,4,3,30,0.23333333333333334,4.0,0.0,0.6944423457008505,0.09649814245264203,0.14885598380553738,0.048781682564400124,0.032945033543569736,0.01020640380015504,4.247646822326353,0.37171252054361725,19.97911786722695,4.079379028248846
fixed,stackoverflow,50,mahalanobis_diag,5,3,30,0.26666666666666666,5.0,0.0,0.6828572643691793,0.0954612900522417,0.11984531664008329,0.0317858206046442,0.032985917170658116,0.009817087154830173,4.210718632449871,0.2895880978946016,17.757335966150663,3.1987221956774388
fixed,stackoverflow,75,euclidean,1,3,45,0.0,1.0,0.0,0.7583812544852756,0.09635018236804033,1.0,0.0,,,,,,
fixed,stackoverflow,75,euclidean,2,3,45,0.0,2.0,0.0,0.7248895171355944,0.09704072438183642,0.3709158835889619,0.09861314327227085,0.0606155190044072,0.035370673716194664,4.519800245330278,0.7729621060547283,28.17166467448173,8.386700661029588
fixed,stackoverflow,75,euclidean,3,3,45,0.044444444444444446,3.0,0.0,0.7046672619565325,0.09708686317341629,0.20406278580242432,0.06460577546204338,0.03270770861024511,0.01049497377844468,4.4805496675383285,0.4468759575901491,23.208056676145013,5.277459502572099
fixed,stackoverflow,75,euclidean,4,3,45,0.24444444444444444,4.0,0.0,0.6895932030105208,0.09725673800732954,0.14621847738716434,0.0498407575023085,0.0325035566750969,0.010340813785512161,4.245211243768524,0.4044969437519397,20.23449976013579,4.101874980897084
fixed,stackoverflow,75,euclidean,5,3,45,0.35555555555555557,5.0,0.0,0.6779688495030901,0.09599664364101632,0.11113543609885339,0.03168680096366826,0.03226419508645743,0.008972836040517594,4.1793326699805835,0.30453833341478026,17.976714834040706,3.2489713287057502
fixed,stackoverflow,75,mahalanobis_diag,1,3,45,0.0,1.0,0.0,0.7583812544852756,0.09635018236804033,1.0,0.0,,,,,,
fixed,stackoverflow,75,mahalanobis_diag,2,3,45,0.0,2.0,0.0,0.7248895171355944,0.09704072438183642,0.3709158835889619,0.09861314327227085,0.0606155190044072,0.035370673716194664,4.519800245330278,0.7729621060547283,28.17166467448173,8.386700661029588
fixed,stackoverflow,75,mahalanobis_diag,3,3,45,0.044444444444444446,3.0,0.0,0.7046672619565325,0.09708686317341629,0.20406278580242432,0.06460577546204338,0.03270770861024511,0.01049497377844468,4.4805496675383285,0.4468759575901491,23.208056676145013,5.277459502572099
fixed,stackoverflow,75,mahalanobis_diag,4,3,45,0.24444444444444444,4.0,0.0,0.6895932030105208,0.09725673800732954,0.14621847738716434,0.0498407575023085,0.0325035566750969,0.010340813785512161,4.245211243768524,0.4044969437519397,20.23449976013579,4.101874980897084
fixed,stackoverflow,75,mahalanobis_diag,5,3,45,0.35555555555555557,5.0,0.0,0.6779688495030901,0.09599664364101632,0.11113543609885339,0.03168680096366826,0.03226419508645743,0.008972836040517594,4.1793326699805835,0.30453833341478026,17.976714834040706,3.2489713287057502
