dataset,kir,known_recovery_count_mean,known_recovery_count_std,extra_oos_accept_count_mean,extra_oos_accept_count_std,coverage_tradeoff_net_count_mean,positive_recovery_intent_ratio_mean,missing_selected_ball_ratio_mean,mean_ball_count
banking77,0.25,318.2,19.070920271449932,204.8,72.53068316236929,113.4,1.0,0.0,2.2842105263157895
banking77,0.5,741.8,30.34303874037667,228.6,46.48978382397578,513.2,1.0,0.0,2.5
banking77,0.75,1244.6,30.549959083442324,143.2,34.332200628564436,1101.4,1.0,0.017241379310344827,2.4379310344827587
clinc150,0.25,416.4,26.292584505902038,117.6,44.92549387597202,298.8,1.0,0.0,1.7578947368421054
clinc150,0.5,964.6,28.43061729896133,96.2,26.20496136230695,868.4,1.0,0.008,1.8026666666666666
clinc150,0.75,1543.0,19.59591794226544,74.6,10.23718711365578,1468.4,1.0,0.014285714285714285,1.8517857142857141
stackoverflow,0.25,775.2,76.24434405252629,131.0,87.75819050094412,644.2,1.0,0.0,7.4799999999999995
stackoverflow,0.5,1704.0,74.60898069267533,256.4,90.43671820671071,1447.6,1.0,0.04,6.9799999999999995
stackoverflow,0.75,2832.4,93.38522367055717,122.0,83.39364484179835,2710.4,1.0,0.10666666666666666,6.44
