dataset,kir,predictor,outcome,spearman_rho,n_intent_seed_rows
stackoverflow,0.5,ball_count,extra_oos_accept_rate,-0.02118003627147862,50
stackoverflow,0.5,mean_radius,known_recovery_rate,0.619602101083436,48
stackoverflow,0.5,mean_radius,extra_oos_accept_rate,0.5787111174543743,48
stackoverflow,0.5,min_ball_support,known_recovery_rate,-0.2336262493634042,50
stackoverflow,0.5,min_ball_support,extra_oos_accept_rate,-0.11147609310778211,50
stackoverflow,0.5,tiny_ball_ratio,known_recovery_rate,0.27693087133539707,50
stackoverflow,0.5,tiny_ball_ratio,extra_oos_accept_rate,0.2601759266990164,50
stackoverflow,0.5,dominant_ball_ratio,known_recovery_rate,-0.16152737752161386,50
stackoverflow,0.5,dominant_ball_ratio,extra_oos_accept_rate,-0.017370412014234865,50
stackoverflow,0.75,ball_count,known_recovery_rate,-0.38222441291526177,75
stackoverflow,0.75,ball_count,extra_oos_accept_rate,0.1364367766001128,75
stackoverflow,0.75,mean_radius,known_recovery_rate,0.4470456863152983,67
stackoverflow,0.75,mean_radius,extra_oos_accept_rate,0.2659834647983217,67
stackoverflow,0.75,min_ball_support,known_recovery_rate,-0.3919350890101175,75
stackoverflow,0.75,min_ball_support,extra_oos_accept_rate,0.11095959462892413,75
stackoverflow,0.75,tiny_ball_ratio,known_recovery_rate,0.22342191789992885,75
stackoverflow,0.75,tiny_ball_ratio,extra_oos_accept_rate,0.0262497408482971,75
stackoverflow,0.75,dominant_ball_ratio,known_recovery_rate,-0.30830886462956986,75
stackoverflow,0.75,dominant_ball_ratio,extra_oos_accept_rate,-0.09106910429012682,75
