dataset,kir,ball_count_group,intent_seed_rows,intent_count,known_recovery_rate_mean,known_recovery_count_mean,extra_oos_accept_rate_mean,extra_oos_accept_count_mean,coverage_tradeoff_net_count_mean,missing_selected_ball_ratio
banking77,0.25,1,26,19,0.3596153846153846,14.384615384615385,0.003199602122015877,7.423076923076923,6.961538461538462,0.0
banking77,0.25,2,36,30,0.4222222222222222,16.88888888888889,0.003939176245210698,9.13888888888889,7.75,0.0
banking77,0.25,3+,33,26,0.46136363636363636,18.454545454545453,0.006556948798328091,15.212121212121213,3.242424242424242,0.0
banking77,0.5,1,41,29,0.43109756097560975,17.24390243902439,0.003361475922451515,5.2439024390243905,12.0,0.0
banking77,0.5,2,57,41,0.4872807017543859,19.49122807017544,0.0035425101214574734,5.526315789473684,13.964912280701755,0.0
banking77,0.5,3+,92,52,0.5138586956521739,20.554347826086957,0.004271181716833863,6.663043478260869,13.891304347826088,0.0
banking77,0.75,0,5,4,0.8099999999999999,32.4,0.0007894736842105201,0.6,31.8,1.0
banking77,0.75,1,60,37,0.5120833333333333,20.483333333333334,0.0027631578947368285,2.1,18.383333333333333,0.0
banking77,0.75,2,92,59,0.5513586956521739,22.054347826086957,0.0030749427917619978,2.3369565217391304,19.717391304347824,0.0
banking77,0.75,3+,133,62,0.5268796992481203,21.075187969924812,0.003680253264740787,2.7969924812030076,18.278195488721803,0.0
clinc150,0.25,1,94,69,0.3503546099290781,10.51063829787234,0.0005459126539753596,2.4893617021276597,8.02127659574468,0.0
clinc150,0.25,2,59,48,0.3824858757062147,11.474576271186441,0.0007731192387748847,3.5254237288135593,7.9491525423728815,0.0
clinc150,0.25,3+,37,28,0.37567567567567567,11.27027027027027,0.0008653390232337352,3.945945945945946,7.324324324324325,0.0
clinc150,0.5,0,3,2,0.7333333333333334,22.0,0.0001932367149758,0.6666666666666666,21.333333333333332,1.0
clinc150,0.5,1,156,95,0.39551282051282055,11.865384615384615,0.0003047194351542109,1.0512820512820513,10.814102564102564,0.0
clinc150,0.5,2,141,90,0.4522458628841608,13.567375886524824,0.0004543118511666064,1.5673758865248226,12.0,0.0
clinc150,0.5,3+,75,56,0.44133333333333336,13.24,0.0003632850241545747,1.2533333333333334,11.986666666666666,0.0
clinc150,0.75,0,8,7,0.725,21.75,0.00037393162393161247,0.875,20.875,1.0
clinc150,0.75,1,224,113,0.44508928571428574,13.352678571428571,0.0002079517704517643,0.48660714285714285,12.866071428571429,0.0
clinc150,0.75,2,203,119,0.4737274220032841,14.211822660098521,0.00032419687592100783,0.7586206896551724,13.45320197044335,0.0
clinc150,0.75,3+,125,80,0.444,13.32,0.0003521367521367432,0.824,12.496,0.0
stackoverflow,0.25,1,2,2,0.3716666666666667,111.5,0.0001111111111111,0.5,111.0,0.0
stackoverflow,0.25,3+,23,13,0.5294202898550725,158.82608695652175,0.006318840579710126,28.434782608695652,130.3913043478261,0.0
stackoverflow,0.5,0,2,2,0.8299999999999998,249.0,0.00349999999999995,10.5,238.5,1.0
stackoverflow,0.5,1,3,3,0.7188888888888889,215.66666666666666,0.01333333333333333,40.0,175.66666666666666,0.0
stackoverflow,0.5,2,3,3,0.6844444444444445,205.33333333333334,0.009777777777777732,29.333333333333332,176.0,0.0
stackoverflow,0.5,3+,42,16,0.5364285714285715,160.92857142857142,0.008357142857142853,25.071428571428573,135.85714285714286,0.0
stackoverflow,0.75,0,8,4,0.8491666666666667,254.75,0.0040833333333333,6.125,248.625,1.0
stackoverflow,0.75,1,2,2,0.8483333333333334,254.5,0.0,0.0,254.5,0.0
stackoverflow,0.75,2,9,5,0.6203703703703705,186.11111111111111,0.006814814814814811,10.222222222222221,175.88888888888889,0.0
stackoverflow,0.75,3+,56,18,0.5916666666666667,177.5,0.005583333333333323,8.375,169.125,0.0
