dataset,kir,seed,intent,trainable_known_count,trainable_known_false_reject,trainable_known_false_reject_rate,trainable_oos_false_accept,trainable_oos_false_accept_rate,mogb_known_count,mogb_known_false_reject,mogb_known_false_reject_rate,mogb_oos_false_accept,mogb_oos_false_accept_rate,known_count,known_recovery_count,known_recovery_rate,extra_oos_accept_count,extra_oos_accept_rate,coverage_tradeoff_net_count,ball_count,train_support_total,mean_ball_support,min_ball_support,max_ball_support,mean_radius,max_radius,max_depth,tiny_ball_ratio,dominant_ball_ratio,missing_selected_ball,ball_count_group
banking77,0.25,13,atm_support,40,6,0.15,1,0.0004310344827586,40,24,0.6,0,0.0,40,18,0.44999999999999996,1,0.0004310344827586,17,1.0,37.0,37.0,37.0,37.0,0.483379602445835,0.483379602445835,2.0,0.0,1.0,False,1
banking77,0.25,13,card_linking,40,6,0.15,20,0.0086206896551724,40,24,0.6,0,0.0,40,18,0.44999999999999996,20,0.0086206896551724,-2,3.0,107.0,35.666666666666664,25.0,46.0,0.47047001568967267,0.563156300813254,3.0,0.0,0.42990654205607476,False,3+
banking77,0.25,13,compromised_card,40,15,0.375,21,0.009051724137931,40,38,0.95,0,0.0,40,23,0.575,21,0.009051724137931,2,2.0,36.0,18.0,17.0,19.0,0.5181682529805873,0.600352730560595,5.0,1.0,0.5277777777777778,False,2
banking77,0.25,13,declined_cash_withdrawal,40,4,0.1,11,0.0047413793103448,40,32,0.8,0,0.0,40,28,0.7000000000000001,11,0.0047413793103448,17,4.0,54.0,13.5,12.0,16.0,0.41222317704004147,0.5172528441056901,7.0,1.0,0.2962962962962963,False,3+
banking77,0.25,13,direct_debit_payment_not_recognised,40,12,0.3,19,0.0081896551724137,40,24,0.6,0,0.0,40,12,0.3,19,0.0081896551724137,-7,2.0,108.0,54.0,16.0,92.0,0.5172857060159887,0.5830838084558936,3.0,0.5,0.8518518518518519,False,2
banking77,0.25,13,exchange_rate,40,4,0.1,4,0.0017241379310344,40,18,0.45,2,0.0008620689655172,40,14,0.35,2,0.0008620689655172,12,1.0,89.0,89.0,89.0,89.0,0.501229422762306,0.501229422762306,2.0,0.0,1.0,False,1
banking77,0.25,13,failed_transfer,40,7,0.175,26,0.0112068965517241,40,20,0.5,3,0.0012931034482758,40,13,0.325,23,0.0099137931034483,-10,3.0,93.0,31.0,23.0,41.0,0.5198250113619358,0.5778982323880101,5.0,0.0,0.44086021505376344,False,3+
banking77,0.25,13,getting_virtual_card,40,6,0.15,1,0.0004310344827586,40,18,0.45,0,0.0,40,12,0.30000000000000004,1,0.0004310344827586,11,1.0,88.0,88.0,88.0,88.0,0.4976287694068398,0.4976287694068398,2.0,0.0,1.0,False,1
banking77,0.25,13,pending_cash_withdrawal,40,9,0.225,1,0.0004310344827586,40,31,0.775,0,0.0,40,22,0.55,1,0.0004310344827586,21,2.0,73.0,36.5,18.0,55.0,0.44086377976621305,0.498420753827809,5.0,0.5,0.7534246575342466,False,2
banking77,0.25,13,pending_transfer,40,4,0.1,14,0.0060344827586206,40,27,0.675,1,0.0004310344827586,40,23,0.5750000000000001,13,0.005603448275862,10,4.0,79.0,19.75,11.0,28.0,0.40267173783675414,0.4555150286490628,5.0,0.5,0.35443037974683544,False,3+
banking77,0.25,13,receiving_money,40,7,0.175,8,0.0034482758620689,40,32,0.8,0,0.0,40,25,0.625,8,0.0034482758620689,17,2.0,40.0,20.0,13.0,27.0,0.522820132403655,0.5287664602047975,2.0,0.5,0.675,False,2
banking77,0.25,13,top_up_by_bank_transfer_charge,40,8,0.2,16,0.0068965517241379,40,19,0.475,3,0.0012931034482758,40,11,0.27499999999999997,13,0.005603448275862099,-2,4.0,71.0,17.75,10.0,29.0,0.5187234730467944,0.6339038960067047,5.0,0.5,0.4084507042253521,False,3+
banking77,0.25,13,top_up_by_card_charge,40,3,0.075,6,0.0025862068965517,40,29,0.725,0,0.0,40,26,0.65,6,0.0025862068965517,20,3.0,58.0,19.333333333333332,13.0,25.0,0.4687395967257219,0.5558637820513715,4.0,0.3333333333333333,0.43103448275862066,False,3+
banking77,0.25,13,top_up_failed,40,5,0.125,33,0.0142241379310344,40,19,0.475,9,0.0038793103448275,40,14,0.35,24,0.0103448275862069,-10,3.0,89.0,29.666666666666668,10.0,65.0,0.5008746801108264,0.5863720058052888,4.0,0.6666666666666666,0.7303370786516854,False,3+
banking77,0.25,13,transfer_into_account,40,10,0.25,5,0.0021551724137931,40,29,0.725,0,0.0,40,19,0.475,5,0.0021551724137931,14,2.0,63.0,31.5,29.0,34.0,0.5000900084647149,0.5635945889491848,4.0,0.0,0.5396825396825397,False,2
banking77,0.25,13,transfer_timing,40,8,0.2,10,0.0043103448275862,40,24,0.6,1,0.0004310344827586,40,16,0.39999999999999997,9,0.0038793103448276,7,3.0,63.0,21.0,12.0,35.0,0.4908489411788189,0.5631810153125596,5.0,0.6666666666666666,0.5555555555555556,False,3+
banking77,0.25,13,unable_to_verify_identity,40,9,0.225,38,0.0163793103448275,40,18,0.45,27,0.0116379310344827,40,9,0.225,11,0.004741379310344801,-2,1.0,81.0,81.0,81.0,81.0,0.5994719092399955,0.5994719092399955,2.0,0.0,1.0,False,1
banking77,0.25,13,verify_top_up,40,2,0.05,0,0.0,40,17,0.425,0,0.0,40,15,0.375,0,0.0,15,2.0,105.0,52.5,22.0,83.0,0.4793413647711967,0.5438371994703304,3.0,0.0,0.7904761904761904,False,2
banking77,0.25,13,wrong_amount_of_cash_received,40,6,0.15,17,0.0073275862068965,40,30,0.75,0,0.0,40,24,0.6,17,0.0073275862068965,7,4.0,78.0,19.5,10.0,43.0,0.5354811140510587,0.65152111306856,4.0,0.75,0.5512820512820513,False,3+
banking77,0.25,42,Refund_not_showing_up,40,6,0.15,6,0.0025862068965517,40,19,0.475,0,0.0,40,13,0.32499999999999996,6,0.0025862068965517,7,1.0,116.0,116.0,116.0,116.0,0.5561476041723112,0.5561476041723112,3.0,0.0,1.0,False,1
