dataset,kir,intent,observed_seeds,known_count_mean,known_recovery_rate_mean,known_recovery_rate_std,known_recovery_count_mean,extra_oos_accept_count_mean,extra_oos_accept_rate_mean,mean_ball_count,mean_radius,min_ball_support_mean,missing_selected_ball_ratio,positive_seed_ratio
banking77,0.25,pending_cash_withdrawal,3,40.0,0.4833333333333334,0.05773502691896256,19.333333333333332,5.666666666666667,0.002442528735632133,1.3333333333333333,0.4954455754053364,66.33333333333333,0.0,1.0
banking77,0.25,pending_transfer,3,40.0,0.6000000000000001,0.09013878188659974,24.0,17.333333333333332,0.0074712643678160676,3.0,0.41847656182010945,16.666666666666668,0.0,1.0
banking77,0.25,pin_blocked,1,40.0,0.25,,10.0,3.0,0.0012931034482758,1.0,0.5890089196907975,101.0,0.0,1.0
banking77,0.25,receiving_money,2,40.0,0.6375,0.017677669529663743,25.5,12.5,0.0053879310344827,2.5,0.5347901123808152,12.0,0.0,1.0
banking77,0.25,reverted_card_payment?,2,40.0,0.42499999999999993,5.551115123125783e-17,17.0,20.5,0.008836206896551749,4.0,0.4967211621794896,12.0,0.0,1.0
banking77,0.25,terminate_account,2,40.0,0.36250000000000004,0.017677669529663646,14.5,0.0,0.0,1.0,0.5972087914882215,97.0,0.0,1.0
banking77,0.25,top_up_by_bank_transfer_charge,1,40.0,0.27499999999999997,,11.0,13.0,0.005603448275862099,4.0,0.5187234730467944,10.0,0.0,1.0
banking77,0.25,top_up_by_card_charge,1,40.0,0.65,,26.0,6.0,0.0025862068965517,3.0,0.4687395967257219,13.0,0.0,1.0
banking77,0.25,top_up_by_cash_or_cheque,1,40.0,0.27499999999999997,,11.0,5.0,0.0021551724137931,2.0,0.5414678905803891,15.0,0.0,1.0
banking77,0.25,top_up_failed,1,40.0,0.35,,14.0,24.0,0.0103448275862069,3.0,0.5008746801108264,10.0,0.0,1.0
banking77,0.25,top_up_limits,1,40.0,0.35,,14.0,4.0,0.0017241379310344,2.0,0.4668355864972723,12.0,0.0,1.0
banking77,0.25,top_up_reverted,2,40.0,0.47500000000000003,0.10606601717798214,19.0,49.0,0.0211206896551724,2.5,0.5337059275980751,20.0,0.0,1.0
banking77,0.25,transaction_charged_twice,2,40.0,0.5375000000000001,0.017677669529663743,21.5,0.0,0.0,3.5,0.5197522801686815,19.0,0.0,1.0
banking77,0.25,transfer_fee_charged,3,40.0,0.4583333333333333,0.03818813079129865,18.333333333333332,9.0,0.0038793103448275332,2.0,0.528820285487808,78.0,0.0,1.0
banking77,0.25,transfer_into_account,2,40.0,0.36250000000000004,0.15909902576697316,14.5,3.5,0.0015086206896551498,2.0,0.5312917135127551,22.5,0.0,1.0
banking77,0.25,transfer_not_received_by_recipient,1,40.0,0.39999999999999997,,16.0,52.0,0.022413793103448203,3.0,0.5964826135898006,10.0,0.0,1.0
banking77,0.25,transfer_timing,1,40.0,0.39999999999999997,,16.0,9.0,0.0038793103448276,3.0,0.4908489411788189,12.0,0.0,1.0
banking77,0.25,unable_to_verify_identity,3,40.0,0.3083333333333333,0.14433756729740643,12.333333333333334,12.666666666666666,0.0054597701149425,1.3333333333333333,0.5415058088420391,60.666666666666664,0.0,1.0
banking77,0.25,verify_my_identity,1,40.0,0.19999999999999998,,8.0,26.0,0.0112068965517241,1.0,0.5211362536547929,93.0,0.0,1.0
banking77,0.25,verify_source_of_funds,2,40.0,0.42500000000000004,0.03535533905932735,17.0,0.0,0.0,2.0,0.5198392221299764,11.0,0.0,1.0
banking77,0.25,verify_top_up,2,40.0,0.3875,0.017677669529663705,15.5,0.0,0.0,2.0,0.4730282916785515,27.5,0.0,1.0
banking77,0.25,why_verify_identity,2,40.0,0.46249999999999997,0.12374368670764577,18.5,27.5,0.011853448275861999,2.5,0.5405027671041174,50.0,0.0,1.0
banking77,0.25,wrong_amount_of_cash_received,2,40.0,0.5249999999999999,0.1060660171779821,21.0,40.5,0.0174568965517241,4.5,0.5337903235775234,10.5,0.0,1.0
banking77,0.25,wrong_exchange_rate_for_cash_withdrawal,2,40.0,0.41250000000000003,0.017677669529663705,16.5,15.5,0.006681034482758551,1.5,0.5091312333492748,61.5,0.0,1.0
banking77,0.5,Refund_not_showing_up,4,40.0,0.3375,0.0478713553878169,13.5,7.25,0.0046474358974359,1.75,0.5526146853834446,44.75,0.0,1.0
banking77,0.5,activate_my_card,2,40.0,0.325,0.10606601717798214,13.0,0.0,0.0,3.0,0.40200966651835823,16.5,0.0,1.0
banking77,0.5,age_limit,1,40.0,0.25,,10.0,0.0,0.0,2.0,0.5619868468621336,28.0,0.0,1.0
banking77,0.5,apple_pay_or_google_pay,2,40.0,0.4625,0.2298097038856279,18.5,0.0,0.0,2.0,0.5354086092782206,54.5,0.0,1.0
banking77,0.5,atm_support,4,40.0,0.3875,0.05204164998665329,15.5,0.0,0.0,2.0,0.47030618682467723,23.25,0.0,1.0
banking77,0.5,automatic_top_up,3,40.0,0.5,0.0661437827766148,20.0,0.3333333333333333,0.00021367521367520001,2.3333333333333335,0.4911370561656116,18.666666666666668,0.0,1.0
banking77,0.5,balance_not_updated_after_bank_transfer,2,40.0,0.825,0.03535533905932729,33.0,27.5,0.0176282051282051,3.5,0.45832805983170216,12.0,0.0,1.0
banking77,0.5,balance_not_updated_after_cheque_or_cash_deposit,2,40.0,0.5874999999999999,0.017677669529663664,23.5,0.0,0.0,2.5,0.5231844494467497,10.5,0.0,1.0
banking77,0.5,beneficiary_not_allowed,2,40.0,0.4,0.24748737341529164,16.0,18.5,0.01185897435897435,3.0,0.4769086698467615,13.5,0.0,1.0
banking77,0.5,cancel_transfer,3,40.0,0.3666666666666667,0.028867513459481256,14.666666666666666,0.3333333333333333,0.00021367521367520001,3.0,0.5180566522864912,38.0,0.0,1.0
banking77,0.5,card_about_to_expire,2,40.0,0.4625,0.017677669529663684,18.5,0.0,0.0,3.0,0.42280351326128374,12.5,0.0,1.0
banking77,0.5,card_acceptance,1,40.0,0.525,,21.0,7.0,0.0044871794871794,1.0,0.498316937809969,18.0,0.0,1.0
banking77,0.5,card_arrival,3,40.0,0.625,0.10897247358851687,25.0,5.0,0.0032051282051281335,3.3333333333333335,0.4764868806225806,15.333333333333334,0.0,1.0
banking77,0.5,card_delivery_estimate,4,40.0,0.58125,0.10680004681646912,23.25,7.25,0.004647435897435875,2.0,0.4873080325533386,24.0,0.0,1.0
banking77,0.5,card_linking,2,40.0,0.4125,0.05303300858899109,16.5,3.0,0.00192307692307685,3.5,0.4287088088328429,16.5,0.0,1.0
banking77,0.5,card_not_working,1,40.0,0.5,,20.0,6.0,0.0038461538461538,3.0,0.43406177002275387,11.0,0.0,1.0
