dataset,radius_lambda,n_seeds,mean_oos_f1,std_oos_f1,mean_oos_precision,std_oos_precision,mean_oos_recall,std_oos_recall,mean_f1_all,std_f1_all,mean_f1_k,std_f1_k,mean_f1_u,std_f1_u,mean_accuracy,std_accuracy,mean_known_macro_f1,std_known_macro_f1,mean_known_recall,std_known_recall,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate,mean_auroc,std_auroc,mean_aupr_oos,std_aupr_oos
banking77,0.0,3,-0.00019527201120931684,0.0008929037988749376,-0.003579902823466911,0.002485008460993881,0.006623931623931527,0.0070609878811360065,-0.009170907518734209,0.003719134213555132,-0.009407108453142706,0.003840501538759421,-0.00019527201120931684,0.0008929037988749376,-0.0023809523809523725,0.000495949750536295,-0.011536486622145792,0.005075907031977228,-0.01096491228070177,0.008760958050630839,-0.0066239316239316325,0.007060987881136078,0.010964912280701808,0.008760958050630815,-0.00940789473684204,0.004889570550155328,-0.014304107593712923,0.007201859774503173
banking77,0.25,3,-0.0013330448077609376,0.0010680378532688423,-0.004763134284394344,0.003701713613208549,0.0044871794871795085,0.009088106973562883,-0.011622591122165423,0.004075971432152993,-0.011893368656754943,0.004210660578476738,-0.0013330448077609376,0.0010680378532688423,-0.0045454545454545565,0.000859010165930015,-0.013316130045021931,0.0062881477994272275,-0.01074561403508767,0.010574178466001071,-0.004487179487179471,0.009088106973562713,0.010745614035087725,0.010574178466001062,-0.006620838956365264,0.003138068146124737,-0.01081917113435904,0.0058558680006230825
banking77,0.5,3,0.000594799445928329,0.00313276587114078,-0.0050928721357706985,0.000962688565476365,0.00854700854700848,0.008116846116761807,-0.005639106019198111,0.0023328220615338887,-0.005803156163017261,0.00231183104744414,0.000594799445928329,0.00313276587114078,-0.001406926406926412,0.00272288866350844,-0.008817183641258794,0.003462192126200191,-0.011184210526315796,0.00400181745414351,-0.00854700854700854,0.008116846116761785,0.01118421052631576,0.004001817454143588,-0.004231190958164636,0.0017570502018801587,-0.008003833356772424,0.005206603115274863
banking77,0.75,3,0.006274526587742042,0.00775173724252487,-0.0006755158693106204,0.0024252377847850596,0.013888888888888876,0.014900686642402697,-0.0009205925202703987,0.007288043299360042,-0.0011099377599549747,0.007275867323694348,0.006274526587742042,0.00775173724252487,0.0035714285714285587,0.007792207792207795,-0.005690444900613656,0.00464150608650041,-0.004824561403508805,0.004620900768795102,-0.013888888888888867,0.014900686642402627,0.004824561403508805,0.004620900768795078,-0.0023085357624830585,0.0007844334747290582,-0.005972631136481943,0.004591715325009531
banking77,1.0,3,0.0018507863309643602,0.0011011938482856092,-0.015836016027030442,0.0038657446064613186,0.017307692307692284,0.0038992067501912166,-0.008038773186179219,0.005066874666018626,-0.008299024752419837,0.0051712544848089214,0.0018507863309643602,0.0011011938482856092,-0.0023809523809524094,0.0035615763359100544,-0.014479562697007156,0.0071415498447358824,-0.022368421052631593,0.004558028440970744,-0.017307692307692312,0.003899206750191196,0.022368421052631576,0.004558028440970712,-0.0006275303643725009,0.0004281555059054089,-0.004512268321503976,0.00390911018014609
banking77,1.25,3,0.008938574109725095,0.006870842053227679,-0.017108869008113703,0.00482594879194643,0.025854700854700874,0.010578541704689444,-0.0033654181704071786,0.003187481078163511,-0.0036892074409369626,0.0032163662589759306,0.008938574109725095,0.006870842053227679,0.0020562770562770525,0.0019837990021454102,-0.013618117194801363,0.007278074039680079,-0.021710526315789475,0.003418521330728042,-0.025854700854700874,0.01057854170468936,0.021710526315789458,0.003418521330728046,0.0008731162843004237,0.0010384412066082925,-0.0033613429481842796,0.003676997166238685
banking77,1.5,3,0.02594676318780346,0.02958783682563216,-0.013133494080829866,0.007341355278961263,0.0423076923076923,0.0403998750168942,0.002625942909773693,0.011687007668119068,0.0020122371129833727,0.011250797205341972,0.02594676318780346,0.02958783682563216,0.010606060606060619,0.017224120326477375,-0.013998368805847225,0.005778579837592662,-0.017324561403508836,0.00396560116667219,-0.0423076923076923,0.04039987501689415,0.017324561403508767,0.0039656011666721995,0.0021252249212776095,0.00166402030362386,-0.002533546090283075,0.0036887528809080223
banking77,2.0,3,0.04395387778526216,0.04442915139716572,-0.0018577397874615837,0.010453025417360453,0.0465811965811966,0.04937284742323516,0.009191673548787064,0.014378228385198965,0.00827687870045879,0.01364302039565907,0.04395387778526216,0.04442915139716572,0.016233766233766194,0.01941819033026709,-0.010946957549971659,0.006006029741927197,-0.007017543859649145,0.011439299434864028,-0.04658119658119656,0.04937284742323526,0.007017543859649133,0.011439299434864075,0.004336763382816004,0.002479053472658088,-0.0012333262119895716,0.0038260772363187664
clinc150,0.0,3,-0.011867502647527672,0.003826198396327847,-0.019049257824999482,0.003984664082167938,0.002512077294686055,0.003946005382929808,-0.05399347960591442,0.007525385753764613,-0.05455515929869298,0.00757560126291274,-0.011867502647527672,0.003826198396327847,-0.020116959064327495,0.005278729401823059,-0.05688998330683326,0.006792146156672751,-0.05733333333333331,0.008572134009771547,-0.002512077294685933,0.0039460053829298986,0.05733333333333331,0.008572134009771538,0.00044057971014492087,0.009379610610196,0.004309213255801025,0.008940050070159125
clinc150,0.25,3,-0.009943862112650673,0.0019776367395807574,-0.019131859256682038,0.0011711987946212707,0.006280193236714915,0.004861737439771552,-0.04733342838955845,0.006628033768426703,-0.04783195593991729,0.006731022587954077,-0.009943862112650673,0.0019776367395807574,-0.017017543859649154,0.001977092573611365,-0.051742962751982945,0.008461179581456556,-0.05451851851851854,0.004032787433723271,-0.006280193236714966,0.004861737439771569,0.05451851851851854,0.004032787433723271,0.0011403113258184883,0.008692427573003184,0.004621913550423444,0.00867288362967213
clinc150,0.5,3,-0.008837980142855936,0.0017246508117335843,-0.02073371959777563,0.0011881712389640346,0.009951690821255984,0.004193726456852253,-0.040476457939531474,0.00824056133403214,-0.040898304310153843,0.008368551724966007,-0.008837980142855936,0.0017246508117335843,-0.015087719298245594,0.0010671513211049323,-0.046714753520010234,0.010270639960316607,-0.05525925925925923,0.0037007395546064356,-0.009951690821256066,0.00419372645685231,0.05525925925925925,0.0037007395546064577,0.0016127106816960317,0.007960557200471247,0.004635011827021011,0.008542025173914523
clinc150,0.75,3,-0.009089320629319886,0.003711752628962022,-0.024008515434048954,0.0019781666676343796,0.011980676328502379,0.006515832000033657,-0.031768026178020915,0.0057485017698815834,-0.032070408918670266,0.005849419065114775,-0.009089320629319886,0.003711752628962022,-0.013567251461988264,0.002538308118621174,-0.03889583148025307,0.008867554684566585,-0.05792592592592586,0.0020041110012546217,-0.011980676328502401,0.00651583200003377,0.057925925925925936,0.00200411100125462,0.0019196564680622845,0.007123935007849646,0.004562725928517586,0.008424372674653534
