dataset,k_label,radius_lambda,n_seeds,mean_oos_f1,std_oos_f1,mean_oos_precision,std_oos_precision,mean_oos_recall,std_oos_recall,mean_f1_all,std_f1_all,mean_f1_k,std_f1_k,mean_f1_u,std_f1_u,mean_accuracy,std_accuracy,mean_known_macro_f1,std_known_macro_f1,mean_known_recall,std_known_recall,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate,mean_auroc,std_auroc,mean_aupr_oos,std_aupr_oos
banking77,k_1,0.0,3,0.7963541489818674,0.006811310991661552,0.6800646660367096,0.0028310156425700147,0.9606837606837608,0.01538906630771859,0.6633250441295176,0.002420440798739076,0.6598242782123506,0.0023250126658674168,0.7963541489818674,0.006811310991661552,0.7436147186147185,0.005892059562258055,0.6751732533703286,0.004671043362479001,0.5361842105263158,0.005138322155201738,0.03931623931623927,0.015389066307718703,0.4638157894736841,0.00513832215520177,0.8692393443544759,0.0073146366108948375,0.8402804493204042,0.003730238086086293
banking77,k_1,0.25,3,0.8121052773848483,0.008913626993694834,0.7189396539418255,0.0027595937064812458,0.9331196581196582,0.019404486039500228,0.7203427981047964,0.006410714102616991,0.7179279960184792,0.006417956406454735,0.8121052773848483,0.008913626993694834,0.772077922077922,0.007635049361236938,0.7442761357884732,0.004624642530175797,0.6256578947368421,0.004108551314735841,0.06688034188034184,0.019404486039500148,0.37434210526315786,0.004108551314735788,0.8725548245614035,0.007723605971436095,0.8451935617027363,0.003387126911461417
banking77,k_1,0.5,3,0.8192940001530281,0.014007860072004396,0.7559331316826045,0.004381652992305437,0.8944444444444444,0.027176261701854058,0.7538709821128573,0.009276975527397938,0.7521493237433793,0.00916130188218481,0.8192940001530281,0.014007860072004396,0.7872294372294372,0.012236139603054962,0.7930691523225244,0.0022711010399238322,0.7037280701754386,0.0020099016205946366,0.10555555555555551,0.027176261701854127,0.2962719298245614,0.0020099016205947034,0.8747433085919928,0.008234218165282204,0.8485269046410799,0.003534951713385165
banking77,k_1,0.75,3,0.8128817729103007,0.020564364845986817,0.7905504548329948,0.004674628678515402,0.836965811965812,0.03811992161957148,0.7728210258870275,0.014219300893242338,0.7717667957022045,0.014060494133649749,0.8128817729103007,0.020564364845986817,0.7884199134199134,0.018223321523509004,0.8317470661130422,0.0007849682892205282,0.7725877192982457,0.004019803241189346,0.163034188034188,0.038119921619571395,0.22741228070175434,0.004019803241189349,0.8762082489878543,0.008637775008475339,0.8510022722120487,0.003932799984354132
banking77,k_1,1.0,3,0.7958478878437001,0.020356372262735487,0.8295783441539535,0.0013543644762228177,0.7653846153846153,0.03799395259676271,0.7824056717654355,0.012900949974914694,0.7820519292370601,0.012709584694934242,0.7958478878437001,0.020356372262735487,0.7803030303030303,0.017076605219750924,0.8641545535583498,0.0026939102606258524,0.8385964912280701,0.008956393796781644,0.23461538461538456,0.037993952596762685,0.1614035087719298,0.008956393796781615,0.877094017094017,0.009034216568630926,0.8527567420486092,0.004634717112064463
banking77,k_1,1.25,3,0.7493792708115353,0.023373570906804017,0.8506128358615129,0.002038133596600365,0.6702991452991452,0.03707064823780968,0.7726854927240939,0.013412059261474119,0.7732988143533718,0.013150275162796573,0.7493792708115353,0.023373570906804017,0.7487012987012988,0.01721697867995176,0.8813506437896167,0.0038567491251029766,0.8791666666666668,0.007246803351692212,0.3297008547008547,0.0370706482378097,0.1208333333333333,0.007246803351692215,0.8774419421952317,0.009294388693330626,0.8538833765561226,0.005286213776263335
banking77,k_1,1.5,3,0.6760622501457704,0.021811181591230997,0.8660678456789356,0.002990137384278001,0.5549145299145299,0.030232588768162216,0.7554166287689671,0.011132908204905109,0.7575049018906302,0.010870031761167482,0.6760622501457704,0.021811181591230997,0.7021645021645022,0.012663725087714349,0.8918017103470833,0.003878379971476439,0.9118421052631579,0.006962503450169976,0.44508547008547006,0.030232588768162195,0.08815789473684206,0.006962503450169979,0.8775126518218622,0.009592630924291372,0.8546055012930315,0.006010588740723443
banking77,k_1,2.0,3,0.5231170068154198,0.023477831132727108,0.8890996343545527,0.004511783745704393,0.3709401709401709,0.024403917154306353,0.7295799731994213,0.01444237841986137,0.7350132091568952,0.01426104832976678,0.5231170068154198,0.023477831132727108,0.621969696969697,0.009785249632048203,0.9010657495567199,0.003570947704697289,0.9524122807017544,0.005317699847799206,0.629059829059829,0.02440391715430641,0.04758771929824557,0.005317699847799194,0.8768719073324337,0.009996585690488774,0.8552308669891439,0.007324577204926369
banking77,k_2,0.0,3,0.796158876970658,0.006363342464323157,0.6764847632132427,0.005198489084060547,0.9673076923076923,0.010591481821703951,0.6541541366107836,0.005927705433136337,0.6504171697592079,0.005981982359771301,0.796158876970658,0.006363342464323157,0.7412337662337661,0.00592476869834244,0.6636367667481827,0.006621617097034351,0.5252192982456141,0.009450202380006715,0.03269230769230763,0.010591481821704014,0.47478070175438597,0.009450202380006694,0.8598314496176339,0.008253571102034913,0.8259763417266913,0.005278394164673303
banking77,k_2,0.25,3,0.8107722325770873,0.008257585682274821,0.7141765196574311,0.005659183008267445,0.9376068376068377,0.01298505521729777,0.7087202069826309,0.006462693262845943,0.7060346273617242,0.0064158120302706765,0.8107722325770873,0.008257585682274821,0.7675324675324675,0.008322081570114473,0.7309600057434512,0.0018319743807617749,0.6149122807017545,0.006490635345152932,0.062393162393162366,0.012985055217297863,0.3850877192982456,0.006490635345152977,0.8659339856050382,0.0084741917560395,0.8343743905683773,0.0060735159104484925
