dataset,kir,representation,n_centers_or_unique_radii,radius_mean,radius_std,radius_cv,radius_min,radius_max,assigned_radius_mean,assigned_radius_std,assigned_radius_cv,n_centers_or_unique_radii_std,radius_mean_std,radius_std_std,radius_cv_std,radius_min_std,radius_max_std,assigned_radius_mean_std,assigned_radius_std_std,assigned_radius_cv_std
banking77,0.25,frozen,19.0,22.58090662001323,0.6022291284735948,0.02671674217781918,21.639720469049053,23.940412336483657,22.58090662001323,0.6022291284735948,0.02671674217781918,0.0,0.2509781896901896,0.116640112715784,0.005401533407680228,0.372957463603338,0.20634822163180333,0.2509781896901896,0.116640112715784,0.005401533407680228
banking77,0.25,trainable,19.0,23.045040782399173,0.6303381033975948,0.027362572403383172,21.871670834793818,24.195647729023143,22.73395546950666,0.6314242026411574,0.027814033259100895,0.0,0.28067779159074946,0.07689751439328468,0.0034009448978336476,0.4205349797029483,0.3953741305577604,0.3825079871253687,0.06569469681953355,0.0032759587536393105
banking77,0.5,frozen,38.0,22.566913222543423,0.6718710003932443,0.029772167774648906,21.461753574187874,24.133975256557527,22.566913222543423,0.6718710003932443,0.029772167774648906,0.0,0.10075436871824504,0.05415615811523456,0.002394789703108976,0.2382050827932546,0.14639713881767782,0.10075436871824504,0.05415615811523456,0.002394789703108976
banking77,0.5,trainable,38.0,22.999511452676572,0.6587570821940868,0.028639097669393033,21.7397494793457,24.27552611697441,22.749093939834843,0.6619837308056596,0.029095911794419525,0.0,0.11987684201546873,0.029700595520841602,0.0011892527965655939,0.09773418058991974,0.15680387311693436,0.11988905641344118,0.04682660827890617,0.001983889930767138
banking77,0.75,frozen,58.0,22.668246296567997,0.6662777297582597,0.029398051094586614,21.461753574187874,24.279761846188762,22.668246296567997,0.6662777297582597,0.029398051094586614,0.0,0.06084333902908999,0.06077118520097137,0.00274706904962509,0.2382050827932546,0.10674492538082717,0.06084333902908999,0.06077118520097137,0.00274706904962509
banking77,0.75,trainable,58.0,22.923386862015814,0.6504506651890678,0.028375230593133776,21.650912800157293,24.30176368584342,22.7861613672166,0.6348989644168537,0.027864717251496092,0.0,0.09479519400779338,0.011241572356611938,0.0004935537916063284,0.05297905067244829,0.14131427381218448,0.0953124772670515,0.017814249398030314,0.0008328474569427712
clinc150,0.25,frozen,38.0,21.39494586061665,0.5971789055881518,0.02793422716684905,20.95687037813724,24.163704698717524,21.39494586061665,0.5971789055881518,0.02793422716684905,0.0,0.20375169180121822,0.07486485607818587,0.0037150986804637713,0.30879595463777487,0.28380922124558017,0.20375169180121822,0.07486485607818587,0.0037150986804637713
clinc150,0.25,trainable,38.0,22.653119827797678,0.6981520787840789,0.030836764798972394,21.54084367116555,24.311509648594992,22.10704630614547,0.5353139170354739,0.024240790592701546,0.0,0.18299589816353956,0.07102445191905693,0.003353895538902429,0.29136385366531137,0.2868208002409205,0.3079402317033698,0.06544234329223834,0.0032364589521880413
clinc150,0.5,frozen,75.0,21.497959800355225,0.7732767283655411,0.035973172370520376,20.7213935885654,24.532975783125874,21.497959800355225,0.7732767283655411,0.035973172370520376,0.0,0.08339091318876025,0.03882579593423494,0.00188210035672598,0.2092503613337798,0.16420833575038363,0.08339091318876025,0.03882579593423494,0.00188210035672598
clinc150,0.5,trainable,75.0,22.648469580918437,0.7173396630829574,0.03167345757220484,21.298478690817007,24.593527959306574,22.05826125504467,0.7355808990993438,0.03337261004094584,0.0,0.2002191093615667,0.03622113202357716,0.001594242194623194,0.2562126705717829,0.12664054354392448,0.28373284484670896,0.08661353561994746,0.004146275114670466
clinc150,0.75,frozen,112.0,21.543487646045673,0.9375714411183752,0.043552479919808276,20.538302005226477,24.6528965959537,21.543487646045673,0.9375714411183752,0.043552479919808276,0.0,0.1729376279577847,0.10386801817627567,0.005143511114933988,0.25600356387282763,0.0,0.1729376279577847,0.10386801817627567,0.005143511114933988
clinc150,0.75,trainable,112.0,22.67803897384784,0.718392094371533,0.03168250933616254,21.2646551712756,24.632990966537324,22.249639911333272,0.7787519808810015,0.0350085584454203,0.0,0.15893988985153001,0.01712278527074692,0.0009402843388432741,0.24746918085472744,0.1929199077960846,0.18699809350143645,0.06146874894553126,0.0028886184350430644
stackoverflow,0.25,frozen,5.0,20.51634937903413,0.5061321202774074,0.024713734662857638,20.29505188359173,22.13160655930765,20.51634937903413,0.5061321202774074,0.024713734662857638,0.0,0.2697304797415113,0.11660639526203903,0.005894952448240936,0.296406765371636,0.3217065562609345,0.2697304797415113,0.11660639526203903,0.005894952448240936
stackoverflow,0.25,trainable,5.0,23.59080619776749,0.5249850741679913,0.022279905179044927,22.826327467752673,24.35316304226705,23.189022307521277,0.46003029149759317,0.019782861907279653,0.0,1.208422718950335,0.2098942990115537,0.00884437348722294,1.095709404712955,1.2112081240744632,1.2268745955692268,0.21308791585131112,0.00882039851938543
stackoverflow,0.5,frozen,10.0,20.58089128250237,0.7233796505780258,0.035151538695419926,20.069224346093186,22.347273106137784,20.58089128250237,0.7233796505780258,0.035151538695419926,0.0,0.08114891611625748,0.03273860684267321,0.0016722871381265063,0.07157408490062392,0.043099547313349085,0.08114891611625748,0.03273860684267321,0.0016722871381265063
stackoverflow,0.5,trainable,10.0,23.486872771725515,0.5338630943748316,0.022763452060313258,22.695765996765303,24.25852706348318,23.181183337053447,0.5190610000398324,0.022387707747491603,0.0,0.6895066322630969,0.09463059864932835,0.00419844209885958,0.6843610482501731,0.6321408396059179,0.6620912900612914,0.09471195795767438,0.0039764049132908945
stackoverflow,0.75,frozen,15.0,20.740448892265544,0.7411032154625032,0.035734510294366015,20.048763490325065,22.347273106137784,20.740448892265544,0.7411032154625032,0.035734510294366015,0.0,0.07744847070863561,0.030570924174624533,0.001534572182677049,0.03374509706702016,0.043099547313349085,0.07744847070863561,0.030570924174624533,0.001534572182677049
stackoverflow,0.75,trainable,15.0,23.505297780258545,0.5631242898988077,0.023895620577635963,22.572060953844748,24.388428089263225,23.29352341235029,0.5920098365991097,0.02531815612247853,0.0,0.8224207351046188,0.10233988018862641,0.0038010056937678263,0.5596694133283069,0.7936851959302402,0.7789616497511561,0.134479048367577,0.005154477695776879
