dataset,kir,seed,oos_f1_trainable,f1_all_trainable,known_recall_trainable,false_accept_rate_trainable,false_reject_rate_trainable,accuracy_trainable,oos_f1_adb,f1_all_adb,known_recall_adb,false_accept_rate_adb,false_reject_rate_adb,accuracy_adb,delta_oos_f1,delta_f1_all,delta_known_recall,delta_false_accept_rate,delta_false_reject_rate,delta_accuracy
banking77,0.25,13,0.9154867256637168,0.7691237472003842,0.8276315789473684,0.1081896551724137,0.1723684210526316,0.8717532467532467,0.8190709046454768,0.6536662620499195,0.875,0.2780172413793103,0.125,0.7538961038961038,0.09641582101823998,0.11545748515046472,-0.047368421052631615,-0.16982758620689659,0.04736842105263159,0.11785714285714288
banking77,0.25,42,0.9191208791208793,0.7939882940487182,0.8171052631578948,0.0987068965517241,0.1828947368421052,0.8801948051948052,0.8315098468271335,0.6884419638656267,0.8907894736842106,0.2629310344827586,0.1092105263157894,0.7704545454545455,0.08761103229374578,0.10554633018309145,-0.0736842105263158,-0.16422413793103452,0.0736842105263158,0.1097402597402597
banking77,0.25,87,0.9304952215464812,0.8149099652712799,0.8131578947368421,0.0767241379310344,0.1868421052631579,0.8954545454545455,0.8177604293730178,0.6770614481969766,0.8644736842105263,0.2775862068965517,0.1355263157894737,0.7551948051948052,0.11273479217346338,0.13784851707430334,-0.051315789473684204,-0.20086206896551734,0.051315789473684204,0.1402597402597403
banking77,0.25,100,0.9308176100628932,0.7976710049892831,0.8092105263157895,0.075,0.1907894736842105,0.8918831168831168,0.8654888103651355,0.7113188672538325,0.8842105263157894,0.2081896551724138,0.1157894736842105,0.8103896103896104,0.06532879969775773,0.08635213773545058,-0.07499999999999996,-0.13318965517241382,0.07500000000000001,0.0814935064935064
banking77,0.25,123,0.8867710460630814,0.7498148479796339,0.825,0.1577586206896551,0.175,0.837012987012987,0.8061977373339891,0.6983466578047486,0.8592105263157894,0.2935344827586207,0.1407894736842105,0.7438311688311688,0.0805733087290923,0.05146819017488535,-0.03421052631578947,-0.1357758620689656,0.0342105263157895,0.09318181818181814
banking77,0.5,13,0.8462021343377275,0.8199086432567366,0.8171052631578948,0.1358974358974359,0.1828947368421052,0.8314935064935065,0.7783706865884027,0.8042008339042436,0.8967105263157895,0.2987179487179487,0.1032894736842105,0.7837662337662338,0.06783144774932481,0.015707809352493052,-0.07960526315789473,-0.16282051282051282,0.07960526315789469,0.04772727272727273
banking77,0.5,42,0.8414403032217309,0.8168639763258652,0.8197368421052631,0.1461538461538461,0.1802631578947368,0.824025974025974,0.7268673355629878,0.7792776931630171,0.8993421052631579,0.3730769230769231,0.1006578947368421,0.7428571428571429,0.11457296765874314,0.037586283162848066,-0.07960526315789485,-0.22692307692307698,0.07960526315789469,0.08116883116883111
banking77,0.5,87,0.8554480174836091,0.8324583407388371,0.8203947368421053,0.1217948717948717,0.1796052631578947,0.839935064935065,0.7564841498559077,0.7995857096963531,0.8907894736842106,0.3269230769230769,0.1092105263157894,0.7662337662337663,0.09896386762770137,0.032872631042483946,-0.07039473684210529,-0.20512820512820523,0.07039473684210532,0.07370129870129871
banking77,0.5,100,0.8259473346178549,0.8064088330915219,0.8236842105263158,0.1756410256410256,0.1763157894736842,0.8107142857142857,0.7456521739130435,0.7665745881015057,0.8875,0.3403846153846154,0.1125,0.7483766233766234,0.08029516070481135,0.0398342449900162,-0.06381578947368416,-0.1647435897435898,0.0638157894736842,0.06233766233766236
banking77,0.5,123,0.809165302782324,0.8080381054482829,0.8296052631578947,0.2076923076923077,0.1703947368421052,0.8022727272727272,0.7410358565737052,0.78972159872765,0.8828947368421053,0.3442307692307692,0.1171052631578947,0.7548701298701299,0.06812944620861883,0.018316506720632897,-0.05328947368421055,-0.13653846153846147,0.05328947368421051,0.047402597402597335
banking77,0.75,13,0.6601269474899019,0.8297927993746245,0.8271551724137931,0.2473684210526315,0.1728448275862069,0.7824675324675324,0.6689373297002725,0.8566946861156735,0.9064655172413794,0.3539473684210526,0.0935344827586207,0.8094155844155844,-0.00881038221037067,-0.026901886741048986,-0.07931034482758625,-0.10657894736842113,0.0793103448275862,-0.026948051948051943
banking77,0.75,42,0.7272727272727273,0.8465133935600306,0.8297413793103449,0.131578947368421,0.1702586206896551,0.812012987012987,0.6809364548494983,0.8555560223829537,0.9025862068965518,0.3302631578947368,0.0974137931034482,0.8116883116883117,0.04633627242322902,-0.00904262882292306,-0.07284482758620692,-0.19868421052631582,0.0728448275862069,0.00032467532467528315
banking77,0.75,87,0.6984478935698448,0.8495955076276699,0.8215517241379311,0.1710526315789473,0.1784482758620689,0.8058441558441558,0.6221294363256785,0.8568865732224621,0.9008620689655172,0.4118421052631579,0.0991379310344827,0.799025974025974,0.0763184572441663,-0.007291065594792201,-0.07931034482758614,-0.2407894736842106,0.0793103448275862,0.006818181818181834
banking77,0.75,100,0.6801573917931422,0.8422789425569616,0.8215517241379311,0.2039473684210526,0.1784482758620689,0.7951298701298701,0.6662116040955631,0.8623046995855899,0.9064655172413794,0.3578947368421052,0.0935344827586207,0.8123376623376624,0.013945787697579037,-0.0200257570286283,-0.08491379310344827,-0.1539473684210526,0.08491379310344821,-0.017207792207792227
banking77,0.75,123,0.6666666666666666,0.8383752198051533,0.8206896551724138,0.2263157894736842,0.1793103448275862,0.788961038961039,0.6751507032819826,0.8631191692819283,0.9012931034482758,0.3368421052631579,0.0987068965517241,0.8162337662337662,-0.008484036615315937,-0.02474394947677505,-0.08060344827586208,-0.1105263157894737,0.0806034482758621,-0.027272727272727226
clinc150,0.25,13,0.9528118939883644,0.8010298070270482,0.736842105263158,0.0302631578947368,0.2631578947368421,0.9229824561403508,0.9109003629551576,0.7552019104020782,0.9201754385964912,0.1469298245614035,0.0798245614035087,0.8647368421052631,0.04191153103320677,0.04582789662497,-0.18333333333333324,-0.1166666666666667,0.1833333333333334,0.058245614035087656
