dataset,kir,metric,mean_delta_pp,ci95_low_pp,ci95_high_pp,wins,ties,losses
banking77,0.25,oos_f1,8.853275078245984,7.459510576812109,10.303870125354448,5,0,0
banking77,0.25,f1_all,9.93345320636391,7.23985587112245,12.307103482176506,5,0,0
banking77,0.25,known_recall,-5.631578947368421,-6.973684210526314,-4.289473684210527,0,0,5
banking77,0.25,false_accept_rate,-16.07758620689656,-18.163793103448285,-14.043103448275868,0,0,5
banking77,0.25,false_reject_rate,5.631578947368422,4.289473684210527,6.973684210526317,5,0,0
banking77,0.25,accuracy,10.850649350649348,9.110389610389605,12.63636363636364,5,0,0
banking77,0.5,oos_f1,8.59585779898399,7.044338972413973,10.216244336250993,5,0,0
banking77,0.5,f1_all,2.886349505369483,2.018425263774717,3.75427374696425,5,0,0
banking77,0.5,known_recall,-6.934210526315791,-7.776315789473689,-6.0657894736842115,0,0,5
banking77,0.5,false_accept_rate,-17.923076923076923,-20.94871794871796,-15.269230769230768,0,0,5
banking77,0.5,false_reject_rate,6.9342105263157885,6.065789473684208,7.776315789473681,5,0,0
banking77,0.5,accuracy,6.246753246753245,5.05194805194805,7.441558441558441,5,0,0
banking77,0.75,oos_f1,2.386121970785755,-0.41286099907588364,5.329625238907145,3,0,2
banking77,0.75,f1_all,-1.760105753283352,-2.4663485892855275,-1.0538629172811764,0,0,5
banking77,0.75,known_recall,-7.939655172413793,-8.267241379310345,-7.568965517241382,0,0,5
banking77,0.75,false_accept_rate,-16.21052631578948,-20.65789473684211,-11.763157894736844,0,0,5
banking77,0.75,false_reject_rate,7.939655172413793,7.56896551724138,8.26724137931034,5,0,0
banking77,0.75,accuracy,-1.2857142857142856,-2.5129870129870113,-0.05844155844155985,2,0,3
clinc150,0.25,oos_f1,3.5653755082279726,2.9965605564625553,4.018959148395133,5,0,0
clinc150,0.25,f1_all,3.082736770294463,1.9180295728895569,4.245346227509265,5,0,0
clinc150,0.25,known_recall,-17.350877192982463,-18.526315789473678,-16.175438596491237,0,0,5
clinc150,0.25,false_accept_rate,-10.346491228070176,-11.223684210526317,-9.276315789473685,0,0,5
clinc150,0.25,false_reject_rate,17.35087719298246,16.175438596491226,18.596491228070178,5,0,0
clinc150,0.25,accuracy,4.898245614035082,4.063157894736837,5.494912280701743,5,0,0
clinc150,0.5,oos_f1,1.0509699881813739,0.3329620978133252,1.821171739798013,5,0,0
clinc150,0.5,f1_all,-3.671228178790971,-4.727548031209221,-2.725203100954763,0,0,5
clinc150,0.5,known_recall,-16.400000000000002,-17.013333333333343,-15.795555555555554,0,0,5
clinc150,0.5,false_accept_rate,-10.655072463768116,-12.098550724637679,-9.321739130434779,0,0,5
clinc150,0.5,false_reject_rate,16.4,15.795555555555554,17.01333333333334,5,0,0
clinc150,0.5,accuracy,0.1263157894736855,-0.6807017543859661,1.045614035087723,2,0,3
clinc150,0.75,oos_f1,-1.9112110463909993,-2.966529041849437,-0.6674544014056205,1,0,4
clinc150,0.75,f1_all,-5.61070078439561,-6.491632083221835,-4.9121921974445355,0,0,5
clinc150,0.75,known_recall,-16.41666666666666,-17.113095238095223,-15.79761904761904,0,0,5
clinc150,0.75,false_accept_rate,-13.470085470085472,-15.512820512820511,-11.5982905982906,0,0,5
clinc150,0.75,false_reject_rate,16.416666666666664,15.755952380952381,17.083333333333336,5,0,0
clinc150,0.75,accuracy,-3.6771929824561385,-4.568421052631577,-2.6947368421052653,0,0,5
stackoverflow,0.25,oos_f1,2.3441209538584085,1.3195040675201963,3.017221824804379,5,0,0
stackoverflow,0.25,f1_all,4.519652407024575,2.8093648752942113,5.717199605081786,5,0,0
stackoverflow,0.25,known_recall,0.7733333333333325,-0.5866666666666687,2.1333333333333337,3,0,2
stackoverflow,0.25,false_accept_rate,-4.182222222222222,-5.328888888888887,-2.653333333333334,0,0,5
stackoverflow,0.25,false_reject_rate,-0.773333333333332,-2.1333333333333315,0.5866666666666676,2,0,3
stackoverflow,0.25,accuracy,3.299999999999988,1.8466666666666587,4.226666666666656,5,0,0
stackoverflow,0.5,oos_f1,0.4587685884882964,-0.6955989105631688,1.3759111989667971,3,0,2
stackoverflow,0.5,f1_all,0.7457264377796768,0.01655295756364028,1.3032684924456461,4,0,1
stackoverflow,0.5,known_recall,2.52,1.6266666666666696,3.4466666666666623,5,0,0
stackoverflow,0.5,false_accept_rate,1.0733333333333341,-0.74,3.140000000000002,3,0,2
stackoverflow,0.5,false_reject_rate,-2.519999999999999,-3.4466666666666654,-1.6266666666666678,0,0,5
stackoverflow,0.5,accuracy,0.5166666666666675,-0.5466666666666642,1.386666666666665,3,1,1
stackoverflow,0.75,oos_f1,2.604244842315475,0.790325380443222,4.052713271422769,4,0,1
stackoverflow,0.75,f1_all,1.2942134788098758,0.8193668609779613,1.7477968963667803,5,0,0
stackoverflow,0.75,known_recall,3.2711111111111113,2.3866666666666703,4.302222222222221,5,0,0
stackoverflow,0.75,false_accept_rate,0.68,-3.0800000000000005,4.365999999999913,2,0,3
stackoverflow,0.75,false_reject_rate,-3.2711111111111126,-4.248888888888895,-2.4400000000000004,0,0,5
stackoverflow,0.75,accuracy,1.7200000000000013,0.8533333333333347,2.456666666666669,5,0,0
