dataset,comparison,comparison_label,metric,n_seeds,trainable_gate_minus_cascade,trainable_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,sign_test_pvalue,effect_size
banking77,frozen_k1,Frozen K=1 Cascade,oos_f1,3,-0.0005297781562792666,-0.0005297781562792666,0.01743838765731283,-0.020120030881699003,0.013298196170631438,2,0,1,1.0,-0.03037999651631227
banking77,frozen_k1,Frozen K=1 Cascade,id_recall,3,-0.06925438596491229,-0.06925438596491229,0.019618599020219514,-0.09189473684210525,-0.057263157894736905,0,0,3,0.25,-3.5300372821492836
banking77,frozen_k1,Frozen K=1 Cascade,oos_false_accept_rate,3,-0.10196470196470198,0.10196470196470198,0.03197395106464319,0.06683316683316678,0.1293623043623043,3,0,0,0.25,3.1889928698069037
banking77,frozen_k1,Frozen K=1 Cascade,known_false_reject_rate,3,0.06925438596491224,-0.06925438596491224,0.019618599020219514,-0.0918947368421052,-0.057263157894736794,0,0,3,0.25,-3.530037282149281
banking77,frozen_selected_k,Frozen selected-K Cascade,oos_f1,3,-0.03341699231508496,-0.03341699231508496,0.035127261637252806,-0.06339946133026386,0.005232500242229765,1,0,2,1.0,-0.9513121933662461
banking77,frozen_selected_k,Frozen selected-K Cascade,id_recall,3,0.015412280701754377,0.015412280701754377,0.07367349702815972,-0.058605263157894716,0.08873684210526311,2,0,1,1.0,0.2091970833943643
banking77,frozen_selected_k,Frozen selected-K Cascade,oos_false_accept_rate,3,-0.026207126207126234,0.026207126207126234,0.07790154597778401,-0.0445304695304695,0.10969863469863479,2,0,1,1.0,0.3364134290043485
banking77,frozen_selected_k,Frozen selected-K Cascade,known_false_reject_rate,3,-0.015412280701754441,0.015412280701754441,0.07367349702815977,-0.058605263157894716,0.08873684210526323,2,0,1,1.0,0.209197083394365
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,oos_f1,3,-0.04714202597083742,-0.04714202597083742,0.013557533193806773,-0.061123799342371665,-0.03405284310158885,0,0,3,0.25,-3.477183149540243
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,id_recall,3,0.025412280701754386,0.025412280701754386,0.05114293649989159,-0.033605263157894694,0.056736842105263086,2,0,1,1.0,0.4968873991388479
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,oos_false_accept_rate,3,-0.001315351315351307,0.001315351315351307,0.03579280765497983,-0.03186813186813191,0.039244089244089314,1,0,2,1.0,0.0367490398638315
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,known_false_reject_rate,3,-0.025412280701754424,0.025412280701754424,0.051142936499891656,-0.03360526315789472,0.0567368421052632,2,0,1,1.0,0.49688739913884805
banking77,best_controlled_baseline,Best controlled Cascade,oos_f1,3,0.005989388412903751,0.005989388412903751,0.054331807171284434,-0.05627329485287802,0.043788861336219176,2,0,1,1.0,0.11023723900848408
banking77,best_controlled_baseline,Best controlled Cascade,id_recall,3,-0.06492105263157895,-0.06492105263157895,0.019032611610316136,-0.08689473684210525,-0.05360526315789471,0,0,3,0.25,-3.411042791226306
banking77,best_controlled_baseline,Best controlled Cascade,oos_false_accept_rate,3,-0.10889110889110891,0.10889110889110891,0.08993568605267484,0.006118881118881092,0.1731934731934732,3,0,0,0.25,1.2107664228783666
banking77,best_controlled_baseline,Best controlled Cascade,known_false_reject_rate,3,0.0649210526315789,-0.0649210526315789,0.019032611610316136,-0.08689473684210519,-0.05360526315789471,0,0,3,0.25,-3.411042791226303
stackoverflow,frozen_k1,Frozen K=1 Cascade,oos_f1,3,0.07687141036918355,0.07687141036918355,0.039973615254107295,0.03190260240697029,0.10836939573210447,3,0,0,0.25,1.9230537413371687
stackoverflow,frozen_k1,Frozen K=1 Cascade,id_recall,3,0.006984668647305033,0.006984668647305033,0.0013053042540339401,0.005731707317073176,0.008336673346693302,3,0,0,0.25,5.350988955808168
stackoverflow,frozen_k1,Frozen K=1 Cascade,oos_false_accept_rate,3,-0.12380340024502494,0.12380340024502494,0.06306142438653102,0.0531461461461461,0.17437694704049847,3,0,0,0.25,1.9632192176025047
stackoverflow,frozen_k1,Frozen K=1 Cascade,known_false_reject_rate,3,-0.006984668647305024,0.006984668647305024,0.001305304254034024,0.0057317073170730926,0.008336673346693385,3,0,0,0.25,5.350988955807817
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,oos_f1,3,0.08711162346308361,0.08711162346308361,0.048231816169510784,0.03190260240697029,0.12106287225017609,3,0,0,0.25,1.8061029084397255
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,id_recall,3,-0.006922763484426146,-0.006922763484426146,0.0242092160446316,-0.034836671117044915,0.008336673346693302,2,0,1,1.0,-0.28595570677148263
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,oos_false_accept_rate,3,-0.147183493765399,0.147183493765399,0.08381710105754545,0.0531461461461461,0.21402738810955238,3,0,0,0.25,1.7560079256898748
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,known_false_reject_rate,3,0.006922763484426174,-0.006922763484426174,0.02420921604463165,-0.034836671117045,0.008336673346693385,2,0,1,1.0,-0.2859557067714832
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,oos_f1,3,-0.009078260188654355,-0.009078260188654355,0.018792129876481625,-0.02994617074082051,0.00650757602400398,1,0,2,1.0,-0.48308841245375866
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,id_recall,3,-0.022279839826331267,-0.022279839826331267,0.04287482949996833,-0.07121851357365372,0.008670674682698665,1,0,2,1.0,-0.5196484764177949
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,oos_false_accept_rate,3,0.000813149213420202,-0.000813149213420202,0.059539471724428486,-0.05295995995996,0.0640607882431529,1,0,2,1.0,-0.013657313205326517
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,known_false_reject_rate,3,0.022279839826331305,-0.022279839826331305,0.042874829499968375,-0.0712185135736538,0.008670674682698692,1,0,2,1.0,-0.5196484764177952
stackoverflow,best_controlled_baseline,Best controlled Cascade,oos_f1,3,0.03466599485754943,0.03466599485754943,0.04984718144402072,-0.001950130711791398,0.09143424496795738,2,0,1,1.0,0.6954454364983498
stackoverflow,best_controlled_baseline,Best controlled Cascade,id_recall,3,-0.015724340200658788,-0.015724340200658788,0.0015918881542009873,-0.017480195816644395,-0.01437541750167004,0,0,3,0.25,-9.87779207927536
stackoverflow,best_controlled_baseline,Best controlled Cascade,oos_false_accept_rate,3,-0.07014813521841906,0.07014813521841906,0.08140572510981589,0.009618570474281884,0.1626947040498442,3,0,0,0.25,0.8617100962345043
stackoverflow,best_controlled_baseline,Best controlled Cascade,known_false_reject_rate,3,0.01572434020065877,-0.01572434020065877,0.0015918881542010027,-0.017480195816644395,-0.014375417501670013,0,0,3,0.25,-9.877792079275254
