dataset,comparison,comparison_label,metric,n_seeds,trainable_gate_minus_cascade,trainable_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,sign_test_pvalue,effect_size
clinc150,frozen_k1,Frozen K=1 Cascade,oos_f1,3,0.024059351041748684,0.024059351041748684,0.011782718540262657,0.015508993347344568,0.03749973548797347,3,0,0,0.25,2.0419185062883085
clinc150,frozen_k1,Frozen K=1 Cascade,id_recall,3,0.005925925925925927,0.005925925925925927,0.008633364316642068,-0.003555555555555534,0.01333333333333342,2,0,1,1.0,0.6863982230545793
clinc150,frozen_k1,Frozen K=1 Cascade,oos_false_accept_rate,3,-0.034428836863619465,0.034428836863619465,0.019781575461436243,0.0168071348940914,0.055826086956521796,3,0,0,0.25,1.7404496891937522
clinc150,frozen_k1,Frozen K=1 Cascade,known_false_reject_rate,3,-0.005925925925925964,0.005925925925925964,0.008633364316642078,-0.003555555555555534,0.01333333333333342,2,0,1,1.0,0.6863982230545826
clinc150,frozen_selected_k,Frozen selected-K Cascade,oos_f1,3,0.024059351041748684,0.024059351041748684,0.011782718540262657,0.015508993347344568,0.03749973548797347,3,0,0,0.25,2.0419185062883085
clinc150,frozen_selected_k,Frozen selected-K Cascade,id_recall,3,0.005925925925925927,0.005925925925925927,0.008633364316642068,-0.003555555555555534,0.01333333333333342,2,0,1,1.0,0.6863982230545793
clinc150,frozen_selected_k,Frozen selected-K Cascade,oos_false_accept_rate,3,-0.034428836863619465,0.034428836863619465,0.019781575461436243,0.0168071348940914,0.055826086956521796,3,0,0,0.25,1.7404496891937522
clinc150,frozen_selected_k,Frozen selected-K Cascade,known_false_reject_rate,3,-0.005925925925925964,0.005925925925925964,0.008633364316642078,-0.003555555555555534,0.01333333333333342,2,0,1,1.0,0.6863982230545826
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,oos_f1,3,0.004337161750701868,0.004337161750701868,0.00601357409452544,7.45431618840442e-05,0.011215642357065514,3,0,0,0.25,0.7212286208712847
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,id_recall,3,0.009629629629629655,0.009629629629629655,0.014608188695205679,-0.002666666666666706,0.0257777777777779,2,0,1,1.0,0.6591939514575166
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,oos_false_accept_rate,3,0.005468599033816467,-0.005468599033816467,0.0038632810348267575,-0.0084236343366779,-0.0010969899665552,0,0,3,0.25,-1.4155322857742079
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,known_false_reject_rate,3,-0.009629629629629599,0.009629629629629599,0.014608188695205625,-0.002666666666666706,0.02577777777777779,2,0,1,1.0,0.6591939514575152
clinc150,best_controlled_baseline,Best controlled Cascade,oos_f1,3,-0.004137951475425246,-0.004137951475425246,0.014170570945208528,-0.017044711331342666,0.011025580198022578,1,0,2,1.0,-0.292010215496956
clinc150,best_controlled_baseline,Best controlled Cascade,id_recall,3,-0.10637037037037038,-0.10637037037037038,0.03543405165177854,-0.13111111111111118,-0.06577777777777771,0,0,3,0.25,-3.001925137314387
clinc150,best_controlled_baseline,Best controlled Cascade,oos_false_accept_rate,3,-0.044787811222593794,0.044787811222593794,0.01382839522261675,0.029114827201783697,0.055268673355629794,3,0,0,0.25,3.2388292713345366
clinc150,best_controlled_baseline,Best controlled Cascade,known_false_reject_rate,3,0.1063703703703704,-0.1063703703703704,0.035434051651778486,-0.13111111111111112,-0.0657777777777778,0,0,3,0.25,-3.0019251373143923
