dataset,kir,method,method_label,n_seeds,oos_f1,f1_all,known_recall,false_accept_rate,auroc
banking77,0.25,fixed_k2,Fixed K=2,5,0.8577784166123713,0.7109974813224451,0.8189473684210526,0.2032758620689655,0.8880257486388384
banking77,0.25,mogb_minilm,MOGB MiniLM,5,0.9029919725157672,0.5587572321670984,0.399736842105263,0.0149999999999999,0.8690423094373866
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.9205598966754222,0.711496683111129,0.616842105263158,0.0401724137931034,0.8916474591651543
banking77,0.25,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.9067732430505278,0.6549065911705718,0.5386842105263158,0.0450862068965517,0.8775311932849366
banking77,0.25,random_partition,Random partition,5,0.8500483735063608,0.693146655424499,0.8473684210526315,0.223103448275862,0.8943634301270418
banking77,0.25,single_centroid,Single centroid,5,0.8517237093485583,0.6928544335841692,0.8389473684210526,0.2183620689655172,0.8915661297640654
banking77,0.25,trainable_k1,Trainable K=1,5,0.9165382964914104,0.7851015718978598,0.8184210526315789,0.1032758620689655,0.922975612522686
banking77,0.5,fixed_k2,Fixed K=2,5,0.7546157036165422,0.7616393362174011,0.8255263157894737,0.2905128205128205,0.859762230094467
banking77,0.5,mogb_minilm,MOGB MiniLM,5,0.7499368546965274,0.4860081532780996,0.334078947368421,0.0108974358974358,0.8356215418353576
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.7939747596576892,0.6480972658162544,0.5218421052631579,0.0349999999999999,0.8545895748987855
banking77,0.5,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.7885946611939285,0.6567807001762411,0.5325,0.0524358974358973,0.8464349696356275
banking77,0.5,random_partition,Random partition,5,0.7162208519261768,0.7472005675171393,0.8596052631578948,0.365,0.8556884278002699
banking77,0.5,single_centroid,Single centroid,5,0.7242801509490058,0.7451394438761987,0.8501315789473682,0.3484615384615384,0.85260754048583
banking77,0.5,trainable_k1,Trainable K=1,5,0.8356406184886493,0.8167355797722488,0.8221052631578948,0.1574358974358974,0.9014173414304992
banking77,0.75,fixed_k2,Fixed K=2,5,0.5931096142882415,0.802629197197889,0.8313793103448276,0.3607894736842105,0.8322200544464609
banking77,0.75,mogb_minilm,MOGB MiniLM,5,0.4763444315858617,0.4239282504496938,0.2876724137931034,0.0076315789473683,0.7977400181488203
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.5313316683894658,0.5860713489392462,0.4586206896551724,0.0405263157894736,0.8104557622504537
banking77,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.5507101160126237,0.6567440305693094,0.535603448275862,0.0813157894736841,0.8209998865698729
banking77,0.75,random_partition,Random partition,5,0.5337882516266328,0.7889339625187208,0.8727586206896552,0.4931578947368421,0.8201661751361161
banking77,0.75,single_centroid,Single centroid,5,0.5366071713978288,0.7821185401081376,0.8641379310344828,0.48,0.817510775862069
banking77,0.75,trainable_k1,Trainable K=1,5,0.6865343253584565,0.8413111725848881,0.824137931034483,0.1960526315789473,0.8890411751361162
clinc150,0.25,fixed_k2,Fixed K=2,5,0.9447183904938932,0.7801346791980823,0.7435087719298246,0.0472807017543859,0.934487650046168
clinc150,0.25,mogb_minilm,MOGB MiniLM,5,0.9238361040438378,0.5224035964713534,0.3710526315789473,0.0065789473684209,0.9060657894736842
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.9413139384002536,0.7016229766010627,0.6017543859649124,0.0223684210526315,0.9274617189904586
clinc150,0.25,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.9263775447547196,0.5666949810733997,0.4189473684210526,0.011798245614035,0.9017829332102184
clinc150,0.25,random_partition,Random partition,5,0.9423997495237098,0.7878036270153732,0.788421052631579,0.0617105263157894,0.94371837488458
clinc150,0.25,single_centroid,Single centroid,5,0.9420722511346672,0.7843899282129962,0.7794736842105264,0.0603508771929824,0.9434849953831947
clinc150,0.25,trainable_k1,Trainable K=1,5,0.9516427437131564,0.7968993956538231,0.7363157894736843,0.0323684210526315,0.9588536088027084
clinc150,0.5,fixed_k2,Fixed K=2,5,0.892005798496586,0.8009431390043901,0.7513777777777777,0.0644057971014492,0.924975458937198
clinc150,0.5,mogb_minilm,MOGB MiniLM,5,0.8131951016346013,0.4495380038989019,0.3157333333333333,0.0090434782608695,0.8764096876006441
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.8555543863002324,0.645981713026754,0.5334222222222222,0.0249855072463767,0.9052768824476652
clinc150,0.5,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.8332324302971947,0.5640931010016157,0.4224,0.0168695652173912,0.8898238711755233
clinc150,0.5,random_partition,Random partition,5,0.8906911053121689,0.8075070935100765,0.7947555555555555,0.089623188405797,0.9302566698872786
clinc150,0.5,single_centroid,Single centroid,5,0.8894333056826392,0.8026933913946115,0.7875555555555556,0.0881739130434782,0.9289202705314008
clinc150,0.5,trainable_k1,Trainable K=1,5,0.9043941395821132,0.8181661694793956,0.7444444444444445,0.036927536231884,0.9532673752012883
clinc150,0.75,fixed_k2,Fixed K=2,5,0.8150384507030115,0.8143458841089413,0.7580357142857144,0.0732478632478632,0.9182304385429386
clinc150,0.75,mogb_minilm,MOGB MiniLM,5,0.6593154230507091,0.4179709109786164,0.2919642857142857,0.0082905982905982,0.8643049450549449
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.7197434059711283,0.5960139307329898,0.4808928571428571,0.0188888888888888,0.8967573768823769
clinc150,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.7004044722488024,0.5692900146575265,0.4284523809523809,0.0188034188034187,0.8802616758241758
clinc150,0.75,random_partition,Random partition,5,0.8220513451445486,0.823453472957717,0.8004761904761905,0.1022222222222221,0.9227625152625152
clinc150,0.75,single_centroid,Single centroid,5,0.8174656812211403,0.8174095805265577,0.7907142857142857,0.101025641025641,0.9199905118030118
clinc150,0.75,trainable_k1,Trainable K=1,5,0.828493223497581,0.8291245798894671,0.7511904761904763,0.0401709401709401,0.9500434472934473
stackoverflow,0.25,fixed_k2,Fixed K=2,5,0.8666146611474034,0.767990693403829,0.8521333333333333,0.194711111111111,0.9027892444444444
stackoverflow,0.25,mogb_minilm,MOGB MiniLM,5,0.8944000569448456,0.5407038655227719,0.3261333333333333,0.0093777777777777,0.8672337777777779
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.9259960799998362,0.7345093038010513,0.5910666666666666,0.020311111111111,0.9164517333333334
stackoverflow,0.25,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.9063585472441908,0.6905304844967871,0.5414666666666668,0.0443555555555555,0.8315969481481481
stackoverflow,0.25,random_partition,Random partition,5,0.8911014170392451,0.8086454974094963,0.8609333333333333,0.1568444444444444,0.9205399703703704
stackoverflow,0.25,single_centroid,Single centroid,5,0.8948207530022316,0.8101159547533475,0.8561333333333334,0.1495555555555555,0.9199174814814814
stackoverflow,0.25,trainable_k1,Trainable K=1,5,0.9547969095009252,0.8763726851882936,0.8429333333333332,0.0384888888888888,0.9529569185185188
stackoverflow,0.5,fixed_k2,Fixed K=2,5,0.6352945072329975,0.7275883031957765,0.8688666666666667,0.4716666666666667,0.8259930444444444
stackoverflow,0.5,mogb_minilm,MOGB MiniLM,5,0.729199427573284,0.4329803937892986,0.2709333333333333,0.0079333333333332,0.8476909333333333
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.7924706249591658,0.63344181949998,0.5038666666666667,0.0185999999999999,0.8663389555555556
stackoverflow,0.5,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.7335218198140271,0.6358695194997168,0.5449333333333334,0.1569333333333333,0.732959
stackoverflow,0.5,random_partition,Random partition,5,0.7587996754762377,0.7980409512231381,0.8764,0.3097999999999999,0.8881375111111109
stackoverflow,0.5,single_centroid,Single centroid,5,0.7654959559609912,0.7997964624589458,0.8714666666666668,0.2970666666666667,0.8876673111111112
stackoverflow,0.5,trainable_k1,Trainable K=1,5,0.8767066651336372,0.8655077750537565,0.8389333333333333,0.0934,0.9235181333333332
stackoverflow,0.75,fixed_k2,Fixed K=2,5,0.436346976786457,0.7446586353568032,0.8802222222222221,0.6166666666666667,0.7757786962962963
stackoverflow,0.75,mogb_minilm,MOGB MiniLM,5,0.4558840331344416,0.3309323231180784,0.2117333333333332,0.0066666666666666,0.8032848592592592
stackoverflow,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.5156718868278516,0.4958398225235195,0.3906666666666666,0.0179999999999999,0.792292325925926
stackoverflow,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.4847941610402537,0.6121983148732835,0.5349777777777778,0.2337333333333333,0.6866778074074075
stackoverflow,0.75,random_partition,Random partition,5,0.6500992335498492,0.8107916989356445,0.8819555555555555,0.3455999999999999,0.8821197037037039
stackoverflow,0.75,single_centroid,Single centroid,5,0.6560530143222347,0.8123797132114893,0.8762222222222222,0.3282666666666666,0.8816990518518517
stackoverflow,0.75,trainable_k1,Trainable K=1,5,0.7630378449085173,0.87280021593395,0.8411555555555555,0.088,0.9290362370370372
