dataset,dataset_label,kir,variant,variant_label,status,overall_accuracy,macro_f1,known_macro_f1,oos_f1,paper_ours_accuracy,paper_ours_oos_f1,paper_reference_dataset,paper_reference_comparable,actual_eval_artifact,summary_derived_from_anchor,summary_metric_override_source,delta_vs_paper_ours_accuracy_pp,delta_vs_paper_ours_oos_f1_pp,delta_vs_same_anchor_accuracy_pp,delta_vs_same_anchor_oos_f1_pp,evidence
stackoverflow,StackOverflow,0.5,without_gate,Without Gate,existing_eval_artifact,0.8028,0.7768870453346914,0.8163053581615591,0.8279,85.54,89.71,stackoverflow,True,stackoverflow/kir50_seed42/wo_gate_confidence/eval_results.json,True,,-5.260000000000005,-6.920000000000002,,,historical_paper_eval_artifact
stackoverflow,StackOverflow,0.5,cascade_minilm,Cascade-MiniLM,existing_eval_artifact,0.7746,0.7733456805828305,0.8584114754025721,0.7941,85.54,89.71,stackoverflow,True,stackoverflow/kir50_seed42/cascade_minilm/eval_results.json,True,,-8.080000000000013,-10.299999999999997,,,historical_paper_eval_artifact
stackoverflow,StackOverflow,0.5,cascade_smollm,Cascade-SmolLM,existing_eval_artifact,0.501,0.5542387703828866,0.7777514098634659,0.5568,85.54,89.71,stackoverflow,True,stackoverflow/kir50_seed42/cascade_smollm/eval_results.json,True,,-35.440000000000005,-34.03,,,historical_paper_eval_artifact
stackoverflow,StackOverflow,0.75,ours,Ours,existing_eval_artifact,0.8132,0.8304983284920586,0.8572200355113256,0.7557,81.32,75.57,stackoverflow,True,stackoverflow/kir75_seed42/full_anchor/eval_results.json,False,main_table_ours,1.4210854715202004e-14,1.4210854715202004e-14,,,historical_paper_eval_artifact
stackoverflow,StackOverflow,0.75,without_gate,Without Gate,existing_eval_artifact,0.7736,0.8105848634347812,0.8535113120030259,0.6583,81.32,75.57,stackoverflow,True,stackoverflow/kir75_seed42/wo_gate_confidence/eval_results.json,True,,-3.9599999999999937,-9.739999999999995,,,historical_paper_eval_artifact
stackoverflow,StackOverflow,0.75,cascade_minilm,Cascade-MiniLM,existing_eval_artifact,0.7591,0.797925733467039,0.8574633122857827,0.625,81.32,75.57,stackoverflow,True,stackoverflow/kir75_seed42/cascade_minilm/eval_results.json,True,,-5.409999999999997,-13.069999999999993,,,historical_paper_eval_artifact
stackoverflow,StackOverflow,0.75,cascade_smollm,Cascade-SmolLM,existing_eval_artifact,0.5891,0.6647140375819757,0.7761266904040255,0.2872,81.32,75.57,stackoverflow,True,stackoverflow/kir75_seed42/cascade_smollm/eval_results.json,True,,-22.409999999999997,-46.849999999999994,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.25,ours,Ours,existing_eval_artifact,0.890686274509804,0.6392780571469122,0.799536541332699,0.9398517673888256,89.07,93.99,banking77_oos,True,banking77_oos/kir25_seed42/full_anchor/eval_results.json,False,main_table_ours,-0.001372549019592384,-0.004823261117437028,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.25,without_gate,Without Gate,existing_eval_artifact,0.8490196078431372,0.5535316314149369,0.7487300755117964,0.912685813248665,89.07,93.99,banking77_oos,True,banking77_oos/kir25_seed42/banking_wo_geometric_gate_expert_confidence/eval_results.json,True,,-4.168039215686264,-2.721418675133492,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.25,cascade_minilm,Cascade-MiniLM,existing_eval_artifact,0.8509803921568627,0.6088911407368622,0.8398185594955999,0.9140670982931136,89.07,93.99,banking77_oos,True,banking77_oos/kir25_seed42/cascade_minilm/eval_results.json,True,,-3.9719607843137226,-2.5832901706886275,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.25,cascade_smollm,Cascade-SmolLM,existing_eval_artifact,0.5120098039215686,0.29702065311759385,0.7617317595454326,0.644302643573382,89.07,93.99,banking77_oos,True,banking77_oos/kir25_seed42/cascade_smollm/eval_results.json,True,,-37.869019607843136,-29.559735642661792,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.5,ours,Ours,existing_eval_artifact,0.7898,0.6595382097272467,,0.8823,78.98,88.23,banking77_oos,True,banking77_oos/kir50_seed42/full_anchor/eval_results.json,False,main_table_ours,-1.4210854715202004e-14,0.0,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.5,without_gate,Without Gate,existing_eval_artifact,0.7715,0.6494019743658406,0.734508745849148,0.8288,78.98,88.23,banking77_oos,True,banking77_oos/kir50_seed42/banking_wo_geometric_gate_expert_confidence/eval_results.json,True,,-1.8300000000000125,-5.3500000000000085,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.5,cascade_minilm,Cascade-MiniLM,existing_eval_artifact,0.7711,0.6381749353771203,0.8344517306977393,0.8463,78.98,88.23,banking77_oos,True,banking77_oos/kir50_seed42/cascade_minilm/eval_results.json,True,,-1.8700000000000045,-3.5999999999999943,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.5,cascade_smollm,Cascade-SmolLM,existing_eval_artifact,0.6583,0.4097321326096911,0.772121140136189,0.7761,78.98,88.23,banking77_oos,True,banking77_oos/kir50_seed42/cascade_smollm/eval_results.json,True,,-13.150000000000006,-10.620000000000005,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.75,ours,Ours,existing_eval_artifact,0.7784,0.6792895462870658,0.7800349842197878,0.8528,77.84,86.49,banking77_oos,True,banking77_oos/kir75_seed42/full_anchor/eval_results.json,False,main_table_ours,0.0,-1.2099999999999937,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.75,without_gate,Without Gate,existing_eval_artifact,0.765,0.6691711868066922,0.7379019896927687,0.842,77.84,86.49,banking77_oos,True,banking77_oos/kir75_seed42/banking_wo_geometric_gate_expert_confidence/eval_results.json,True,,-1.3400000000000034,-2.289999999999992,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.75,cascade_minilm,Cascade-MiniLM,existing_eval_artifact,0.7723,0.7038193891040775,0.817268131880131,0.8369,77.84,86.49,banking77_oos,True,banking77_oos/kir75_seed42/cascade_minilm/eval_results.json,True,,-0.6099999999999994,-2.799999999999997,,,historical_paper_eval_artifact
banking77_oos,Banking77-OOS,0.75,cascade_smollm,Cascade-SmolLM,existing_eval_artifact,0.5248,0.5195256720086814,0.7591221776558399,0.5541,77.84,86.49,banking77_oos,True,banking77_oos/kir75_seed42/cascade_smollm/eval_results.json,True,,-25.36,-31.07999999999999,,,historical_paper_eval_artifact
