dataset,seed,split,strategy,center_count,radius_lambda,acceptance_mode,threshold,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_accept_count,known_false_reject_count,auroc,aupr_oos,epoch,phase,loss,mode,trainable_parameters,base_trainable_parameter_count,device,elapsed_seconds
clinc150,87,val,lora_long,75,1.25,normalized_union,1.0,0.8769140164899882,0.8314994442233209,0.8587096774193549,0.7953333333333333,0.069375,111,307,0.9270549999999999,0.9117731512039409,1,warmup,0.16285926728683003,lora_minilm_plus_projection,198016,0,cuda,4.5296478271484375
clinc150,87,val,lora_long,75,1.5,normalized_union,1.0,0.8828553996339231,0.8555978066598006,0.8696774193548387,0.846,0.095625,153,231,0.9356254166666669,0.9221456815389085,2,finetune,0.12274674070462332,lora_minilm_plus_projection,535936,0,cuda,10.276638746261597
clinc150,87,val,lora_long,75,2.5,nearest_sphere,0.9,0.8874132206459402,0.855994429874961,0.8741935483870967,0.838,0.08125,130,243,0.9291662500000002,0.9074920304988697,3,finetune,0.09670607931911945,lora_minilm_plus_projection,535936,0,cuda,15.842429637908936
clinc150,87,val,lora_long,75,2.0,nearest_sphere,0.95,0.893256728152404,0.8650463795392723,0.8809677419354839,0.8466666666666667,0.076875,123,230,0.9342787500000002,0.9099156572038996,4,finetune,0.08486759391123966,lora_minilm_plus_projection,535936,0,cuda,21.381723642349243
clinc150,87,val,lora_long,75,1.25,nearest_sphere,1.05,0.8999087313659873,0.8738699791767277,0.8877419354838709,0.8613333333333333,0.075625,121,208,0.9414750000000001,0.9231722584840905,5,finetune,0.0691281333565712,lora_minilm_plus_projection,535936,0,cuda,27.212767362594604
clinc150,87,val,lora_long,75,2.0,nearest_sphere,0.95,0.8999087313659873,0.874645130648164,0.8883870967741936,0.8613333333333333,0.075625,121,208,0.9459954166666666,0.9295083522313059,6,finetune,0.0595333323956041,lora_minilm_plus_projection,535936,0,cuda,32.89997577667236
clinc150,87,val,lora_long,75,2.0,normalized_union,0.95,0.902520498026116,0.8806579297691303,0.8929032258064517,0.862,0.07125,114,207,0.9527520833333333,0.9428072345498818,7,finetune,0.05130054160826287,lora_minilm_plus_projection,535936,0,cuda,38.47197866439819
clinc150,87,val,lora_long,75,1.5,nearest_sphere,1.05,0.9048352325223283,0.8885277688237159,0.896774193548387,0.8813333333333333,0.081875,131,178,0.9521879166666666,0.937620476987117,8,finetune,0.04522530851348982,lora_minilm_plus_projection,535936,0,cuda,44.173625230789185
clinc150,87,val,lora_long,75,1.25,nearest_sphere,1.1,0.9086434943094432,0.8926481839681373,0.9009677419354839,0.884,0.076875,123,174,0.9540966666666667,0.940639926871641,9,finetune,0.04137562755179607,lora_minilm_plus_projection,535936,0,cuda,49.83287835121155
