dataset,seed,split,strategy,center_count,radius_lambda,acceptance_mode,threshold,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_accept_count,known_false_reject_count,auroc,aupr_oos,epoch,phase,loss,mode,trainable_parameters,device,elapsed_seconds
clinc150,13,val,last2_long,75,1.25,normalized_union,1.0,0.8580115536637276,0.8293526178817887,0.8432258064516129,0.8146666666666667,0.118125,189,278,0.921565,0.917029267402682,1,warmup,0.15898710703950816,last2_minilm_plus_projection,198016,cuda,6.288790702819824
clinc150,13,val,last2_long,75,1.5,nearest_sphere,1.0,0.8828438948995363,0.8666847494930159,0.8729032258064516,0.862,0.1075,172,207,0.9358358333333332,0.9277188533855782,2,finetune,0.12022847821146755,last2_minilm_plus_projection,3746944,cuda,9.637517213821411
clinc150,13,val,last2_long,75,2.5,nearest_sphere,0.9,0.8864696734059098,0.8721686718455146,0.8774193548387097,0.8733333333333333,0.109375,175,190,0.9387808333333334,0.9298955742532717,3,finetune,0.09049376378120003,last2_minilm_plus_projection,3746944,cuda,12.76932692527771
clinc150,13,val,last2_long,75,3.0,nearest_sphere,0.85,0.8935113318845079,0.8766518787571737,0.8841935483870967,0.8786666666666667,0.100625,161,182,0.9441799999999999,0.9415100406771693,4,finetune,0.06896633967378382,last2_minilm_plus_projection,3746944,cuda,15.933732271194458
clinc150,13,val,last2_long,75,2.5,nearest_sphere,0.9,0.8903386144765455,0.8757345001827391,0.8816129032258064,0.876,0.104375,167,186,0.9453904166666667,0.9464442560072776,5,finetune,0.0554620362186836,last2_minilm_plus_projection,3746944,cuda,18.974796772003174
clinc150,13,val,last2_long,75,2.5,nearest_sphere,0.9,0.892868169188021,0.8791044735986318,0.8851612903225806,0.8713333333333333,0.09625,154,193,0.9464929166666667,0.9459191943210464,6,finetune,0.04693495469578242,last2_minilm_plus_projection,3746944,cuda,21.993136644363403
clinc150,13,val,last2_long,75,2.5,nearest_sphere,0.9,0.8955773955773956,0.8795542198903787,0.8874193548387097,0.868,0.08875,142,198,0.9460258333333333,0.9453647652284674,7,finetune,0.03699939221270004,last2_minilm_plus_projection,3746944,cuda,25.04326295852661
clinc150,13,val,last2_long,75,3.0,nearest_sphere,0.85,0.8942989214175655,0.8785619510021693,0.8864516129032258,0.8706666666666667,0.093125,149,194,0.9468791666666667,0.9455880414156276,8,finetune,0.033844693705944694,last2_minilm_plus_projection,3746944,cuda,28.12777066230774
clinc150,13,val,last2_long,75,2.5,nearest_sphere,0.9,0.8939950980392157,0.8779797212672226,0.8858064516129033,0.8633333333333333,0.088125,141,205,0.9457316666666667,0.9437843070698494,9,finetune,0.030084135768524672,last2_minilm_plus_projection,3746944,cuda,31.17473030090332
