dataset,seed,kir,gate_oos_f1_recomputed,gate_oos_f1_saved,full_pipeline_oos_f1,gate_oos_recall,gate_macro_f1,full_pipeline_macro_f1,gate_accuracy,full_pipeline_accuracy,oos_f1_delta,macro_f1_delta,accuracy_delta,gate_known_recall,pipeline_known_recall,gate_false_acceptance,pipeline_false_acceptance,router_error_rate,expert_error_rate,stage_count_correct_oos_rejection,stage_count_oos_accepted_by_gate,stage_count_known_rejected_by_gate,stage_count_known_wrong_domain,stage_count_known_wrong_expert,stage_count_correct_known_prediction,downstream_repaired_count,downstream_regressed_count,oos_decision_mismatch_count,historical_saved_pipeline_macro_f1,historical_saved_pipeline_accuracy,replay_minus_saved_pipeline_macro_f1,replay_minus_saved_pipeline_accuracy,pipeline_metrics_evidence,gate_metrics_source,semantic_gate_enabled
clinc150,13,0.5,0.8862948551664505,0.8862948551664505,0.8862948551664505,0.9461538461538461,0.7950575699974843,0.7572051184319419,0.8527272727272728,0.8387272727272728,0.0,-0.0378524515655424,-0.014000000000000012,0.7271111111111112,0.7271111111111112,0.05384615384615385,0.05384615384615385,0.023838630806845965,0.03606356968215159,3075,175,614,39,59,1538,14,91,0,0.75760181642195,0.8389090909090909,-0.00039669799000807693,-0.0001818181818181719,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed13/trainable_k1/metrics.json,False
clinc150,42,0.5,0.8956248212753789,0.8956248212753789,0.8956248212753789,0.9636923076923077,0.8112366324873878,0.7725864177166102,0.8656363636363636,0.8516363636363636,0.0,-0.03865021477077757,-0.014000000000000012,0.728,0.728,0.036307692307692305,0.036307692307692305,0.02442002442002442,0.028083028083028084,3132,118,612,40,46,1552,3,80,0,0.7721345173539353,0.8514545454545455,0.0004519003626748397,0.0001818181818181719,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed42/trainable_k1/metrics.json,False
clinc150,87,0.5,0.9030033050725679,0.9030033050725679,0.9030033050725679,0.9667692307692307,0.8209988456156837,0.7787750398368398,0.8734545454545455,0.858,0.0,-0.04222380577884388,-0.015454545454545499,0.748,0.748,0.03323076923076923,0.03323076923076923,0.0225787284610814,0.04040404040404041,3142,108,567,38,68,1577,12,97,0,0.779787583491114,0.8583636363636363,-0.0010125436542741673,-0.0003636363636363438,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed87/trainable_k1/metrics.json,False
stackoverflow,13,0.5,0.8877534727766246,0.8877534727766246,0.8877534727766246,0.9285237140948563,0.8462558560360272,0.8150631039207106,0.8647746243739566,0.8495826377295492,0.0,-0.03119275211531658,-0.015191986644407351,0.8367823765020027,0.8367823765020027,0.07147628590514363,0.07147628590514363,0.0,0.07897885919425608,2780,214,489,0,198,2309,21,112,0,0.8153929262714701,0.8497495826377296,-0.00032982235075951216,-0.00016694490818036645,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed13/trainable_k1/metrics.json,False
stackoverflow,42,0.5,0.9149367878882473,0.9149367878882473,0.9149367878882473,0.977977977977978,0.8723166057794111,0.8541096942704243,0.8929883138564274,0.8839732888146912,0.0,-0.01820691150898679,-0.009015025041736235,0.8399599064483796,0.8399599064483796,0.022022022022022022,0.022022022022022022,0.0,0.059665871121718374,2931,66,479,0,150,2364,27,81,0,0.8544093410053502,0.8841402337228714,-0.00029964673492588467,-0.00016694490818025542,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed42/trainable_k1/metrics.json,False
stackoverflow,87,0.5,0.8608255832925437,0.8608255832925437,0.8608255832925437,0.8805073431241656,0.8544286863687894,0.8310333799319413,0.854424040066778,0.8425709515859766,0.0,-0.023395306436848173,-0.011853088480801355,0.8346693386773547,0.8346693386773547,0.11949265687583445,0.11949265687583445,0.0,0.03601440576230492,2638,358,495,0,90,2409,8,79,0,0.8316696046274771,0.8429048414023372,-0.0006362246955358142,-0.00033388981636062187,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed87/trainable_k1/metrics.json,False
banking77_oos,13,0.5,0.8840529247910863,0.8840529247910863,0.8840529247910863,0.8243506493506494,0.701614781190014,0.6750537101777417,0.8198529411764706,0.8139705882352941,0.0,-0.02656107101227223,-0.00588235294117645,0.875,0.875,0.17564935064935064,0.17564935064935064,0.0,0.10628571428571429,2539,541,125,0,93,782,18,42,0,0.6759994317327536,0.8142156862745098,-0.0009457215550118248,-0.0002450980392156854,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/banking77_oos/kir50_seed13/trainable_k1/metrics.json,False
banking77_oos,42,0.5,0.8768404642300364,0.8768404642300364,0.8768404642300364,0.8217532467532468,0.6841284316013498,0.6441078564573205,0.8100490196078431,0.8026960784313726,0.0,-0.04002057514402935,-0.007352941176470562,0.838,0.838,0.17824675324675324,0.17824675324675324,0.0,0.11217183770883055,2531,549,162,0,94,744,8,38,0,0.645027845446809,0.8029411764705883,-0.0009199889894885294,-0.0002450980392156854,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/banking77_oos/kir50_seed42/trainable_k1/metrics.json,False
banking77_oos,87,0.5,0.8932305055698372,0.8932305055698372,0.8932305055698372,0.8461038961038961,0.7039773652690479,0.6573740530476602,0.8296568627450981,0.8208333333333333,0.0,-0.046603312221387694,-0.008823529411764786,0.851,0.851,0.1538961038961039,0.1538961038961039,0.0,0.12690951821386603,2606,474,149,0,108,743,11,47,0,0.6555444230867931,0.8203431372549019,0.0018296299608671074,0.0004901960784313708,fresh_sample_level_cuda_replay,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/banking77_oos/kir50_seed87/trainable_k1/metrics.json,False
